Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2XUQ0AYl4HPE0oK0qt70qw,"2122","3D Country","Geese",2023-06-23,232851,60,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-04-13T19:24:50Z,"art rock","Partisan / Play It Again Sam",0.338,0.862,1,-8.277,1,0.125,0.0145,0.00058,0.0825,0.563,96.414,4
spotify:track:1h0TAXegSmZzATP3MhqGbH,"3D Country","3D Country","Geese",2023-06-23,313577,61,true,r0sb4304i3rsh8qs8rvt5fy5l,2026-04-13T19:24:50Z,"art rock","Partisan / Play It Again Sam",0.646,0.727,2,-6.469,1,0.0469,0.257,0.00603,0.0802,0.909,120.977,4
spotify:track:5vtJPJsiwW5BZAYo8Nla0n,"Cowboy Nudes","3D Country","Geese",2023-06-23,170537,62,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-04-13T19:24:50Z,"art rock","Partisan / Play It Again Sam",0.626,0.86,9,-6.697,1,0.0819,0.0203,0.0788,0.106,0.926,160.026,4
spotify:track:4gFFHAj5iwUEHwPpjZTdi5,"I See Myself","3D Country","Geese",2023-06-23,180807,65,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-04-13T19:24:50Z,"art rock","Partisan / Play It Again Sam",0.77,0.61,5,-7.699,1,0.0382,0.167,0.0000214,0.459,0.892,131.948,4
spotify:track:1dYfU6HCAHFom8pfwnMaEV,"Undoer","3D Country","Geese",2023-06-23,419526,54,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-04-13T19:24:50Z,"art rock","Partisan / Play It Again Sam",0.326,0.748,4,-8.036,1,0.0648,0.0669,0.0408,0.353,0.49,140.205,4
spotify:track:1m6aehT6ZJkTG89OkV7lAo,"Crusades","3D Country","Geese",2023-06-23,158891,62,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-04-13T19:24:50Z,"art rock","Partisan / Play It Again Sam",0.658,0.691,5,-7.709,1,0.0307,0.0709,0,0.128,0.557,110.899,4
spotify:track:0ChW3R8Ce4vtrcrCpKLh9A,"Gravity Blues","3D Country","Geese",2023-06-23,241064,62,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-04-13T19:24:50Z,"art rock","Partisan / Play It Again Sam",0.6,0.633,4,-8.154,1,0.0302,0.239,0.00333,0.264,0.434,131.966,4
spotify:track:6SRJRU4jsABJpJ6upuU90y,"Mysterious Love","3D Country","Geese",2023-06-23,195948,55,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-04-13T19:24:50Z,"art rock","Partisan / Play It Again Sam",0.503,0.909,2,-7.192,1,0.0636,0.00799,0.000284,0.808,0.493,92.006,4
spotify:track:3QIeGR44ZkoPEIdXLoMg6e,"Domoto","3D Country","Geese",2023-06-23,228392,55,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-04-13T19:24:50Z,"art rock","Partisan / Play It Again Sam",0.266,0.476,3,-10.051,1,0.03,0.295,0.0455,0.203,0.327,95.101,4
spotify:track:2PCKMPD6nfPXJvfUaCSMN3,"Tomorrow's Crusades","3D Country","Geese",2023-06-23,271718,57,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-04-13T19:24:50Z,"art rock","Partisan / Play It Again Sam",0.552,0.734,10,-7.353,1,0.0358,0.126,0.00653,0.652,0.69,120.005,4
spotify:track:4AL7eNtRrXQtP8xkmUR6mB,"St. Elmo","3D Country","Geese",2023-06-23,200753,53,true,r0sb4304i3rsh8qs8rvt5fy5l,2026-04-13T19:24:50Z,"art rock","Partisan / Play It Again Sam",0.512,0.595,5,-8.101,1,0.029,0.191,0.00000297,0.119,0.75,168.01,4
