Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2csA2nDUNR5TfQEn1I7nt4,"September In The Rain","September In The Rain","Dinah Washington",1961-01-01,129333,60,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-10T17:37:06Z,"vocal jazz,jazz","Verve Reissues",0.401,0.213,1,-13.124,1,0.0545,0.346,0.0000105,0.0596,0.678,110.611,4
spotify:track:5usNPz6U1acDrkUYekGYDY,"Then He Kissed Me","Wall of Sound: The Very Best of Phil Spector 1961-1966","The Crystals",2011-02-22,158853,56,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-10T17:37:06Z,"doo-wop,motown","Legacy Recordings",0.44,0.682,4,-7.416,1,0.0373,0.681,0.0000333,0.207,0.626,135.917,4
spotify:track:3LBdLmmd2P9yeNpsDHpFkh,"It's A Good Day - Remastered 1998","The Best Of Miss Peggy Lee","Peggy Lee",1998-01-01,172946,40,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-10T17:37:06Z,"vocal jazz,swing music,big band,jazz","Capitol Records",0.84,0.197,7,-12.96,1,0.0932,0.779,0.0000879,0.154,0.817,122.769,4
spotify:track:2G2YzndIA6jeWFPBXhUjh5,"Be My Baby","Be My Baby: The Very Best of The Ronettes","The Ronettes",2011-02-22,160906,76,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-10T17:37:06Z,"christmas","Legacy Recordings",0.511,0.769,4,-7.032,1,0.042,0.181,0,0.0921,0.818,129.657,4
spotify:track:7caj6X6NMX3tlhWnu1du6V,"We Belong Together","Ritchie Valens","Ritchie Valens",1959,116626,73,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-10T17:37:06Z,"doo-wop,rock and roll","Rhino/Del-Fi",0.684,0.247,5,-13.71,1,0.0281,0.872,0.000166,0.113,0.768,106.522,3
spotify:track:4WiGGTl7Kt5vnjQHqwLJy1,"Oogum Boogum Song","Oogum Boogum","Brenton Wood",1967-01-01,186567,68,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-10T17:37:06Z,"","The Bicycle Music Company",0.836,0.696,7,-6.37,1,0.0401,0.8,0,0.0949,0.954,112.692,4
spotify:track:4ODWgs1CVAZKDbryEodjiz,"Theme From New York, New York","Ultimate Sinatra","Frank Sinatra",2015-04-17,204146,57,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-10T17:37:06Z,"christmas,big band,adult standards,swing music,jazz,vocal jazz","FRANK SINATRA HYBRID",0.387,0.591,2,-5.32,1,0.0304,0.551,0,0.281,0.56,109.005,4
spotify:track:4feXcsElKIVsGwkbnTHAfV,"Somethin' Stupid","The World We Knew","Frank Sinatra;Nancy Sinatra",1967-08,162493,79,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-10T17:37:06Z,"christmas,big band,adult standards,swing music,jazz,vocal jazz","FRANK SINATRA DIGITAL REPRISE",0.257,0.338,4,-12.902,1,0.0357,0.736,0,0.252,0.544,207.356,4
spotify:track:74VR3AkGPhbYXnxcOYa16x,"Strangers In The Night","Strangers In The Night (Expanded Edition)","Frank Sinatra",1966-05,157866,74,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-10T17:37:06Z,"christmas,big band,adult standards,swing music,jazz,vocal jazz","FRANK SINATRA DIGITAL REPRISE",0.259,0.473,5,-8.275,1,0.0295,0.592,0,0.201,0.539,90.348,4
spotify:track:2x6pbpjVGjiWCcH89IK8AX,"Breaking Up Is Hard to Do","Circulate (Expanded Edition)","Neil Sedaka",1960-12-30,139200,60,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-10T17:37:06Z,"doo-wop,adult standards","RCA Victor/Legacy",0.743,0.799,8,-5.466,0,0.0375,0.699,0,0.0635,0.965,116.112,4
spotify:track:5uES1C2NgkdrNHiCwf9jRr,"Baby Love","Where Did Our Love Go","The Supremes",1964-08-31,158040,68,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-10T17:37:06Z,"motown,northern soul,classic soul,soul","Motown",0.595,0.643,5,-9.275,1,0.0365,0.757,0,0.538,0.731,135.633,4
spotify:track:2VVH86uKy0U84loFlseCR2,"(Today I Met) The Boy I'm Gonna Marry","Wall of Sound: The Very Best of Phil Spector 1961-1966","Darlene Love",2011-02-22,166053,33,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-10T17:37:06Z,"christmas","Legacy Recordings",0.51,0.719,1,-5.315,0,0.0457,0.53,0.0169,0.907,0.616,91.978,4
spotify:track:2WaYW84yWij5NSCpgSeU2R,"You Make Me Feel So Young - Remastered 1998","Songs For Swingin' Lovers! (Remastered)","Frank Sinatra",1956-03,177400,66,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-10T17:37:06Z,"christmas,big band,adult standards,swing music,jazz,vocal jazz","Capitol Records",0.577,0.307,9,-11.556,1,0.0428,0.378,0,0.18,0.575,125.165,4
spotify:track:2QfiRTz5Yc8DdShCxG1tB2,"Johnny B. Goode","Berry Is On Top","Chuck Berry",1959-07-01,161560,77,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-10T17:37:06Z,"rockabilly,rock and roll","Geffen",0.534,0.803,10,-9.129,1,0.0743,0.741,0.0000607,0.307,0.969,167.983,4
spotify:track:7rGOWzo4evAQQ2FzrSKp0B,"Tell Him - Single Version","Tell Him","The Exciters",2012-01-01,156160,54,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-10T17:37:06Z,"northern soul,doo-wop,motown","Capitol Records",0.708,0.616,5,-10.827,1,0.198,0.445,0,0.299,0.908,177.061,4
spotify:track:70UTQUObcq2I8LiN6ylGCq,"Hard Hearted Hannah","Songs From Pete Kelly's Blues","Ella Fitzgerald",1955-10-01,179240,28,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-10T17:37:06Z,"jazz,vocal jazz,swing music,big band,christmas","Verve Reissues",0.696,0.32,8,-10.529,1,0.0483,0.759,0,0.0999,0.696,99.68,4
