Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:40DGtj95w54IDSbA7BWn3o,"Olivia","Feathers & Fishhooks","Rayland Baxter",2012-08-28,233693,52,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:04:52Z,"southern gothic","ATO Records",0.629,0.551,7,-9.44,1,0.0321,0.685,0.0000288,0.0889,0.698,81.995,4
spotify:track:1b3UY0WcVkxQvPDGo7T36s,"Angeline","Wide Awake","Rayland Baxter",2018-07-13,234800,37,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:05:17Z,"southern gothic","ATO Records",0.485,0.75,10,-6.564,1,0.0289,0.0278,0,0.385,0.802,91.795,4
spotify:track:50Emgupm363qIrYBe20FR3,"Quittin' Time","Summertime Blues","Zach Bryan",2022-07-15,220885,70,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:11:33Z,"country,red dirt","Warner Records",0.557,0.725,0,-5.79,0,0.0388,0.215,0.00000921,0.217,0.54,143.34,4
spotify:track:1kKDVYavcoEH5N6R6ezM6T,"Sam","The Ballad of Dood & Juanita","Sturgill Simpson",2021-08-20,72976,55,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:11:33Z,"outlaw country,alt country,bluegrass,americana,red dirt,country,newgrass","High Top Mountain Records",0.713,0.185,0,-11.256,1,0.0974,0.97,0,0.166,0.645,100.997,4
spotify:track:762n155rz6x9e5UHjoxmVC,"vices","roots","gavn!",2023-12-08,166938,47,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:12:07Z,"christian folk","FRTYFVE",0.576,0.442,3,-8.797,1,0.047,0.0858,0,0.0896,0.25,80.535,4
spotify:track:6WuVLG5DRHKKuJ6deCw28p,"Condemned","DeAnn","Zach Bryan",2019-08-24,174673,70,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:16:56Z,"country,red dirt","Warner Records",0.616,0.15,5,-13.517,1,0.119,0.831,0,0.203,0.345,126.462,4
spotify:track:5JYdC5yOeoudrUt3AfB4pZ,"Ella","Ella","Darren Kiely",2022-11-04,187848,19,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:16:56Z,"folk pop","Free Flight Records",0.292,0.677,10,-5.655,1,0.0498,0.419,0,0.084,0.56,77.342,4
spotify:track:547IKdQWZcG4KUnHtlkWiv,"Drugs & Liquor","Copper Child","The Copper Children",2014-11-05,158392,43,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:18:33Z,"","The Copper Children",0.723,0.669,1,-6.078,1,0.0324,0.665,0.0000167,0.152,0.551,120.11,4
spotify:track:3WMj8moIAXJhHsyLaqIIHI,"Something in the Orange","Something in the Orange","Zach Bryan",2022-04-22,228013,87,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:19:27Z,"country,red dirt","Warner Records",0.369,0.192,4,-12.151,0,0.04,0.555,0.00000835,0.0954,0.148,175.212,3
spotify:track:58pTPJPBjw1xL9OcLcQczU,"I Remember Everything (feat. Kacey Musgraves)","I Remember Everything (feat. Kacey Musgraves)","Zach Bryan;Kacey Musgraves",2023-08-24,227195,54,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:21:39Z,"country,red dirt","Warner Records",0.429,0.453,0,-7.746,1,0.0459,0.554,0.000002,0.102,0.155,77.639,4
