Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3Jq9rsqmRtqcVKtzP9dnxZ,"The Man Comes Around","American IV: The Man Comes Around","Johnny Cash",2002-01-01,266733,65,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-17T21:03:53Z,"classic country,outlaw country,country","American Recordings Catalog P&D",0.635,0.584,0,-7.912,1,0.144,0.52,0.0951,0.962,0.753,97.067,4
spotify:track:28cnXtME493VX9NOw9cIUh,"Hurt","American IV: The Man Comes Around","Johnny Cash",2002-01-01,216533,76,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-17T21:03:53Z,"classic country,outlaw country,country","American Recordings Catalog P&D",0.534,0.392,9,-7.636,0,0.0267,0.649,0.000227,0.0948,0.163,90.379,4
spotify:track:3Prk96Esj2yy7RHfseIWOG,"Give My Love To Rose","American IV: The Man Comes Around","Johnny Cash",2002-01-01,207000,47,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-17T21:03:53Z,"classic country,outlaw country,country","American Recordings Catalog P&D",0.685,0.267,9,-11.609,1,0.0381,0.909,0.00511,0.105,0.338,131.057,3
spotify:track:3e0qSxu1fNPzDlwqWN3cBD,"Bridge Over Troubled Water","American IV: The Man Comes Around","Johnny Cash",2002-01-01,234600,50,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-17T21:03:53Z,"classic country,outlaw country,country","American Recordings Catalog P&D",0.201,0.321,5,-9.109,1,0.0273,0.92,0.0229,0.0898,0.262,82.18,4
spotify:track:3iBemYZi4lw53UYDlxqMlw,"I Hung My Head","American IV: The Man Comes Around","Johnny Cash",2002-01-01,233240,56,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-17T21:03:53Z,"classic country,outlaw country,country","American Recordings Catalog P&D",0.536,0.394,0,-9.647,1,0.0345,0.853,0.0000255,0.115,0.383,100.157,4
spotify:track:6fT2eO0goE6IV9ByaASiam,"First Time Ever I Saw Your Face","American IV: The Man Comes Around","Johnny Cash",2002-01-01,232000,43,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-17T21:03:53Z,"classic country,outlaw country,country","American Recordings Catalog P&D",0.36,0.113,0,-13.866,1,0.0336,0.915,0.0138,0.114,0.202,130.966,4
spotify:track:5dcwiQFqn0mTcWewYIv7MV,"Personal Jesus","American IV: The Man Comes Around","Johnny Cash",2002-01-01,199240,62,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-17T21:03:53Z,"classic country,outlaw country,country","American Recordings Catalog P&D",0.745,0.575,4,-8.184,0,0.0434,0.546,0.000127,0.116,0.723,123.325,4
spotify:track:7Dprt8s1FohodJYtCNcM4a,"In My Life","American IV: The Man Comes Around","Johnny Cash",2002-01-01,177000,52,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-17T21:03:53Z,"classic country,outlaw country,country","American Recordings Catalog P&D",0.676,0.239,4,-13.444,1,0.03,0.91,0.000303,0.0959,0.333,85.015,4
spotify:track:3s9GpTdrLjmU798zi77NcP,"Sam Hall","American IV: The Man Comes Around","Johnny Cash",2002-01-01,159066,42,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-17T21:03:53Z,"classic country,outlaw country,country","American Recordings Catalog P&D",0.601,0.483,0,-7.689,1,0.0276,0.833,0.00000611,0.097,0.663,92.149,4
spotify:track:5o4SqGekEfvdkNuOVx5d3S,"Danny Boy","American IV: The Man Comes Around","Johnny Cash",2002-01-01,198506,46,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-17T21:03:53Z,"classic country,outlaw country,country","American Recordings Catalog P&D",0.334,0.0595,9,-11.069,1,0.0416,0.983,0.0000874,0.124,0.241,177.07,5
spotify:track:58QomoMiMPhWfZwrqOmUt0,"Desperado","American IV: The Man Comes Around","Johnny Cash",2002-01-01,192573,48,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-17T21:03:53Z,"classic country,outlaw country,country","American Recordings Catalog P&D",0.492,0.266,9,-11.946,1,0.0339,0.918,0,0.145,0.344,125.892,4
spotify:track:3iehS49kD0gDoHSK7zCpE8,"I'm So Lonesome I Could Cry","American IV: The Man Comes Around","Johnny Cash",2002-01-01,182773,42,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-17T21:03:53Z,"classic country,outlaw country,country","American Recordings Catalog P&D",0.547,0.113,0,-12.356,1,0.0297,0.946,0.0000399,0.137,0.258,90.942,3
spotify:track:22pv6hn68zJu5xKKlwbLQO,"Tear Stained Letter","American IV: The Man Comes Around","Johnny Cash",2002-01-01,219160,40,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-17T21:03:53Z,"classic country,outlaw country,country","American Recordings Catalog P&D",0.571,0.616,2,-9.301,1,0.0908,0.756,0,0.227,0.854,161.58,5
spotify:track:1ZhTHkB1Kt7qO4MP5uZlX6,"Streets Of Laredo","American IV: The Man Comes Around","Johnny Cash",2002-01-01,213240,43,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-17T21:03:53Z,"classic country,outlaw country,country","American Recordings Catalog P&D",0.499,0.384,10,-9.471,1,0.0346,0.913,0,0.111,0.488,130.832,3
spotify:track:6SCgT1QDWcsnMusKYua9eE,"We'll Meet Again","American IV: The Man Comes Around","Johnny Cash",2002-01-01,178626,52,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-17T21:03:53Z,"classic country,outlaw country,country","American Recordings Catalog P&D",0.454,0.265,2,-12.079,1,0.0501,0.973,0.000952,0.132,0.255,94.298,4
