Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1tfZtA15BfJHQTUy3dqTKC,"Build Me Up Buttercup - Mono","Baby Now That I've Found You","The Foundations",1967-01-01,180133,75,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-06T22:27:05Z,"","Castle Communications",0.64,0.664,0,-4.73,1,0.0289,0.196,0,0.31,0.879,134.002,4
spotify:track:7KysI43rsjlhjTeWO6ePUq,"It's Five O'Clock Somewhere","Greatest Hits Volume II","Alan Jackson;Jimmy Buffett",2003-10-09,229800,70,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:17:16Z,"country,country christian,classic country","Arista Nashville",0.714,0.774,2,-6.713,1,0.0367,0.219,0,0.203,0.887,125.199,4
spotify:track:4EEjMyQub6tgFVshlM9j1M,"Margaritaville","Changes In Latitudes, Changes In Attitudes","Jimmy Buffett",1977-01-01,250933,71,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:18:09Z,"","Geffen*",0.801,0.545,2,-13.637,1,0.0357,0.709,0.00176,0.104,0.862,124.941,4
spotify:track:4c6vZqYHFur11FbWATIJ9P,"There She Goes","The La's","The La's",1990,162186,73,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:17:11Z,"britpop,jangle pop","UMC (Universal Music Catalogue)",0.533,0.761,7,-10.632,1,0.0298,0.013,0.829,0.207,0.917,122.777,4
spotify:track:7HKez549fwJQDzx3zLjHKC,"Start Me Up - Remastered 2009","Tattoo You (2009 Re-Mastered)","The Rolling Stones",1981-08-24,213066,78,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:14:22Z,"classic rock,rock","Polydor Records",0.631,0.932,5,-4.142,1,0.0354,0.0429,0.137,0.0918,0.971,122.431,4
spotify:track:0rmGAIH9LNJewFw7nKzZnc,"You Give Love A Bad Name","Slippery When Wet","Bon Jovi",1986-08-16,222706,78,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-21T17:36:24Z,"glam metal","Island Records",0.541,0.959,0,-2.947,0,0.0505,0.0663,0.00000218,0.344,0.812,122.805,4
spotify:track:0v1XpBHnsbkCn7iJ9Ucr1l,"It's My Life","Crush","Bon Jovi",2000-01-01,224493,84,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-21T17:36:24Z,"glam metal","Island Records",0.551,0.914,0,-4.063,0,0.0465,0.0263,0.0000135,0.347,0.543,119.994,4
spotify:track:6xq5DxZWGgdStAxGAil0yw,"Since You Been Gone","Down To Earth","Rainbow",1979-01-01,197160,67,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:21:26Z,"hard rock,aor,metal,heavy metal","Polydor",0.733,0.726,7,-6.514,1,0.0371,0.379,0.00000258,0.471,0.915,120.814,4
spotify:track:0M1YQiRGel1tTMjA3orfRd,"Badlands","Darkness On the Edge of Town","Bruce Springsteen",1978-06-02,243280,61,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-21T17:23:33Z,"","Columbia",0.609,0.777,4,-7.548,1,0.0487,0.0862,0.0000116,0.278,0.852,122.612,4
spotify:track:5EOoMWIB9iK4ZpcSex9Ec7,"Old Time Rock & Roll","Stranger In Town","Bob Seger",1978-05-05,194146,78,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:20:14Z,"classic rock","Bob Seger",0.714,0.937,6,-2.947,1,0.0399,0.206,0,0.0731,0.964,124.13,4
spotify:track:0jvN7eQJJt4nxQzgQfZ1SP,"Spirit In The Sky - Deluxe Edition","Spirit In The Sky (Deluxe Edition)","Norman Greenbaum",1969-01-01,242893,78,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:18:09Z,"classic rock","Craft Recordings",0.609,0.617,9,-7.091,1,0.0307,0.0994,0.00404,0.118,0.543,128.903,4
spotify:track:4gySZmwNJcFvVUR0SaELUK,"Wouldn’t It Be Nice","The Beach Boys With The Royal Philharmonic Orchestra","The Beach Boys;Royal Philharmonic Orchestra",2018-06-08,193399,41,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-21T17:41:33Z,"baroque pop,orchestral,classical","CAPITOL CATALOG MKT (C92)",0.352,0.597,9,-6.603,0,0.0361,0.522,0.00000466,0.142,0.316,125.014,4
spotify:track:0cLZ9ecuhocv99BICMb59O,"Come A Little Bit Closer","Come A Little Bit Closer","Jay & The Americans",1964-11-17,168853,59,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T12:56:04Z,"doo-wop","CAPITOL CATALOG MKT (C92)",0.594,0.716,3,-8.429,1,0.043,0.659,0.000829,0.363,0.847,132.309,4
spotify:track:3yrSvpt2l1xhsV9Em88Pul,"Brown Eyed Girl","Blowin' Your Mind!","Van Morrison",1967-09,183306,20,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:14:22Z,"","Columbia/Legacy",0.491,0.583,7,-10.964,1,0.0376,0.185,0,0.406,0.908,150.566,4
spotify:track:2TVxnKdb3tqe1nhQWwwZCO,"Tiny Dancer","Madman Across The Water","Elton John",1971-11-05,377093,80,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-21T17:47:29Z,"","EMI",0.414,0.428,0,-11.097,1,0.0278,0.382,0.000243,0.148,0.282,145.075,4
spotify:track:00ED5BKOZWqV022xGQUGvi,"Look What They've Done To My Song, Ma","Candles In The Rain","Melanie",1970-05-01,246293,40,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T12:56:19Z,"","Buddah/Legacy",0.512,0.173,10,-10.448,1,0.0348,0.675,0,0.204,0.59,73.033,4
spotify:track:6hJhVBOnkchxBsDHbLOBJP,"Drift Away - Single Version","Ultimate Collection: Dobie Gray","Dobie Gray",2001-01-01,237466,64,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:10:20Z,"northern soul,yacht rock,classic soul","Hip-O (UC)",0.521,0.443,11,-8.188,1,0.0395,0.308,0,0.475,0.596,76.228,4
spotify:track:40riOy7x9W7GXjyGp4pjAv,"Hotel California - 2013 Remaster","Hotel California (2013 Remaster)","Eagles",1976-12-08,391376,87,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-21T17:36:24Z,"classic rock,yacht rock,soft rock","Rhino/Elektra",0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125,4
spotify:track:0SnEAyKMyIjRA96e0JstYl,"The Weight","To Kingdom Come (The Definitive Collection)","The Band",1989,278533,46,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:16:05Z,"folk rock,roots rock,southern rock,americana","Capitol Records",0.625,0.379,9,-15.992,1,0.0501,0.203,0.0000027,0.0887,0.513,143.774,4
spotify:track:13Mzsb8VzRSZ5w3pM48cn6,"The Rubberband Man","The Rubberband Man / Now That We're Together","The Spinners",1976,213000,68,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:08:30Z,"philly soul,motown,classic soul,soul,northern soul","Rhino Atlantic",0.801,0.446,10,-14.604,1,0.0745,0.74,0.038,0.0832,0.924,97.894,4
spotify:track:4CbUtLtAcgLJ7mAIeooJS8,"I Want You Back","Motown Legends: Jackson 5 - Never Can Say Goodbye","The Jackson 5",1993-01-01,180840,35,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-21T17:45:49Z,"motown,christmas","UME Custom Premium",0.637,0.544,8,-12.777,1,0.0303,0.49,0.0000139,0.28,0.938,98.185,4
spotify:track:3zBhihYUHBmGd2bcQIobrF,"(Sittin' On) the Dock of the Bay - Mono","The Dock of the Bay (Mono)","Otis Redding",1968,163755,81,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T12:56:19Z,"motown,soul,classic soul,soul blues","Rhino Atlantic",0.768,0.367,2,-11.226,1,0.0315,0.683,0.0000179,0.081,0.532,103.621,4
spotify:track:6QhXQOpyYvbpdbyjgAqKdY,"Cecilia","Bridge Over Troubled Water","Simon & Garfunkel",1970-01-26,174717,71,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:08:50Z,"folk rock,folk","Columbia",0.755,0.876,0,-8.867,1,0.0362,0.357,0.00000517,0.22,0.954,102.762,4
spotify:track:4d6eqRtpDX7tydHJGDZUBQ,"She Drives Me Crazy","The Raw & The Cooked","Fine Young Cannibals",1988-01-01,215773,79,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-10-09T12:31:49Z,"","London Records (Because Ltd)",0.799,0.687,2,-5.682,1,0.0431,0.193,0.000188,0.0307,0.965,108.804,4
spotify:track:3mGwufkovVPrzsJaXWg8PU,"Only You","Upstairs At Eric's","Yazoo",1982,195506,63,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:10:41Z,"synthpop,new wave","Rhino/Warner Records",0.731,0.347,9,-16.691,1,0.0398,0.31,0.0000129,0.0946,0.855,105.791,4
spotify:track:2M9ro2krNb7nr7HSprkEgo,"Fast Car","Tracy Chapman","Tracy Chapman",1988-04-05,296800,84,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-21T17:23:33Z,"","Elektra Records",0.711,0.292,4,-15.523,0,0.037,0.313,0,0.131,0.194,103.951,4
spotify:track:0iOZM63lendWRTTeKhZBSC,"Mrs. Robinson - From ""The Graduate"" Soundtrack","Bookends","Simon & Garfunkel",1968-04-03,247420,75,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-12-22T14:22:55Z,"folk rock,folk","Columbia",0.606,0.457,6,-14.035,0,0.0497,0.713,0.0000253,0.0747,0.813,92.033,4
spotify:track:20OFwXhEXf12DzwXmaV7fj,"Bad Moon Rising","Green River (Expanded Edition)","Creedence Clearwater Revival",1969-08-03,141600,81,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:14:22Z,"classic rock,southern rock,country rock","Craft Recordings",0.508,0.774,2,-5.973,1,0.0321,0.0586,0.00000487,0.063,0.942,178.946,4
spotify:track:3FCto7hnn1shUyZL42YgfO,"Piano Man","The Essential Billy Joel","Billy Joel",2001-10-02,339290,66,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-21T17:47:29Z,"soft rock","Columbia",0.334,0.472,0,-8.791,1,0.0277,0.6,0.00000362,0.317,0.431,179.173,3
spotify:track:23Uv9xqLumDqEBNIdHhCcO,"I Hope That I Don't Fall In Love With You","Closing Time (Remastered)","Tom Waits",1973-03-06,233533,58,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-21T17:33:03Z,"singer-songwriter,southern gothic","Anti/Epitaph",0.539,0.296,0,-11.74,1,0.0253,0.918,0.0056,0.127,0.545,85.622,4
spotify:track:1w8yvQdpAjw6wL2zD6HIOW,"People in the Front Row","Garden in the City","Melanie",1971-12-01,152106,48,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T12:56:19Z,"","Buddah/Legacy",0.588,0.487,0,-6.815,1,0.105,0.616,0,0.172,0.401,85.123,4
spotify:track:0qRR9d89hIS0MHRkQ0ejxX,"Rich Girl","Bigger Than Both Of Us","Daryl Hall & John Oates",1976-08-01,142786,81,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:10:19Z,"yacht rock,soft rock","RCA Records Label",0.573,0.683,5,-6.644,1,0.176,0.461,0,0.0935,0.817,169.519,4
spotify:track:4o6BgsqLIBViaGVbx5rbRk,"You Make My Dreams (Come True)","Voices","Daryl Hall & John Oates",1980,190626,82,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:18:09Z,"yacht rock,soft rock","RCA/BMG Heritage",0.751,0.501,5,-12.151,1,0.0551,0.234,0.112,0.0467,0.902,167.057,4
spotify:track:1DndHckdH9m5rp6gYP086b,"Runaround Sue","Runaround Sue","Dion",1961,171600,69,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T12:56:07Z,"doo-wop","The Right Stuff",0.364,0.607,2,-9.791,1,0.125,0.451,0,0.251,0.598,79.987,4
spotify:track:6Qyc6fS4DsZjB2mRW9DsQs,"Iris","Dizzy up the Girl","The Goo Goo Dolls",1998,289533,94,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:14:05Z,"","Warner Records",0.315,0.715,11,-8.072,0,0.0362,0.00125,0.00000797,0.0942,0.497,155.925,3
spotify:track:62qNdSlhFznQD0gHpCGrtw,"Delta Dawn","Delta Dawn","Tanya Tucker",1972-04-19,178400,68,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-06T22:28:19Z,"classic country,country,outlaw country","Legacy Recordings",0.549,0.424,0,-12.892,1,0.0369,0.668,0,0.319,0.509,76.783,4
spotify:track:7hVdEYX4w0ELKoD8F7NGze,"Hangman","Folksongs & Ballads","Tia Blake",1972,201706,50,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-08-01T11:43:55Z,"folk","Caravage",0.583,0.0864,7,-20.06,1,0.0525,0.979,0.0000875,0.111,0.621,82.754,4
spotify:track:1ydzL5SIoSRCpEIYWhsWE5,"You and Me On The Rock (In The Canyon Haze) [feat. Catherine Carlile]","In These Silent Days (Deluxe Edition) In The Canyon Haze","Brandi Carlile;Catherine Carlile",2022-09-28,257853,39,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-21T17:26:53Z,"folk,americana","Low Country Sound/Elektra",0.594,0.261,11,-8.342,1,0.0348,0.9,0,0.0798,0.509,159.903,4
