Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3m7vGtBJAhf7fAJOk8Sxok,"This Is The Beginning","And The War Came","Shakey Graves",2014-10-07,7146,0,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-23T14:17:45Z,"indie folk","Dualtone Music Group",,,,,,,,,,,,
spotify:track:2qjXHx3TCWiY6a4vfRw9ra,"Only Son","And The War Came","Shakey Graves",2014-10-07,282186,34,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-23T14:17:45Z,"indie folk","Dualtone Music Group",0.565,0.449,1,-8.053,1,0.0277,0.826,0.000835,0.151,0.331,106.127,3
spotify:track:0QeoO5Y3EtKstiq5a18tUW,"Dearly Departed (feat. Esmé Patterson)","And The War Came","Shakey Graves",2014-10-07,212800,64,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-23T14:17:45Z,"indie folk","Dualtone Music Group",0.576,0.609,7,-5.92,1,0.107,0.303,0,0.164,0.737,86.704,4
spotify:track:0IWpU7yskPBWTNiwea5RUj,"The Perfect Parts","And The War Came","Shakey Graves",2014-10-07,236440,42,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-23T14:17:45Z,"indie folk","Dualtone Music Group",0.534,0.658,0,-6.112,1,0.0454,0.05,0.000307,0.14,0.283,124.728,4
spotify:track:0fBkmT5a4FbHLqJXx39XPp,"Hard Wired","And The War Came","Shakey Graves",2014-10-07,247240,44,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-23T14:17:45Z,"indie folk","Dualtone Music Group",0.569,0.436,0,-8.797,1,0.0392,0.804,0.00000332,0.254,0.439,105.694,4
spotify:track:71hkl16BrFdaZvRFiwSHgk,"Family and Genus","And The War Came","Shakey Graves",2014-10-07,319840,51,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-23T14:17:45Z,"indie folk","Dualtone Music Group",0.741,0.478,10,-12.326,1,0.0621,0.501,0.41,0.431,0.358,112.977,4
spotify:track:6ZHE5Oa5k1KA9oexoyY9K9,"Big Time Nashville Star (feat. Esmé Patterson)","And The War Came","Shakey Graves",2014-10-07,264320,32,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-23T14:17:45Z,"indie folk","Dualtone Music Group",0.693,0.308,4,-7.316,1,0.0372,0.81,0.000101,0.0794,0.32,110.24,4
spotify:track:5WvlOqfZJn3FNoPneJDjIQ,"Pansy Waltz","And The War Came","Shakey Graves",2014-10-07,213173,44,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-23T14:17:45Z,"indie folk","Dualtone Music Group",0.416,0.467,7,-7.138,1,0.151,0.547,0,0.105,0.226,173.426,3
spotify:track:5qM68UEIzMiQt7zN0rnUJx,"House of Winston","And The War Came","Shakey Graves",2014-10-07,253373,48,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-23T14:17:45Z,"indie folk","Dualtone Music Group",0.448,0.431,3,-9.494,1,0.0356,0.535,0.126,0.313,0.474,125.474,4
spotify:track:59WYGRQttbsyCxCBwxtQ2z,"If Not For You","And The War Came","Shakey Graves",2014-10-07,310173,41,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-23T14:17:45Z,"indie folk","Dualtone Music Group",0.453,0.717,1,-7.637,1,0.0758,0.361,0.0123,0.0435,0.389,121.628,4
spotify:track:3rREoT56yDWay0dZGmM0pl,"Call It Heaven (feat. Esmé Patterson)","And The War Came","Shakey Graves",2014-10-07,190826,31,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-23T14:17:45Z,"indie folk","Dualtone Music Group",0.658,0.21,7,-7.046,1,0.0701,0.822,0,0.115,0.554,127.482,4
