Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3rWUA8sp8gfALMFkXD0uHO,"Something About Her","Angel Face (Club Deluxe)","Stephen Sanchez",2024-04-26,223138,41,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-11T21:39:27Z,"","Mercury Records / Republic Records",0.399,0.262,9,-12.689,1,0.0316,0.874,0,0.292,0.336,106.787,3
spotify:track:1NnB3PON15Y8CwKYXIBeuJ,"Evangeline","Angel Face (Club Deluxe)","Stephen Sanchez",2024-04-26,177677,40,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-11T21:39:27Z,"","Mercury Records / Republic Records",0.445,0.549,3,-7.134,1,0.0307,0.0703,0,0.176,0.218,109.25,4
spotify:track:4CvXOipVYtZAEEQVcOqhej,"I Need You Most Of All","Angel Face (Club Deluxe)","Stephen Sanchez",2024-04-26,190361,40,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-11T21:39:27Z,"","Mercury Records / Republic Records",0.368,0.523,10,-7.069,1,0.0342,0.384,0,0.108,0.562,115.498,1
spotify:track:114ZKT0lR0U0CYNjlqAZtG,"Only Girl","Angel Face (Club Deluxe)","Stephen Sanchez",2024-04-26,159314,40,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-11T21:39:27Z,"","Mercury Records / Republic Records",0.514,0.665,1,-7.038,0,0.0294,0.0406,0,0.384,0.411,137.976,4
spotify:track:5vKzNb5GpG8WkCfkufKg9c,"Be More","Angel Face (Club Deluxe)","Stephen Sanchez",2024-04-26,231684,40,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-11T21:39:27Z,"","Mercury Records / Republic Records",0.226,0.439,3,-7.159,1,0.0272,0.293,0,0.137,0.105,98.323,3
spotify:track:322Aoq9baGWpWW6co5vTJL,"Until I Found You","Angel Face (Club Deluxe)","Stephen Sanchez",2024-04-26,177720,39,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-11T21:39:27Z,"","Mercury Records / Republic Records",0.537,0.508,10,-6.053,1,0.0289,0.729,0,0.18,0.231,101.198,3
spotify:track:1m8MyMB2pUCScbifW0lcSh,"Shake","Angel Face (Club Deluxe)","Stephen Sanchez",2024-04-26,114907,36,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-11T21:39:27Z,"","Mercury Records / Republic Records",0.306,0.896,5,-5.242,1,0.0618,0.0034,0,0.244,0.607,184.078,4
spotify:track:6OLqbRmOZa5x0xLV38aqoJ,"High","Angel Face (Club Deluxe)","Stephen Sanchez",2024-04-26,161567,38,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-11T21:39:27Z,"","Mercury Records / Republic Records",0.432,0.714,6,-7.933,0,0.0384,0.0876,0.000788,0.27,0.322,176.009,4
spotify:track:7zleTyyP6zQhkVCkJmn6XG,"Doesn’t Do Me Any Good","Angel Face (Club Deluxe)","Stephen Sanchez",2024-04-26,232277,38,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-11T21:39:27Z,"","Mercury Records / Republic Records",0.373,0.536,11,-7.192,0,0.029,0.103,0.0000284,0.0934,0.372,184.897,3
spotify:track:3cwd7b72dgh0P8cqvdw0rO,"No One Knows (with Laufey)","Angel Face (Club Deluxe)","Stephen Sanchez;Laufey",2024-04-26,239308,39,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-11T21:39:27Z,"","Mercury Records / Republic Records",0.459,0.427,5,-10.664,1,0.0294,0.655,0,0.196,0.338,99.801,4
spotify:track:2oQPQEhbEsci2bkWCse1lw,"Caught In A Blue","Angel Face (Club Deluxe)","Stephen Sanchez",2024-04-26,179458,37,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-11T21:39:27Z,"","Mercury Records / Republic Records",0.462,0.538,5,-10.111,1,0.0328,0.485,0.000692,0.346,0.593,123.546,4
spotify:track:3gcTfPA1JrLi3GtgJbgGTn,"Death Of The Troubadour","Angel Face (Club Deluxe)","Stephen Sanchez",2024-04-26,115543,35,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-11T21:39:27Z,"","Mercury Records / Republic Records",0.462,0.199,9,-10.901,0,0.0368,0.832,0.000395,0.147,0.217,112.525,4
spotify:track:62Cnz4oJzoCXgn4zDZ0Jdu,"Send My Heart With A Kiss","Angel Face (Club Deluxe)","Stephen Sanchez",2024-04-26,147855,37,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-11T21:39:27Z,"","Mercury Records / Republic Records",0.482,0.341,5,-13.444,1,0.0417,0.825,0.0000897,0.0655,0.237,92.589,3
spotify:track:1ur8WRsem0V9olMKrTjjYY,"Howling at Wolves","Angel Face (Club Deluxe)","Stephen Sanchez",2024-04-26,191304,44,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-11T21:39:27Z,"","Mercury Records / Republic Records",0.465,0.849,7,-5.827,0,0.0311,0.00137,0.000916,0.213,0.407,90.49,4
spotify:track:1whkfFxtxHalsQt83YfUGH,"The Other Side","Angel Face (Club Deluxe)","Stephen Sanchez",2024-04-26,196633,56,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-11T21:39:27Z,"","Mercury Records / Republic Records",0.317,0.595,3,-7.269,1,0.0509,0.381,0.00108,0.0824,0.511,168.114,4
spotify:track:61N9p0bI3PEmJ4bSN3XmkX,"Emotional Vacation","Angel Face (Club Deluxe)","Stephen Sanchez",2024-04-26,211923,52,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-11T21:39:27Z,"","Mercury Records / Republic Records",0.555,0.816,11,-7.839,1,0.0312,0.0075,0.0241,0.33,0.618,144.923,4
spotify:track:0agoyTFNxoabtM8zZspcHK,"Fame or Fortune","Angel Face (Club Deluxe)","Stephen Sanchez",2024-04-26,267674,45,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-11T21:39:27Z,"","Mercury Records / Republic Records",0.149,0.302,9,-10.687,1,0.0317,0.778,0,0.102,0.2,182.671,3
