Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6Kl7rpHXPNXdz3NpSYWJvj,"Tumbling Tumbleweeds","Another Day, Another Time: Celebrating the Music of 'Inside Llewyn Davis'","Punch Brothers",2015-01-09,187080,21,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-17T21:22:02Z,"bluegrass,newgrass,folk,americana","Nonesuch",0.455,0.461,2,-11.542,1,0.0831,0.818,0,0.976,0.651,79.735,4
spotify:track:706b4qf4z7855mV5nddTVz,"Rye Whiskey","Another Day, Another Time: Celebrating the Music of 'Inside Llewyn Davis'","Punch Brothers",2015-01-09,228413,22,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-17T21:22:02Z,"bluegrass,newgrass,folk,americana","Nonesuch",0.574,0.779,2,-7.144,1,0.0593,0.745,0.0019,0.881,0.719,111.592,4
spotify:track:1u2bVfWxqD0VFyKIsYbxhp,"Will the Circle Be Unbroken?","Another Day, Another Time: Celebrating the Music of 'Inside Llewyn Davis'","Punch Brothers;Gillian Welch;Dave Rawlings",2015-01-09,212146,38,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-17T21:22:02Z,"bluegrass,newgrass,folk,americana,alt country,southern gothic","Nonesuch",0.414,0.575,2,-7.369,1,0.0394,0.542,0.0000174,0.935,0.585,157.412,4
spotify:track:4nesNO1UdaqRuKFwbCGOyE,"The Way It Goes","Another Day, Another Time: Celebrating the Music of 'Inside Llewyn Davis'","Gillian Welch;Dave Rawlings",2015-01-09,271120,21,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-17T21:22:02Z,"americana,bluegrass,alt country,folk,southern gothic","Nonesuch",0.462,0.512,11,-9.886,0,0.0288,0.583,0.0000169,0.707,0.604,93.75,4
spotify:track:2qcTx8zkF2TLpVf726miWc,"The Midnight Special","Another Day, Another Time: Celebrating the Music of 'Inside Llewyn Davis'","Gillian Welch;Dave Rawlings;Willie Watson",2015-01-09,255440,25,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-17T21:22:02Z,"americana,bluegrass,alt country,folk,southern gothic,newgrass","Nonesuch",0.509,0.511,11,-7.691,1,0.0876,0.805,0,0.727,0.694,123.997,4
spotify:track:3rAkWYGRYUu18zzXb5mG9k,"I Hear Them All / This Land Is Your Land","Another Day, Another Time: Celebrating the Music of 'Inside Llewyn Davis'","Gillian Welch;Dave Rawlings;Willie Watson",2015-01-09,346720,30,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-17T21:22:02Z,"americana,bluegrass,alt country,folk,southern gothic,newgrass","Nonesuch",0.539,0.473,9,-8.891,1,0.0365,0.703,0.00000505,0.88,0.5,90.977,4
spotify:track:2HG1DcvxQo8jJwLlO8K0Di,"New York","Another Day, Another Time: Celebrating the Music of 'Inside Llewyn Davis'","The Milk Carton Kids",2015-01-09,205186,20,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-17T21:22:02Z,"indie folk,folk,americana","Nonesuch",0.397,0.558,2,-12.917,1,0.0383,0.663,0.0399,0.885,0.546,121.047,4
spotify:track:62hJ3kSrvqQKG3TEixlgnU,"Tomorrow Will Be Kinder","Another Day, Another Time: Celebrating the Music of 'Inside Llewyn Davis'","The Secret Sisters;Punch Brothers",2015-01-09,217333,33,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-17T21:22:02Z,"southern gothic,americana,bluegrass,newgrass,folk","Nonesuch",0.321,0.216,9,-14.43,1,0.058,0.911,0.000382,0.699,0.284,98.009,5
spotify:track:1WQG6aYjay7l30VKU20Lxm,"You Go Down Smooth","Another Day, Another Time: Celebrating the Music of 'Inside Llewyn Davis'","Lake Street Dive",2015-01-09,228120,21,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-17T21:22:02Z,"","Nonesuch",0.51,0.707,4,-7.227,1,0.0614,0.312,0.000929,0.7,0.379,99.254,4
spotify:track:64hpzF0As75Obu8SwK1LY7,"Four Strong Winds","Another Day, Another Time: Celebrating the Music of 'Inside Llewyn Davis'","Conor Oberst;Gillian Welch;Dave Rawlings",2015-01-09,264946,20,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-17T21:22:02Z,"americana,bluegrass,alt country,folk,southern gothic","Nonesuch",0.624,0.422,10,-11.542,1,0.0716,0.835,0,0.725,0.559,106.529,4
