Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4a6XLiY6PQmsUufWTDgrXc,"The Fall","Appaloosa Bones","Gregory Alan Isakov",2023-08-18,207586,61,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-31T16:31:29Z,"indie folk,folk,folk pop","Dualtone Music Group",0.566,0.536,9,-10.494,1,0.0313,0.852,0.496,0.118,0.204,135.02,4
spotify:track:78HuLtyQOVbjlCBdScBnNq,"Before the Sun","Appaloosa Bones","Gregory Alan Isakov",2023-08-18,168853,66,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-31T16:31:29Z,"indie folk,folk,folk pop","Dualtone Music Group",0.437,0.31,9,-12.083,1,0.029,0.94,0.103,0.0908,0.116,122.502,5
spotify:track:5oWey6pj5PX80AFVuNWBrS,"Appaloosa Bones","Appaloosa Bones","Gregory Alan Isakov",2023-08-18,239480,56,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-31T16:31:29Z,"indie folk,folk,folk pop","Dualtone Music Group",0.399,0.173,7,-13.537,1,0.0308,0.849,0.00134,0.0912,0.0902,149.312,3
spotify:track:5w6i8twsqy0DnXxGzPLHDp,"Silver Bell","Appaloosa Bones","Gregory Alan Isakov",2023-08-18,204960,48,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-31T16:31:29Z,"indie folk,folk,folk pop","Dualtone Music Group",0.394,0.314,11,-12.243,1,0.0286,0.894,0.00847,0.106,0.292,178.865,3
spotify:track:2aMIu0vGvDOkM75IdkRzMi,"Watchman","Appaloosa Bones","Gregory Alan Isakov",2023-08-18,198893,49,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-31T16:31:29Z,"indie folk,folk,folk pop","Dualtone Music Group",0.579,0.4,0,-12.375,1,0.0289,0.895,0.0000376,0.0773,0.337,107.026,4
spotify:track:3S3EJYLXPjao3vviYt3QVC,"Miles to Go","Appaloosa Bones","Gregory Alan Isakov",2023-08-18,183520,51,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-31T16:31:29Z,"indie folk,folk,folk pop","Dualtone Music Group",0.39,0.164,10,-11.619,1,0.0287,0.747,0.0172,0.121,0.275,71.842,4
spotify:track:46GRCVqTqADAOe8TwuayT7,"Terlingua","Appaloosa Bones","Gregory Alan Isakov",2023-08-18,190186,45,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-31T16:31:29Z,"indie folk,folk,folk pop","Dualtone Music Group",0.343,0.217,2,-14.663,1,0.0443,0.888,0.00262,0.0938,0.333,115.449,4
spotify:track:5bKb0ofYLZ0snMQDGrbWor,"Mistakes","Appaloosa Bones","Gregory Alan Isakov",2023-08-18,202680,67,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-31T16:31:29Z,"indie folk,folk,folk pop","Dualtone Music Group",0.216,0.329,11,-14.388,1,0.031,0.884,0.62,0.0975,0.195,45.023,4
spotify:track:2qwn6mOjEXp6zt53iYIr3C,"One Day","Appaloosa Bones","Gregory Alan Isakov",2023-08-18,161893,44,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-31T16:31:29Z,"indie folk,folk,folk pop","Dualtone Music Group",0.607,0.36,9,-11.465,1,0.0281,0.893,0.0000299,0.35,0.238,124.256,3
spotify:track:7gSZkeBr9Koc9Rfm3pp769,"Sweet Heat Lightning","Appaloosa Bones","Gregory Alan Isakov",2023-08-18,286120,78,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-31T16:31:29Z,"indie folk,folk,folk pop","Dualtone Music Group",0.567,0.205,0,-14.594,1,0.0282,0.905,0.386,0.105,0.136,65.961,4
spotify:track:1eqDPMIWx4ZXJldltwkBiJ,"Feed Your Horses","Appaloosa Bones","Gregory Alan Isakov",2023-08-18,211706,45,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-31T16:31:29Z,"indie folk,folk,folk pop","Dualtone Music Group",0.351,0.213,0,-14.076,1,0.0289,0.9,0.00202,0.0588,0.052,96.557,3
