Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6Ac4NVYYl2U73QiTt11ZKd,"Hooked On A Feeling","Hooked On A Feeling","Blue Swede;Björn Skifs",1974-04-01,172866,76,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-11-14T23:17:37Z,"","Parlophone Sweden",0.547,0.82,8,-6.728,1,0.0805,0.261,0,0.3,0.933,118.208,4
spotify:track:75GQIYnRaBg7ndHxhfYuQy,"Go All The Way","Raspberries","Raspberries",1972,205346,63,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-11-14T23:17:37Z,"power pop,jangle pop","Capitol Records",0.305,0.849,9,-4.892,1,0.0999,0.548,0.000134,0.0995,0.555,134.287,4
spotify:track:0Y2SrByf4G3kbq2nBEHQRn,"Spirit in the Sky","Music From The Motion Picture Michael","Norman Greenbaum",1996,239600,3,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-11-14T23:17:37Z,"classic rock","Giant",0.601,0.643,2,-5.828,1,0.0314,0.112,0.00209,0.088,0.552,128.262,4
spotify:track:6mib3N4E8PZHAGQ3xy7bho,"Moonage Daydream - 2012 Remaster","The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster)","David Bowie",1972-06-06,279693,71,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-11-14T23:17:37Z,"glam rock,art rock","Parlophone UK",0.56,0.605,11,-11.209,0,0.0348,0.0408,0.000162,0.0585,0.756,144.478,4
spotify:track:6BJTagJUFeUxHpVWxTmatw,"Fooled Around And Fell In Love","Boogie Nights #2 (More Music From The Original Motion Picture)","Elvin Bishop",1998-01-01,274333,59,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-11-14T23:17:37Z,"southern rock,yacht rock","Capitol Records",0.634,0.796,10,-6.374,1,0.031,0.0427,0.0309,0.155,0.565,113.475,3
spotify:track:6cuKJ1bFFy4OjfkCI9YBqc,"I'm Not In Love","The Original Soundtrack","10cc",1975,366640,0,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-11-14T23:17:37Z,"yacht rock,art rock,glam rock","Universal Music Group",0.404,0.523,4,-15.7,1,0.0575,0.685,0.000498,0.282,0.164,133.738,4
spotify:track:3b0EOvScbZUc0qJx0E1L2z,"I Want You Back","Diana Ross Presents The Jackson 5","The Jackson 5",1969-12-18,176333,1,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-11-14T23:17:37Z,"motown,christmas","Universal Music Group",0.639,0.548,8,-13.534,1,0.0394,0.29,0.0000968,0.366,0.887,98.359,4
spotify:track:7GVUmCP00eSsqc4tzj1sDD,"Come and Get Your Love - Single Version","Come and Get Your Love","Redbone",1973-11-01,205933,83,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-11-14T23:17:37Z,"native american music","Epic/Legacy",0.731,0.804,11,-7.621,0,0.0473,0.172,0.00028,0.0685,0.957,107.383,4
spotify:track:2moVYeVUZ6pz04l9QYYaqw,"Cherry Bomb","The Runaways","The Runaways",1976,138706,0,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-11-14T23:17:37Z,"riot grrrl,proto-punk","Universal Music Group",0.501,0.813,11,-8.192,1,0.0639,0.0455,0.0000475,0.131,0.495,136.59,4
spotify:track:79Dl8iYn0PFQG2wqDxPlQU,"Escape (The Pina Colada Song)","'70s Pop #1's","Rupert Holmes",2007-01-01,276413,55,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-11-14T23:17:37Z,"yacht rock","Universal Music Group International",0.818,0.691,0,-8.79,1,0.0529,0.357,0.00000948,0.127,0.934,139.697,4
spotify:track:74JdR9aXE6I74oS1BVRsvb,"O-o-h Child","The First Family of Soul: The Best of The Five Stairsteps","The Five Stairsteps",2001-11-06,197160,65,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-11-14T23:17:37Z,"","Buddha Records",0.488,0.754,5,-7.95,0,0.0381,0.00154,0.0000242,0.678,0.664,88.368,4
spotify:track:4GU2HJEijBsxHJY5TJrnLi,"Ain't No Mountain High Enough","100 Essential Soul & Funk Classics","Marvin Gaye;Tammi Terrell",2010-10-15,147173,0,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-11-14T23:17:37Z,"motown,classic soul,soul,northern soul,quiet storm","Universal Music Group International",0.654,0.788,7,-5.067,1,0.0358,0.403,0,0.243,0.772,129.932,4
spotify:track:2RlgNHKcydI9sayD2Df2xp,"Mr. Blue Sky","Out of the Blue","Electric Light Orchestra",1977,303820,83,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-11-14T23:17:37Z,"art rock,soft rock","Epic/Legacy",0.388,0.338,10,-10.054,1,0.0329,0.652,0.00000373,0.248,0.478,177.765,4
spotify:track:66gG8RzSA2sVQwME8e43wX,"Fox On The Run","Best Of Sweet","Sweet",1993-01-01,205733,54,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-11-14T23:17:37Z,"glam rock","Capitol Records",0.523,0.762,4,-8.669,1,0.0346,0.0308,0,0.0675,0.881,128.064,4
spotify:track:46MX86XQqYCZRvwPpeq4Gi,"Lake Shore Drive","Lake Shore Drive","Aliotta Haynes Jeremiah",1972,235173,65,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-11-14T23:17:37Z,"","Aliotta Haynes Jeremiah",0.434,0.885,4,-7.367,1,0.0396,0.204,0,0.0811,0.843,93.999,4
spotify:track:5e9TFTbltYBg2xThimr0rU,"The Chain - 2004 Remaster","Rumours (Super Deluxe)","Fleetwood Mac",1977-02-04,270213,89,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-11-14T23:17:37Z,"yacht rock,classic rock,soft rock","Rhino/Warner Records",0.545,0.67,9,-8.81,1,0.0496,0.009,0.000822,0.0451,0.481,151.553,4
spotify:track:0WVTQp3SOCuMr08jh1jweV,"Bring It On Home to Me","The Man Who Invented Soul","Sam Cooke",2000-09-26,162533,64,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-11-14T23:17:37Z,"motown,soul,classic soul","RCA Records Label",0.523,0.402,0,-8.233,1,0.0305,0.778,0,0.432,0.675,70.863,4
