Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6fhYDfL4D9OvrCkusfwXJg,"Home Improvement","Battle Hymn of the Early Riser","Jackson Emmer",2025-06-13,196173,3,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-22T12:25:43Z,"americana,alt country","Diamond Ranch Records",0.634,0.25,5,-10.933,1,0.0296,0.778,0.0191,0.108,0.444,109.431,4
spotify:track:1pGOb9baBhiQteszMWgDtL,"Battle Hymn of the Early Riser","Battle Hymn of the Early Riser","Jackson Emmer",2025-06-13,179133,2,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-22T12:25:43Z,"americana,alt country","Diamond Ranch Records",0.713,0.207,4,-13.118,1,0.0472,0.95,0.0000197,0.109,0.468,108.047,3
spotify:track:759L6YxHrMlJQxfDo6lGAF,"Jericho's Diamonds","Battle Hymn of the Early Riser","Jackson Emmer",2025-06-13,258372,3,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-22T12:25:43Z,"americana,alt country","Diamond Ranch Records",0.52,0.218,3,-11.22,1,0.0314,0.949,0.000846,0.142,0.373,135.812,3
spotify:track:0MjXhm0bv2NjVzrNm037mr,"Turned Off The Power","Battle Hymn of the Early Riser","Jackson Emmer",2025-06-13,205280,1,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-22T12:25:43Z,"americana,alt country","Diamond Ranch Records",0.592,0.319,0,-9.498,0,0.0264,0.932,0.0155,0.107,0.394,131.876,4
spotify:track:5QTIw9nDu6rPMTe6dlKGhP,"Dinosaur Bones","Battle Hymn of the Early Riser","Jackson Emmer",2025-06-13,189026,1,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-22T12:25:43Z,"americana,alt country","Diamond Ranch Records",0.5,0.254,5,-12.007,1,0.0331,0.932,0.000658,0.119,0.337,73.781,4
spotify:track:5uhXio2tLJVP2DQgjAEnP6,"Dad's Shoes","Battle Hymn of the Early Riser","Jackson Emmer",2025-06-13,244826,1,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-22T12:25:43Z,"americana,alt country","Diamond Ranch Records",0.694,0.131,2,-13.791,1,0.0392,0.964,0.0000417,0.109,0.388,139.85,4
spotify:track:4CJEW0SxNVCUSkJbwb2uxF,"Early Bird","Battle Hymn of the Early Riser","Jackson Emmer",2025-06-13,171133,2,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-22T12:25:43Z,"americana,alt country","Diamond Ranch Records",0.866,0.298,5,-9.937,1,0.0468,0.958,0.0194,0.0898,0.684,114.043,4
spotify:track:7g0R5IBVobdZ5kNYzMNoRz,"Goddess At My House","Battle Hymn of the Early Riser","Jackson Emmer",2025-06-13,261333,0,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-22T12:25:43Z,"americana,alt country","Diamond Ranch Records",0.592,0.205,7,-10.17,1,0.0329,0.913,0.00000668,0.104,0.448,71.783,4
spotify:track:27ZQHCEADAFS9qDb9rWvme,"Clementine Unicorn Sacrifice","Battle Hymn of the Early Riser","Jackson Emmer",2025-06-13,191120,1,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-22T12:25:43Z,"americana,alt country","Diamond Ranch Records",0.481,0.307,4,-10.271,1,0.0318,0.708,0.000256,0.111,0.335,147.659,4
spotify:track:0KuaFUyCegesespJiHc1EV,"Mexican Cough Medicine","Battle Hymn of the Early Riser","Jackson Emmer",2025-06-13,187413,2,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-22T12:25:43Z,"americana,alt country","Diamond Ranch Records",0.644,0.451,4,-10.432,1,0.0426,0.731,0.27,0.106,0.841,147.948,4
spotify:track:0JdNUPiARzeTB1bA5XpaRh,"Hickory Street","Battle Hymn of the Early Riser","Jackson Emmer",2025-06-13,218720,2,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-22T12:25:43Z,"americana,alt country","Diamond Ranch Records",0.546,0.189,11,-12.527,1,0.0305,0.819,0.000844,0.109,0.322,143.568,4
spotify:track:6ouNvlbhGG2YZ1weHireEP,"When A Soul Travels On","Battle Hymn of the Early Riser","Jackson Emmer",2025-06-13,168546,5,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-22T12:25:43Z,"americana,alt country","Diamond Ranch Records",0.635,0.403,7,-10.614,1,0.029,0.931,0.000509,0.0889,0.605,93.985,4
