Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6FoBB5GTeTS27zWRkeq6EQ,"Bluey Theme Tune (Orchestral Version)","Bluey Theme Tune (Orchestral Version)","Bluey;Joff Bush",2026-01-28,203683,41,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-20T21:58:20Z,"children's music","Crimson",0.364,0.285,4,-8.89,1,0.0354,0.921,0.459,0.127,0.384,85.591,4
spotify:track:3vn4dxTOsUb6ps9xPC2L0i,"Keepy Uppy","Bluey the Album (Music from the Original TV Series)","Bluey;Joff Bush",2021-01-22,183501,63,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-20T21:58:20Z,"children's music","Crimson",0.789,0.581,0,-4.807,1,0.0412,0.469,0.781,0.42,0.916,89.998,4
spotify:track:1eaZSJ0jVWmj9HKjAtl2Sf,"Rain (Instrumental)","Dance Mode!","Bluey;Joff Bush;Jazz D'Arcy",2023-04-21,217719,61,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-20T21:58:20Z,"children's music","Crimson",0.552,0.545,0,-7.173,1,0.0342,0.415,0.668,0.38,0.565,185.099,3
spotify:track:3ABoIhUlvJZp2ZDlfeThP7,"Bluey Theme Tune (Instrument Parade)","Bluey the Album (Music from the Original TV Series)","Bluey",2021-01-22,132906,65,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-20T21:58:20Z,"children's music","Crimson",0.687,0.625,4,-5.816,1,0.1,0.0558,0.0319,0.151,0.965,175.053,4
spotify:track:3GbQCr7UQdmrmQ195pYPHQ,"Lollipop Yum Yum Yum","Dance Mode!","Bluey;Joff Bush",2023-04-21,61291,55,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-20T21:58:20Z,"children's music","Crimson",0.692,0.978,0,-4.679,1,0.222,0.101,0.345,0.032,0.236,189.971,4
spotify:track:4USiIZwW3f7p46GWzcO42s,"Here Come the Grannies!","Bluey the Album (Music from the Original TV Series)","Bluey;Joff Bush",2021-01-22,144231,61,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-20T21:58:20Z,"children's music","Crimson",0.76,0.799,7,-3.242,1,0.0522,0.457,0.819,0.155,0.973,157.944,4
spotify:track:7w0YAVJvm8THnHi90utgTf,"The BeeeeeOOP Walk","Dance Mode!","Bluey",2023-04-21,138971,56,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-20T21:58:20Z,"children's music","Crimson",0.901,0.554,5,-5.196,1,0.0678,0.149,0.0547,0.128,0.961,131.977,4
spotify:track:06zVPfiQ2HxBHvpBEGO0s3,"Octopus (feat. King Stingray)","Rug Island","Bluey;Joff Bush;King Stingray",2024-10-25,161480,41,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-20T21:58:20Z,"children's music","Crimson",0.679,0.932,0,-3.502,1,0.0344,0.0595,0.106,0.411,0.964,152.976,4
spotify:track:4ywAR8TWrOs75PIBckIYqw,"Doo-Ba-Zoo","Dance Mode!","Bluey",2023-04-21,164069,54,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-20T21:58:20Z,"children's music","Crimson",0.967,0.536,0,-6.455,1,0.0499,0.203,0.0228,0.0699,0.905,117.001,4
spotify:track:5NuyJAjEhItkHFJ2l5pkWX,"Rug Island - Full Version","Rug Island (Full Version)","Bluey;Joff Bush",2024-11-29,244476,44,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-20T21:58:20Z,"children's music","Crimson",0.412,0.133,0,-12.972,1,0.0428,0.958,0.107,0.0852,0.202,94.575,4
spotify:track:6Unkt22dubBEegSQAx9j58,"A Message from the Fairies (John Ryan's Polka)","Bluey the Album (Music from the Original TV Series)","Bluey;Steven Peach",2021-01-22,155499,61,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-20T21:58:20Z,"children's music","Crimson",0.519,0.742,2,-6.836,1,0.0645,0.125,0.0225,0.0502,0.695,155.858,4
spotify:track:18D7ja7fzfnzXr6ARG6SUq,"Onesies","Rug Island","Bluey;Joff Bush",2024-10-25,204373,41,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-20T21:58:20Z,"children's music","Crimson",0.826,0.397,7,-6.031,1,0.0663,0.453,0.404,0.0892,0.32,122.955,4
spotify:track:5bF4MESYAJUpUmrGuhyGON,"I Know a Place (The Creek Song)","Bluey the Album (Music from the Original TV Series)","Bluey;Helena Czajka;Jazz D'Arcy",2021-01-22,196019,61,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-20T21:58:20Z,"children's music,neoclassical","Crimson",0.564,0.381,6,-11.326,1,0.0288,0.737,0.0227,0.0954,0.323,103.94,4
spotify:track:2fjzQBE5mdrkmjYI3WkAWK,"Chattermax","Dance Mode!","Bluey;Joff Bush;Steve Peach",2023-04-21,81363,57,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-20T21:58:20Z,"children's music","Crimson",0.663,0.925,9,-3.364,1,0.118,0.105,0.862,0.139,0.962,180.016,4
spotify:track:2RpIM5fRYM5hJbFmkkhqXC,"The Claw (Pachelbel's Canon)","Bluey the Album (Music from the Original TV Series)","Bluey;Marly Luske;Joff Bush",2021-01-22,97117,57,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-20T21:58:20Z,"children's music","Crimson",0.706,0.675,8,-8.261,1,0.0862,0.0115,0.0613,0.0944,0.807,159.981,4
spotify:track:3mmahMWgu7hMc50NuLDCTZ,"Bin Night","Rug Island","Bluey;Joff Bush",2024-10-25,193938,46,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-20T21:58:20Z,"children's music","Crimson",0.535,0.403,0,-7.613,1,0.0384,0.557,0.483,0.132,0.734,113.41,4
spotify:track:7uXf719Zw3ID8XBxp6S0Ja,"Taxi","Bluey the Album (Music from the Original TV Series)","Bluey;Joff Bush",2021-01-22,166886,58,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-20T21:58:20Z,"children's music","Crimson",0.833,0.78,0,-7.025,1,0.119,0.0546,0.0199,0.815,0.88,90.011,4
spotify:track:4BWVVzwfXdcuHL2kcAD2hF,"Bluey Theme Tune (Burger Dog Version)","Burger Dog / Bluey Theme Tune (Burger Dog Version)","Bluey;Joff Bush;Daniel O’Brien",2025-04-11,65361,44,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-20T21:58:20Z,"children's music","Crimson",0.777,0.62,4,-6.036,1,0.509,0.163,0.18,0.417,0.959,174.953,4
spotify:track:7oOxFi8CpfqcTrvLxOh5qw,"Bluey Theme Tune (Dance Remix)","Dance Mode!","Bluey;Craig Parry;Marly Luske",2023-04-21,120731,56,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-20T21:58:20Z,"children's music","Crimson",0.521,0.843,9,-6.18,1,0.0752,0.000713,0.741,0.0554,0.66,179.952,4
spotify:track:5rlMC0zVyZmQnSdkO4Sa3n,"Pool","Bluey the Album (Music from the Original TV Series)","Bluey;Joff Bush",2021-01-22,179255,58,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-20T21:58:20Z,"children's music","Crimson",0.528,0.733,11,-6.789,1,0.0291,0.0612,0.306,0.35,0.302,120.067,4
spotify:track:2RHlgIF8RFAGfFGCwAuskV,"Bluey Theme Tune (Vocal Version)","Rug Island","Bluey;Joff Bush",2024-10-25,83440,43,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-20T21:58:20Z,"children's music","Crimson",0.662,0.509,1,-7.397,0,0.268,0.491,0.00244,0.141,0.501,175.143,4
spotify:track:099WH6KH0PNbuoktAmhPxJ,"Who Likes to Dance?","Bluey the Album (Music from the Original TV Series)","Bluey;Joff Bush",2021-01-22,147509,57,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-20T21:58:20Z,"children's music","Crimson",0.644,0.876,2,-4.842,1,0.0497,0.0974,0.253,0.105,0.925,102.536,4
spotify:track:51xz6vYuCkjLWpJ4xgAbM1,"Sticky Gecko","Dance Mode!","Bluey;Joff Bush",2023-04-21,256393,52,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-20T21:58:20Z,"children's music","Crimson",0.452,0.603,8,-7.117,1,0.0882,0.462,0.177,0.0649,0.373,87.987,4
spotify:track:4gfxbgos8kfCZybOnMgmns,"The Weekend","Bluey the Album (Music from the Original TV Series)","Bluey;David Barber",2021-01-22,157687,60,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-20T21:58:20Z,"children's music","Crimson",0.633,0.335,2,-10.423,1,0.0303,0.492,0.00012,0.0839,0.82,134.023,4
spotify:track:0ROlpKnQL5HjcPccRLc2PM,"Explorers","Rug Island","Bluey;Joff Bush;Steven Peach",2024-10-25,199626,43,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-20T21:58:20Z,"children's music","Crimson",0.693,0.698,2,-4.225,1,0.0362,0.365,0.000348,0.222,0.874,114.987,4
spotify:track:5MEz0gsrxQ772PuDj0phQs,"Bluey Theme Tune - Extended","Bluey the Album (Music from the Original TV Series)","Bluey;Joff Bush",2021-01-22,65287,63,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-20T21:58:20Z,"children's music","Crimson",0.86,0.579,9,-6.573,1,0.243,0.0497,0.431,0.09,0.969,87.446,4
spotify:track:5A7NglEPKMeCu7y8AJmzAD,"Wagon Ride","Bluey the Album (Music from the Original TV Series)","Bluey;Joff Bush",2021-01-22,202098,60,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-20T21:58:20Z,"children's music","Crimson",0.441,0.315,5,-10.435,1,0.033,0.902,0.0212,0.0976,0.414,171.928,4
spotify:track:5E79xsTazcJmgi8H7m4TKm,"Copycat","Dance Mode!","Bluey;Joff Bush;Jazz D'Arcy",2023-04-21,118334,53,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-20T21:58:20Z,"children's music","Crimson",0.675,0.635,7,-4.701,1,0.0482,0.244,0.0927,0.219,0.876,129.985,4
