Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3uSuDgWfSBTTyaVqPxvbM9,"Scottish Cowboy","Causeway Recordings","Sam Shackleton",2022-03-25,178530,39,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-31T16:46:48Z,"traditional folk,folk,bluegrass","Sam Shackleton",0.773,0.384,0,-6.509,1,0.0433,0.671,0.0000387,0.116,0.782,123.642,4
spotify:track:2RysLeL2Ld3JwoEAtYA3IM,"Cuckoo Bird","Causeway Recordings","Sam Shackleton",2022-03-25,260568,33,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-31T16:46:48Z,"traditional folk,folk,bluegrass","Sam Shackleton",0.588,0.777,10,-5.713,1,0.0301,0.73,0.0334,0.0662,0.96,113.587,4
spotify:track:0LNJNeDrRxA4zSSR7BDLGa,"Summer Sailor","Causeway Recordings","Sam Shackleton",2022-03-25,249645,34,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-31T16:46:48Z,"traditional folk,folk,bluegrass","Sam Shackleton",0.5,0.327,0,-8.39,1,0.026,0.616,0.00446,0.104,0.214,113.708,4
spotify:track:43kqUxLZmpgGUbesadnlzR,"Long Golden Chain","Causeway Recordings","Sam Shackleton",2022-03-25,230943,23,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-31T16:46:48Z,"traditional folk,folk,bluegrass","Sam Shackleton",0.574,0.552,11,-6.968,1,0.0314,0.488,0.000698,0.119,0.672,100.605,4
spotify:track:51RIbiKZz3H8DoPmyHpVZH,"Gambling Davey","Causeway Recordings","Sam Shackleton",2022-03-25,223569,43,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-31T16:46:48Z,"traditional folk,folk,bluegrass","Sam Shackleton",0.748,0.834,5,-6.921,1,0.0297,0.782,0.177,0.0845,0.833,115.832,4
spotify:track:4l2Z6FI7iGXynmuzcTovC7,"Pink Collar Blues","Causeway Recordings","Sam Shackleton",2022-03-25,195333,22,true,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-31T16:46:48Z,"traditional folk,folk,bluegrass","Sam Shackleton",0.461,0.693,0,-8.404,1,0.0601,0.578,0.00632,0.099,0.863,109.914,4
spotify:track:2FiegE37arRX4qdfj9j8rd,"Weary Rambler","Causeway Recordings","Sam Shackleton",2022-03-25,176739,43,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-31T16:46:48Z,"traditional folk,folk,bluegrass","Sam Shackleton",0.622,0.357,1,-10.177,1,0.0291,0.6,0,0.104,0.524,100.607,4
spotify:track:12w5AVpIcWMSdPIxncqVxF,"Ballad of the Lost Boys","Causeway Recordings","Sam Shackleton",2022-03-25,249958,20,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-31T16:46:48Z,"traditional folk,folk,bluegrass","Sam Shackleton",0.498,0.656,3,-8.022,1,0.0281,0.406,0.000103,0.0975,0.661,103.496,4
spotify:track:37xzCkHYeXzMTK3eLir7Qm,"House Carpenter","Causeway Recordings","Sam Shackleton",2022-03-25,321246,21,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-31T16:46:48Z,"traditional folk,folk,bluegrass","Sam Shackleton",0.709,0.721,2,-6.636,1,0.0286,0.841,0.00313,0.0841,0.901,117.383,4
spotify:track:2vuTpbhRfPcbcUfyTIo5BF,"Pale Blue Swallows","Causeway Recordings","Sam Shackleton",2022-03-25,297977,20,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-31T16:46:48Z,"traditional folk,folk,bluegrass","Sam Shackleton",0.655,0.301,11,-10.264,1,0.0304,0.688,0.000151,0.0779,0.308,123.826,4
spotify:track:08VMZK2ux4Jg3NrVj4NZxJ,"Waldey Woo","Causeway Recordings","Sam Shackleton",2022-03-25,241451,24,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-31T16:46:48Z,"traditional folk,folk,bluegrass","Sam Shackleton",0.494,0.438,11,-7.606,0,0.0282,0.774,0.000212,0.0957,0.261,121.981,4
spotify:track:4e2leifgqPu30fymTXDwoi,"Lonesome River Song","Causeway Recordings","Sam Shackleton",2022-03-25,150552,19,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-31T16:46:48Z,"traditional folk,folk,bluegrass","Sam Shackleton",0.484,0.76,2,-7.738,1,0.0318,0.219,0.00927,0.135,0.758,108.559,4
spotify:track:6Fl58wnWLJD1IVZD5sPzIr,"Song to a Clown","Causeway Recordings","Sam Shackleton",2022-03-25,172169,35,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-31T16:46:48Z,"traditional folk,folk,bluegrass","Sam Shackleton",0.773,0.383,4,-10.8,1,0.0309,0.882,0.0000845,0.116,0.714,108.762,4
