Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:70z3iCSOVescFZO7gEM3jE,"Ghost","Chin Chin","Ezra Bell",2025-10-24,144940,32,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-14T20:42:05Z,"","Ezra Bell",0.621,0.499,0,-9.738,0,0.0266,0.139,0.000015,0.148,0.271,95.934,4
spotify:track:0nfQ5LR4xESTwnDMApPnYu,"Brave Men","Chin Chin","Ezra Bell",2025-10-24,162251,23,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-14T20:42:05Z,"","Ezra Bell",0.328,0.37,11,-8.852,1,0.0344,0.49,0.00000773,0.115,0.336,185.826,3
spotify:track:4v6ItgQWBx3gHskleEtRDh,"Tommy’s Lullaby","Chin Chin","Ezra Bell",2025-10-24,191813,23,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-14T20:42:05Z,"","Ezra Bell",0.269,0.309,2,-12.215,1,0.0327,0.586,0.000427,0.109,0.307,183.077,3
spotify:track:1uoibqvmAD92y8NqT3I4ti,"Cowards","Chin Chin","Ezra Bell",2025-10-24,228436,25,true,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-14T20:42:05Z,"","Ezra Bell",0.47,0.398,4,-10.538,0,0.0383,0.27,0,0.0839,0.113,152.267,4
spotify:track:387Di15r5TtwYapGcUJGFF,"Cannonball Wingman","Chin Chin","Ezra Bell",2025-10-24,271844,27,true,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-14T20:42:05Z,"","Ezra Bell",0.662,0.379,5,-12.061,0,0.0341,0.191,0,0.0959,0.657,118.107,4
spotify:track:4dOnRGlFP7zRX7ogIy9NW7,"Picnic","Chin Chin","Ezra Bell",2025-10-24,186675,20,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-14T20:42:05Z,"","Ezra Bell",0.545,0.343,2,-13.099,0,0.0346,0.0258,0.0000293,0.238,0.18,138.101,4
spotify:track:7l98ww851ET6s9OBsgFRP0,"Dada","Chin Chin","Ezra Bell",2025-10-24,146620,19,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-14T20:42:05Z,"","Ezra Bell",0.402,0.39,4,-12.823,1,0.061,0.643,0.0000423,0.114,0.201,167.989,4
spotify:track:4jRJiFD0KQ3MsgzX89wBbv,"It Looks Like Love","Chin Chin","Ezra Bell",2025-10-24,148030,29,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-14T20:42:05Z,"","Ezra Bell",0.566,0.289,0,-12.116,1,0.038,0.72,0.00000432,0.128,0.287,108.299,4
spotify:track:2A4X7rvDnWmDnFihOdznbe,"Try Again","Chin Chin","Ezra Bell",2025-10-24,227527,21,true,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-14T20:42:05Z,"","Ezra Bell",0.561,0.463,7,-11.685,1,0.0359,0.0678,0.0000643,0.0479,0.36,96.069,4
spotify:track:6lZANZkiEHhwEoE2zuXnYy,"Let Me In","Chin Chin","Ezra Bell",2025-10-24,200088,26,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-14T20:42:05Z,"","Ezra Bell",0.414,0.31,2,-12.406,1,0.0462,0.486,0.0000888,0.093,0.334,181.721,3
