Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0V3HGpfEGKomP3LweJL0sD,"The Keeper","Cicada Rhythm","Cicada Rhythm",2015-10-30,182720,34,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:20:14Z,"americana","Normaltown Records",0.553,0.18,7,-13.382,1,0.0287,0.678,0.00206,0.0993,0.104,101.301,3
spotify:track:3kBaxSbf7FdlzVazwqrPC8,"Dirty Hound","Cicada Rhythm","Cicada Rhythm",2015-10-30,205693,48,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:20:14Z,"americana","Normaltown Records",0.585,0.44,9,-13.299,1,0.03,0.109,0.759,0.0869,0.774,149.688,4
spotify:track:4QonatbkNyixMCrl8sWWKE,"Walking Late","Cicada Rhythm","Cicada Rhythm",2015-10-30,201173,32,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:20:14Z,"americana","Normaltown Records",0.574,0.255,3,-16.03,1,0.028,0.597,0.567,0.106,0.351,98.219,4
spotify:track:5vaDMTpX2opTcVfAC0rZpw,"In The Garden","Cicada Rhythm","Cicada Rhythm",2015-10-30,149320,31,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:20:14Z,"americana","Normaltown Records",0.752,0.347,2,-15.939,1,0.0625,0.539,0.476,0.152,0.685,114.554,4
spotify:track:3gJepxu1TLsR9I4wAGrh89,"Static In My Dream","Cicada Rhythm","Cicada Rhythm",2015-10-30,196440,26,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:20:14Z,"americana","Normaltown Records",0.287,0.112,7,-15.608,1,0.0355,0.86,0.000854,0.109,0.0879,81.988,5
spotify:track:0BFyd2HkHvRRbniVyMDXF1,"Shadows Before You","Cicada Rhythm","Cicada Rhythm",2015-10-30,202853,11,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:20:14Z,"americana","Normaltown Records",0.37,0.0926,4,-15.367,1,0.0324,0.858,0.0122,0.116,0.261,72.954,4
spotify:track:1pS6GFI5GIKcjPXn2Vi52B,"Round Yellow Suitcase","Cicada Rhythm","Cicada Rhythm",2015-10-30,324786,15,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:20:14Z,"americana","Normaltown Records",0.564,0.165,7,-13.85,1,0.0375,0.723,0.0784,0.113,0.186,114.63,3
spotify:track:0hY9LVae6T8uBOd1HfTjHV,"The Farmer","Cicada Rhythm","Cicada Rhythm",2015-10-30,217600,21,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:20:14Z,"americana","Normaltown Records",0.471,0.112,4,-14.676,1,0.0345,0.599,0.000833,0.114,0.163,116.051,3
spotify:track:2ZxVJYLzP6uwBtbkPRLoyG,"I'm Sorry Charlene","Cicada Rhythm","Cicada Rhythm",2015-10-30,168000,15,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:20:14Z,"americana","Normaltown Records",0.43,0.161,10,-12.892,1,0.0311,0.758,0.0438,0.131,0.384,172.325,3
spotify:track:7mYxZMKQKD3FykXopG73U9,"Werewolf","Cicada Rhythm","Cicada Rhythm",2015-10-30,230560,21,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:20:14Z,"americana","Normaltown Records",0.535,0.166,4,-14.034,1,0.0351,0.62,0.00257,0.116,0.118,96.009,4
spotify:track:4iXSD0VOgqTcZqsVd8FdmK,"Do Not Destroy","Cicada Rhythm","Cicada Rhythm",2015-10-30,322906,33,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:20:14Z,"americana","Normaltown Records",0.388,0.154,4,-16.716,1,0.03,0.937,0.143,0.103,0.0743,96.629,4
spotify:track:2FGZsYwWRxm46TRHlXIaRg,"Ms. Eloise","Cicada Rhythm","Cicada Rhythm",2015-10-30,160400,8,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:20:14Z,"americana","Normaltown Records",0.269,0.274,0,-14.046,1,0.0317,0.857,0.0845,0.106,0.134,143.467,4
