Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7oK9VyNzrYvRFo7nQEYkWN,"Mr. Brightside","Hot Fuss","The Killers",2004-06-15,222586,10,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-04-22T15:39:22Z,"alternative rock","Island Records",0.356,0.924,1,-3.74,1,0.0808,0.00101,0,0.0953,0.232,148.017,4
spotify:track:27L8sESb3KR79asDUBu8nW,"Stacy's Mom","Welcome Interstate Managers","Fountains Of Wayne",2003-01-01,197986,77,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-04-22T15:39:30Z,"power pop","S-Curve Records",0.774,0.75,11,-4.927,0,0.0412,0.00207,0.0000178,0.0808,0.927,118.015,4
spotify:track:5RsUlxLto4NZbhJpqJbHfN,"Jessie's Girl","Working Class Dog","Rick Springfield",1981-03-13,194120,75,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-04-22T15:39:35Z,"yacht rock","RCA/Legacy",0.727,0.834,2,-5.851,1,0.0496,0.165,0,0.105,0.816,131.7,4
spotify:track:6sy3LkhNFjJWlaeSMNwQ62,"Counting Stars","Native","OneRepublic",2014-01-01,257840,74,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-04-22T15:39:53Z,"soft pop","Mosley / Interscope",0.663,0.706,1,-4.972,0,0.0383,0.0654,0,0.115,0.474,122.013,4
spotify:track:4cdgQp78RyRzI04Bmw8o44,"Payphone - Edit","Overexposed (Deluxe)","Maroon 5;Wiz Khalifa",2012-01-01,231373,49,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-04-22T15:40:02Z,"pop","Interscope Records*",0.741,0.783,4,-4.791,1,0.0415,0.015,0,0.302,0.534,110.002,4
spotify:track:3DamFFqW32WihKkTVlwTYQ,"Fireflies","Ocean Eyes","Owl City",2009-01-01,228346,81,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-04-22T15:40:09Z,"","Universal Records",0.512,0.662,3,-6.797,1,0.0439,0.0275,0,0.118,0.472,180.114,4
spotify:track:0HPD5WQqrq7wPWR7P7Dw1i,"TiK ToK","Animal (Expanded Edition)","Kesha",2010-01-01,199693,86,false,r0sb4304i3rsh8qs8rvt5fy5l,2023-02-21T17:02:09Z,"","RCA Records Label",0.755,0.837,2,-2.718,0,0.142,0.0991,0,0.289,0.714,120.028,4
spotify:track:67T6l4q3zVjC5nZZPXByU8,"Whatcha Say","Jason Derulo","Jason Derulo",2010-02-24,221253,73,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-04-22T15:40:49Z,"","Beluga Heights/Warner Records",0.615,0.711,11,-5.507,1,0.078,0.0444,0,0.145,0.711,144.034,4
spotify:track:1DqdF42leyFIzqNDv9CjId,"Dynamite","Rokstarr","Taio Cruz",2010-01-01,203866,74,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-04-22T15:40:55Z,"","Universal-Island Records Ltd.",0.754,0.804,4,-3.177,1,0.0853,0.00332,0,0.0329,0.818,119.968,4
spotify:track:6F5c58TMEs1byxUstkzVeM,"Roar","PRISM (Deluxe)","Katy Perry",2013-10-18,223546,74,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-04-22T15:41:07Z,"pop","Capitol Records (CAP)",0.671,0.771,7,-4.821,0,0.0316,0.00492,0.00000728,0.354,0.436,90.003,4
spotify:track:2iUmqdfGZcHIhS3b9E9EWq,"Everybody Talks","Picture Show","Neon Trees",2012-01-01,177280,82,true,r0sb4304i3rsh8qs8rvt5fy5l,2022-04-22T15:41:40Z,"","Mercury Records",0.471,0.924,8,-3.906,1,0.0584,0.00301,0,0.313,0.716,154.962,4
spotify:track:2Fs18NaCDuluPG1DHGw1XG,"Life is a Highway","Me And My Gang","Rascal Flatts",2006-11-13,276320,77,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-04-22T15:41:43Z,"country","Lyric Street",0.582,0.952,5,-3.848,1,0.0731,0.00324,0,0.223,0.655,103.027,4
spotify:track:4HlFJV71xXKIGcU3kRyttv,"Hey, Soul Sister","Save Me, San Francisco (Golden Gate Edition)","Train",2010-12-01,216773,84,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-04-22T15:41:49Z,"soft pop","Columbia",0.673,0.886,1,-4.44,0,0.0431,0.185,0,0.0826,0.795,97.012,4
spotify:track:4w1lzcaoZ1IC2K5TwjalRP,"A Thousand Miles","Be Not Nobody","Vanessa Carlton",2002-04-30,237493,82,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-04-22T15:41:53Z,"","A&M",0.56,0.825,11,-3.862,1,0.0379,0.323,0,0.161,0.268,94.931,4
spotify:track:4RCWB3V8V0dignt99LZ8vH,"Hey There Delilah","All That We Needed","Plain White T's",2005-01-25,232533,82,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-04-22T15:42:06Z,"","Fearless Records",0.658,0.291,2,-10.572,1,0.0292,0.872,0,0.114,0.295,103.962,4
spotify:track:12rVL9zxkLUrInr6sg8gwX,"Airplanes (feat. Hayley Williams of Paramore)","B.o.B Presents: The Adventures of Bobby Ray","B.o.B;Hayley Williams",2010-04-27,179800,48,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-04-22T15:42:16Z,"art pop","Rebel Rock/Grand Hustle/Atlantic",0.66,0.846,6,-5.252,0,0.124,0.113,0,0.0459,0.417,93.026,4
spotify:track:0qOnSQQF0yzuPWsXrQ9paz,"Stereo Hearts (feat. Adam Levine)","The Papercut Chronicles II","Gym Class Heroes;Adam Levine",2011-11-11,210960,86,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-04-22T15:42:28Z,"","Decaydance/Fueled By Ramen",0.646,0.795,9,-3.293,1,0.0976,0.0319,0,0.267,0.796,89.99,4
spotify:track:5IMtdHjJ1OtkxbGe4zfUxQ,"Escape (The Pina Colada Song)","Partners In Crime","Rupert Holmes",1979-01-01,276493,78,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-04-22T15:43:29Z,"yacht rock","Geffen*",0.835,0.509,0,-13.668,1,0.0548,0.469,0.00000411,0.0436,0.949,138.711,4
spotify:track:70C4NyhjD5OZUMzvWZ3njJ,"Piano Man","Piano Man (Legacy Edition)","Billy Joel",1973-11-07,339000,85,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-04-22T15:43:34Z,"soft rock","Columbia/Legacy",0.331,0.55,0,-6.483,1,0.0272,0.605,0.00000396,0.192,0.429,177.734,3
spotify:track:4cluDES4hQEUhmXj6TXkSo,"What Makes You Beautiful","Up All Night","One Direction",2012-05-25,199986,87,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-04-22T15:45:35Z,"","Syco Music UK",0.726,0.787,4,-2.494,1,0.0737,0.009,0,0.0596,0.888,124.99,4
spotify:track:0VwNdo84DaVYLIkbVO86ND,"We Are Never Ever Getting Back Together","Red (Big Machine Radio Release Special)","Taylor Swift",2012-10-22,193146,72,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-04-22T15:45:38Z,"","Taylor Swift",0.628,0.676,7,-5.911,1,0.0916,0.00957,0.0000265,0.121,0.75,85.984,4
spotify:track:2i0AUcEnsDm3dsqLrFWUCq,"Tonight Tonight","Whatever","Hot Chelle Rae",2011-11-25,200466,70,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-04-22T15:45:47Z,"","RCA Records Label",0.686,0.783,4,-4.977,1,0.119,0.0764,0,0.163,0.814,99.978,4
spotify:track:72jCZdH0Lhg93z6Z4hBjgj,"I Knew You Were Trouble.","Red","Taylor Swift",2012-10-22,217973,73,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-04-22T15:46:18Z,"","Taylor Swift",0.622,0.469,3,-6.798,0,0.0363,0.00454,0.00000225,0.0398,0.679,77.019,4
spotify:track:3KkXRkHbMCARz0aVfEt68P,"Sunflower - Spider-Man: Into the Spider-Verse","Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture)","Post Malone;Swae Lee",2018-12-14,158040,85,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-04-22T15:47:49Z,"","Universal Records",0.76,0.478,2,-5.574,1,0.0467,0.552,0,0.0703,0.913,89.908,4
