Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4RvW5ggYKC7bCDX4UUSSDc,"Sleep On The Floor","Cleopatra","The Lumineers",2016-04-08,211851,76,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-07T19:09:44Z,"folk pop,indie folk","Dualtone Music Group",0.389,0.431,7,-8.061,1,0.0344,0.249,0,0.13,0.275,142.133,4
spotify:track:14AyWf6y7KlWWLfAjdKMKI,"Ophelia","Cleopatra","The Lumineers",2016-04-08,160097,82,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-07T19:09:44Z,"folk pop,indie folk","Dualtone Music Group",0.664,0.573,5,-6.519,1,0.0277,0.613,0.000363,0.0857,0.566,76.023,4
spotify:track:2AXY5WABx7NjWw1zb4qCdc,"Cleopatra","Cleopatra","The Lumineers",2016-04-08,201413,76,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-07T19:09:44Z,"folk pop,indie folk","Dualtone Music Group",0.536,0.775,8,-6.765,1,0.0394,0.228,0.000142,0.0947,0.485,151.397,4
spotify:track:2lBV6cEln5fEoLGme1Q290,"Gun Song","Cleopatra","The Lumineers",2016-04-08,216546,55,true,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-07T19:09:44Z,"folk pop,indie folk","Dualtone Music Group",0.683,0.713,7,-5.514,1,0.025,0.293,0.0000216,0.0997,0.271,96.273,4
spotify:track:0dV2XGlA08rObQZdL4mPOK,"Angela","Cleopatra","The Lumineers",2016-04-08,201785,70,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-07T19:09:44Z,"folk pop,indie folk","Dualtone Music Group",0.668,0.563,4,-8.23,1,0.0305,0.649,0.000377,0.11,0.288,130.362,4
spotify:track:1bCPwwrlFQgZBHIczNtuUR,"In The Light","Cleopatra","The Lumineers",2016-04-08,231867,56,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-07T19:09:44Z,"folk pop,indie folk","Dualtone Music Group",0.688,0.411,9,-9.625,1,0.0275,0.835,0.0272,0.1,0.253,97.722,4
spotify:track:60fnI4ECShsbdMx5y8QuFw,"Gale Song","Cleopatra","The Lumineers",2016-04-08,193720,67,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-07T19:09:44Z,"folk pop,indie folk","Dualtone Music Group",0.357,0.326,0,-8.441,1,0.0302,0.761,0.000132,0.104,0.181,176.525,3
spotify:track:3ySCUGgxRXaP39gbO9Zu3Z,"Long Way From Home","Cleopatra","The Lumineers",2016-04-08,152280,62,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-07T19:09:44Z,"folk pop,indie folk","Dualtone Music Group",0.473,0.416,9,-8.523,1,0.0309,0.691,0.000275,0.0953,0.186,99.682,5
spotify:track:18F7DSlvCVROsU2Ue8M2qw,"Sick In The Head","Cleopatra","The Lumineers",2016-04-08,151466,47,true,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-07T19:09:44Z,"folk pop,indie folk","Dualtone Music Group",0.605,0.361,7,-11.787,1,0.0303,0.787,0.069,0.339,0.398,124.089,4
spotify:track:48Z0fiq90vORl6e4iy3aGc,"My Eyes","Cleopatra","The Lumineers",2016-04-08,216600,55,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-07T19:09:44Z,"folk pop,indie folk","Dualtone Music Group",0.38,0.309,11,-8.337,1,0.0371,0.852,0.0000263,0.113,0.0906,187.752,3
spotify:track:6FRo3Zj550jo20vJzhH5UC,"Patience","Cleopatra","The Lumineers",2016-04-08,97051,54,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-07T19:09:44Z,"folk pop,indie folk","Dualtone Music Group",0.476,0.236,4,-16.991,1,0.0456,0.973,0.922,0.108,0.0984,138.457,3
