Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4PabwQukG6uZn1dPfYbwor,"God of Grace and Mystery","Climate Vigil Songs","The Porter's Gate;Audrey Assad",2022-06-03,174119,0,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-10T22:12:52Z,"christian folk,worship,hymns,catholic music,christian,ccm","Integrity Music IMR US",0.224,0.274,0,-9.41,1,0.0366,0.921,0.0000172,0.108,0.302,110.238,3
spotify:track:4AHW5IooGQ5emWBBF5qS5e,"Where Were You?","Climate Vigil Songs","The Porter's Gate;Nick Chambers;Page CXVI",2022-06-03,208353,0,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-10T22:12:52Z,"christian folk,worship,hymns","Integrity Music IMR US",0.304,0.236,9,-10.274,1,0.0327,0.706,0.0000176,0.121,0.129,142.413,3
spotify:track:7MXOUTnAPbKdemwasKgDXu,"Lord, Have Mercy","Climate Vigil Songs","The Porter's Gate;Jonathan Ogden;Page CXVI",2022-06-03,126529,0,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-10T22:12:52Z,"christian folk,worship,hymns,christian lo-fi,christian alternative rock,christian r&b,christian jazz,christian","Integrity Music IMR US",0.231,0.202,3,-9.04,1,0.0343,0.774,0.0235,0.102,0.164,77.835,3
spotify:track:22qQoVVhTw1yC9RDqV3TLt,"Declaring Glory (The Earth Sings its Refrain)","Climate Vigil Songs","The Porter's Gate;Jon Guerra;Audrey Assad;Page CXVI",2022-06-03,263650,0,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-10T22:12:52Z,"christian folk,worship,hymns,christian alternative rock,catholic music,christian,ccm","Integrity Music IMR US",0.481,0.521,3,-8.749,1,0.0314,0.509,0.0000476,0.0567,0.228,118.955,4
spotify:track:1gZywnKlKqwRqtOFOUxKKg,"Hosanna! (Will You Rise?)","Climate Vigil Songs","The Porter's Gate;Matt Maher;Terrian",2022-06-03,291057,0,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-10T22:12:52Z,"christian folk,worship,hymns,christian,catholic music,ccm,pop worship,christian r&b,christian pop,gospel","Integrity Music IMR US",0.232,0.414,2,-7.483,1,0.0306,0.406,0.0000663,0.0652,0.25,179.802,4
spotify:track:713V7XtsaUGjP76p41TWrU,"The Kingdom Is Coming","Climate Vigil Songs","The Porter's Gate;Josh Garrels;Terrian",2022-06-03,212807,0,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-10T22:12:52Z,"christian folk,worship,hymns,christian alternative rock,christian,christian r&b,christian pop,gospel","Integrity Music IMR US",0.487,0.697,1,-6.618,1,0.0417,0.0827,0.00000193,0.184,0.468,94.061,4
spotify:track:7lIViGD7qSIStKcpIIgqn3,"Bring in the Year of Jubilee (Psalm 37)","Climate Vigil Songs","The Porter's Gate;Taylor Leonhardt;Jessica Fox",2022-06-03,261525,0,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-10T22:12:52Z,"christian folk,worship,hymns,country christian","Integrity Music IMR US",0.305,0.579,0,-6.14,1,0.0298,0.116,0.00207,0.111,0.364,175.952,3
spotify:track:2LZsE8lFcplbF244l1TMot,"Good Lord, Deliver Us","Climate Vigil Songs","The Porter's Gate;Paul Zach;Terrian",2022-06-03,195168,0,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-10T22:12:52Z,"christian folk,worship,hymns,christian r&b,christian pop,christian,gospel","Integrity Music IMR US",0.436,0.137,4,-14.892,0,0.0396,0.877,0.00404,0.178,0.197,73.635,4
spotify:track:6mzf5X2jMU9t5GiSg6OBdR,"Water to Wine","Climate Vigil Songs","The Porter's Gate;Page CXVI",2022-06-03,191799,0,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-10T22:12:52Z,"christian folk,worship,hymns","Integrity Music IMR US",0.276,0.215,9,-9.48,0,0.0295,0.896,0.000472,0.123,0.182,79.394,3
spotify:track:2ldm03N4VOi2n2hjRS6ZP5,"Brother Sun (Giving Glory!)","Climate Vigil Songs","The Porter's Gate;Liz Vice",2022-06-03,197945,0,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-10T22:12:52Z,"christian folk,worship,hymns,christian jazz","Integrity Music IMR US",0.493,0.432,5,-9.598,1,0.0314,0.552,0.000406,0.107,0.309,80.32,4
spotify:track:2dZlmJfOcZuiwpWOF0zSr1,"Keep Watch and Pray","Climate Vigil Songs","The Porter's Gate;Jason Upton;Sara Groves",2022-06-03,194362,0,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-10T22:12:52Z,"christian folk,worship,hymns,ccm,christian","Integrity Music IMR US",0.29,0.339,5,-11.689,1,0.0369,0.602,0.00000343,0.202,0.194,103.592,5
spotify:track:5wvjtQHCOyt2SRjcsrp0y2,"Satisfied","Climate Vigil Songs","The Porter's Gate;Page CXVI;Paul Zach",2022-06-03,211667,0,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-10T22:12:52Z,"christian folk,worship,hymns","Integrity Music IMR US",0.474,0.202,3,-10.49,0,0.0257,0.877,0,0.112,0.182,96.715,3
spotify:track:2OXzGqjvb9ia8RLtAeAZyL,"The Promise","Climate Vigil Songs","The Porter's Gate;Molly Parden;Jonathan Ogden",2022-06-03,352318,0,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-10T22:12:52Z,"christian folk,worship,hymns,christian lo-fi,christian alternative rock,christian r&b,christian jazz,christian","Integrity Music IMR US",0.385,0.513,3,-9.834,1,0.0304,0.549,0.0295,0.126,0.332,77.359,4
spotify:track:7ykm5LD2M5WQwPfnUwUqXi,"All Creatures Lament","Climate Vigil Songs","The Porter's Gate;Fernando Ortega;Molly Parden",2022-06-03,303815,0,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-10T22:12:52Z,"christian folk,worship,hymns,christian,ccm","Integrity Music IMR US",0.359,0.241,7,-11.501,1,0.0348,0.865,0.00000166,0.148,0.248,125.977,4
