Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0kzkuskPG278bhtYx2NPwY,"Thirteen Silver Dollars","Colter Wall","Colter Wall",2017-05-12,150546,58,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-06-25T15:50:35Z,"outlaw country,southern gothic,country,red dirt,bluegrass,alt country,americana","La Honda Records/RCA Records",0.595,0.285,5,-12.502,1,0.0457,0.917,0.31,0.0866,0.716,102.598,4
spotify:track:6G2s04xEz1Zor7Bxtkkge4,"Codeine Dream","Colter Wall","Colter Wall",2017-05-12,217853,50,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-06-25T15:50:35Z,"outlaw country,southern gothic,country,red dirt,bluegrass,alt country,americana","La Honda Records/RCA Records",0.599,0.164,7,-13.88,1,0.0312,0.941,0.0475,0.108,0.458,92.526,4
spotify:track:5B23ftApTxOqyWUv7cOe3E,"Me and Big Dave","Colter Wall","Colter Wall",2017-05-12,244440,43,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-06-25T15:50:35Z,"outlaw country,southern gothic,country,red dirt,bluegrass,alt country,americana","La Honda Records/RCA Records",0.595,0.142,9,-14.252,1,0.0344,0.892,0.0563,0.118,0.227,113.526,3
spotify:track:1z2UyZvguJYmNd47EZP7Qp,"Motorcycle","Colter Wall","Colter Wall",2017-05-12,137706,63,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-06-25T15:50:35Z,"outlaw country,southern gothic,country,red dirt,bluegrass,alt country,americana","La Honda Records/RCA Records",0.68,0.428,7,-13.046,1,0.0342,0.666,0.531,0.101,0.615,84.665,4
spotify:track:6mTXRpSJcuVt5e46bylLec,"Kate McCannon","Colter Wall","Colter Wall",2017-05-12,274080,64,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-06-25T15:50:35Z,"outlaw country,southern gothic,country,red dirt,bluegrass,alt country,americana","La Honda Records/RCA Records",0.616,0.188,7,-15.766,1,0.0312,0.912,0.243,0.109,0.332,142.807,4
spotify:track:2CHscmBzJkcAXkKgIBlJsO,"Snake Mountain Blues","Colter Wall","Colter Wall",2017-05-12,186413,52,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-06-25T15:50:35Z,"outlaw country,southern gothic,country,red dirt,bluegrass,alt country,americana","La Honda Records/RCA Records",0.646,0.254,3,-14.851,1,0.0297,0.895,0.14,0.11,0.276,78.779,4
spotify:track:6CcjsCdZPcOToEwnbACnLp,"You Look to Yours","Colter Wall","Colter Wall",2017-05-12,272400,44,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-06-25T15:50:35Z,"outlaw country,southern gothic,country,red dirt,bluegrass,alt country,americana","La Honda Records/RCA Records",0.7,0.272,7,-13.235,1,0.0304,0.841,0.0342,0.0856,0.435,109.424,4
spotify:track:0tjjiJIKTfbjLRKa0U0Jwr,"Transcendent Ramblin' Railroad Blues","Colter Wall","Colter Wall",2017-05-12,298773,43,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-06-25T15:50:35Z,"outlaw country,southern gothic,country,red dirt,bluegrass,alt country,americana","La Honda Records/RCA Records",0.528,0.208,0,-15.17,1,0.0329,0.927,0.119,0.109,0.423,88.747,4
spotify:track:65UNQSH7RI4Lxw7VrXMp5y,"Fraulein (feat. Tyler Childers)","Colter Wall","Colter Wall;Tyler Childers",2017-05-12,143000,65,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-06-25T15:50:35Z,"outlaw country,southern gothic,country,red dirt,bluegrass,alt country,americana,texas country","La Honda Records/RCA Records",0.473,0.124,7,-13.245,1,0.0339,0.942,0.0000349,0.126,0.476,139.584,4
spotify:track:0O5TyARrd9X7MKRKalHBFI,"Bald Butte","Colter Wall","Colter Wall",2017-05-12,350640,44,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-06-25T15:50:35Z,"outlaw country,southern gothic,country,red dirt,bluegrass,alt country,americana","La Honda Records/RCA Records",0.506,0.177,5,-15.282,1,0.032,0.879,0.0146,0.0972,0.281,146.311,4
