Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2vtfvDB7l8tyu8qQJecUkS,"Neon Stars (OurVinyl Sessions)","Wild Rivers | OurVinyl Sessions","Wild Rivers;OurVinyl | Pop",2024-12-09,174463,24,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-06T19:52:57Z,"folk pop","OurVinyl TV, Inc.",0.66,0.165,7,-12.478,1,0.0376,0.78,0,0.131,0.2,106.19,4
spotify:track:2di19fesnt7B95trAStqld,"Red Like Stone","Dom Louis","Dom Louis",2023-04-14,175717,0,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-06T22:12:51Z,"indie folk","Super Sport Records",0.586,0.538,11,-7.589,1,0.025,0.0391,0.000443,0.163,0.285,137.187,4
spotify:track:1nM5VI5W8x4bUAlvuupuij,"Green Tea","Green Tea","harf.",2024-07-05,246966,23,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-06T22:12:52Z,"","Sonder House",0.715,0.26,9,-10.987,1,0.0376,0.903,0.32,0.0894,0.289,113.145,4
spotify:track:4Knjk2qN7Vm5VWtvy5giym,"Catacombs","Shiver","Krooked Kings",2024-03-08,176984,53,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-06T22:12:54Z,"","Nobody Gets It Records",0.724,0.444,1,-10.644,0,0.0267,0.439,0.284,0.137,0.273,98.002,4
spotify:track:2rs2j47rhpwcT3lqCOQxB1,"heart will remain","Rothko Sky","Arts Fishing Club",2023-06-16,224087,43,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-06T22:12:57Z,"","Al's Fish Camp",0.444,0.296,3,-14.682,1,0.0289,0.972,0.912,0.113,0.204,62.59,4
spotify:track:6IuUIvYSLfpsc9YUNrzotf,"My, My, My","Golden","HAPPY LANDING",2024-07-12,180169,29,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-06T22:13:02Z,"folk pop","HAPPY LANDING",0.637,0.553,2,-6.709,1,0.0367,0.601,0.000117,0.305,0.458,103.788,4
spotify:track:3SrNrGNX5oFZnrDlPhXSwq,"Billy","Oldest Son","Anna Bates",2023-08-25,145541,33,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-06T22:13:32Z,"","2463116 Records DK2",0.712,0.167,9,-15.609,1,0.0552,0.98,0.0000653,0.107,0.494,135.694,4
spotify:track:6AIKEQvWItx9NcjtoNDOjh,"Up the Wolves","The Sunset Tree","The Mountain Goats",2005-04-25,207400,46,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-06T22:15:47Z,"folk punk,anti-folk,indie folk","4AD",0.49,0.365,2,-9.301,1,0.0268,0.494,0.0000723,0.0892,0.474,157.522,4
spotify:track:5k6L1lOs0AANCee7nYW2au,"A Little Love","A Little Love","Julia Pratt;Mt. Joy",2023-08-04,201893,43,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-06T22:16:27Z,"","Bloom Field Records",0.559,0.447,2,-6.678,1,0.0335,0.789,0.00000455,0.193,0.341,127.839,4
spotify:track:6WDHGgsxiB2YQIib7kcmRf,"Enjoy the view","Enjoy the view","Henrik",2024-07-12,152530,48,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-06T22:21:54Z,"christian folk,folk pop","North Main 2024",0.694,0.652,8,-5.291,1,0.0288,0.255,0,0.211,0.281,106.981,4
spotify:track:2TX0eN7jdjQiGx7NHSax7l,"Bones Shake","Bones Shake","Hazlett",2024-04-19,226011,52,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-06T22:26:18Z,"indie folk","Nettwerk Music Group",0.668,0.168,9,-12.413,1,0.0274,0.882,0.000273,0.114,0.206,94.033,4
spotify:track:4ZwKsuBjcr4cOZvAiwvZLv,"Hold Me While It’s Ending (with Matt Maeson)","Stellaria","Chelsea Cutler;Matt Maeson",2023-10-13,174906,49,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-06T22:26:23Z,"","Mercury Records/Republic Owned",0.47,0.52,7,-7.684,1,0.0353,0.33,0.00000157,0.0873,0.308,161.426,4
spotify:track:2Zg0aB5oVQlbQE1vzQmIIY,"Hurt Somebody","Busyhead","Noah Kahan;Julia Michaels",2019-06-14,167106,70,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T12:54:57Z,"","Republic Records",0.638,0.51,1,-6.485,1,0.305,0.344,0,0.212,0.448,114.576,4
spotify:track:4pqcPscDHP2pBg5wiYxIQ1,"Missionary Feelings","Missionary Feelings","Hazlett",2023-08-18,212297,58,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T12:55:55Z,"indie folk","Nettwerk Music Group",0.578,0.131,2,-13.226,1,0.0322,0.821,0.00101,0.0831,0.146,124.828,4
spotify:track:4I1MhYsQQ71wkE5DiCWw5T,"Stolen Seasons","Goodbye to the Valley Low (Side A)","Hazlett",2023-12-08,181130,56,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T12:55:56Z,"indie folk","Nettwerk Music Group",0.663,0.212,10,-14.012,1,0.0265,0.833,0.204,0.116,0.32,97.998,4
spotify:track:3MZjOGeXhpHbQ9ESMNFFnH,"Honeybee","The 2¢ Show","Steam Powered Giraffe",2012-05-23,309000,51,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T12:56:35Z,"","Steam Powered Giraffe",0.352,0.186,1,-11.568,1,0.0346,0.871,0.00000114,0.13,0.216,87.919,4
spotify:track:3ruJjAt0eybFoPw0g0h7ZT,"Scared To Start (feat. Joy Oladokun)","Scared To Start (feat. Joy Oladokun)","Michael Marcagi;Joy Oladokun",2024-05-10,159636,50,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:01:12Z,"","Warner Records",0.584,0.488,7,-9.615,1,0.0303,0.242,0,0.348,0.365,147.892,4
spotify:track:0jZO7p0nBUi9VHedWUBS9l,"The Night We Met (feat. Phoebe Bridgers)","13 Reasons Why (Season 2)","Lord Huron;Phoebe Bridgers",2018-05-18,208173,64,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:01:12Z,"","UMGRI Interscope",0.423,0.437,2,-8.588,1,0.0355,0.962,0.336,0.664,0.131,174.158,3
spotify:track:7qH9Z4dJEN0l9bidizW7fq,"Anchor","Bathing Beach","Novo Amor",2017-05-26,257533,81,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:02:33Z,"ambient folk","AllPoints",0.457,0.407,9,-11.475,1,0.0308,0.805,0.884,0.126,0.126,117.053,4
spotify:track:32irCtqVudXga5frCUDFVH,"Friends","Friends","Farmer's Son",2022-12-02,182720,21,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:03:20Z,"","j solomon",0.505,0.485,3,-8.702,1,0.0387,0.783,0.00112,0.104,0.44,68.056,4
spotify:track:3Fq4shhJdENQhwlLk9qoDx,"Coal","Bottles and Bibles","Tyler Childers",2011-10-11,201333,67,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:05:28Z,"country,outlaw country,red dirt,alt country,texas country,bluegrass","Hickman Holler Records",0.565,0.308,3,-12.843,1,0.0299,0.907,0.0000776,0.0975,0.339,91.996,4
spotify:track:59xYAblNy1Xr4U1IsJ3gZb,"Simple As This","Jake Bugg","Jake Bugg",2012-01-01,199453,56,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:07:32Z,"","EMI",0.612,0.578,8,-8.092,1,0.025,0.623,0,0.0983,0.696,96.985,4
spotify:track:2zx0vGIDXsoMp3ngYw8Wim,"Haunted","Haunted","Oliver Hazard",2024-04-05,213920,20,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:08:04Z,"indie folk","Nettwerk Music Group",0.653,0.426,6,-9.206,1,0.0414,0.747,0,0.127,0.533,115.909,4
