Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1Mxl69ygEVGdc155dYiHmr,"Life Is A Highway - 2008 Remaster","Greatest Hits Volume 1","Rascal Flatts",2008-01-01,276266,44,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-27T21:31:23Z,"country","Lyric Street",0.583,0.955,5,-3.849,1,0.0642,0.00215,0,0.142,0.661,103.06,4
spotify:track:6NdcSEhpGGAYXNnnhGS2s6,"What I Like About You","What I Like About You (And Other Romantic Hits)","The Romantics",1990,175400,61,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-27T21:31:23Z,"power pop","Epic",0.542,0.915,9,-9.637,1,0.0549,0.319,0.0000534,0.171,0.92,159.81,4
spotify:track:5xl5582IihbEZAnfj0xyso,"Straight Up","Forever Your Girl","Paula Abdul",1988-01-01,251466,66,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-27T21:31:23Z,"","Virgin Records",0.769,0.826,7,-8.252,1,0.0624,0.268,0.0186,0.0684,0.762,95.863,4
spotify:track:3X7abqSXC4xrxuC1ykpWcY,"Livin' On A Prayer","Bon Jovi Greatest Hits","Bon Jovi",2010-01-01,250626,2,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-27T21:31:23Z,"glam metal","Universal Music Group",0.522,0.882,0,-3.216,1,0.0359,0.0599,0.00021,0.33,0.815,122.541,4
spotify:track:3XcuLPQb1LG13ZJEEa6wUI,"Build Me Up Buttercup","Build Me Up Buttercup","The Foundations",1998,178533,0,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-27T21:31:23Z,"","Sanctuary Records",0.657,0.423,0,-10.465,1,0.0308,0.361,0,0.31,0.842,133.612,4
spotify:track:541jTq3SOEELKvcfA0jHI0,"The Way You Make Me Feel","HIStory - PAST, PRESENT AND FUTURE - BOOK I","Michael Jackson",1995-06-16,298121,60,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-27T21:31:23Z,"","Epic",0.607,0.817,1,-5.926,1,0.11,0.037,0.000607,0.116,0.508,114.482,4
spotify:track:43wOnyLJcwYfKVNxXZWPDz,"Somebody To Love - Cover of Queen","Glee: The Music, Volume 1","Glee Cast",2009-11-02,283666,47,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-27T21:31:23Z,"christmas","Columbia",0.556,0.804,8,-3.919,1,0.0421,0.236,0,0.38,0.413,116.973,3
spotify:track:3t7m7AzV2ntuI9fIT6KREP,"Bye Bye Bye / I Want It That Way (Glee Cast Version)","Bye Bye Bye / I Want It That Way (Glee Cast Version)","Glee Cast",2013-03-19,169426,0,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-27T21:31:23Z,"christmas","Columbia",0.595,0.903,7,-4.4,0,0.0315,0.0221,0.00000228,0.0878,0.523,93.994,4
spotify:track:0CEfBOsM4ThzzHaZWORt2a,"You Can't Stop the Beat","Hairspray (Soundtrack to the Motion Picture)","Elijah Kelley;John Travolta;Queen Latifah;Nikki Blonsky;Zac Efron;Amanda Bynes",2010-04-01,324706,0,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-27T21:31:23Z,"musicals,east coast hip hop","WaterTower Music",0.525,0.94,7,-4.675,1,0.18,0.043,0,0.0921,0.7,170.426,4
spotify:track:6rjnRocdCULjLF61x2NR5e,"Don't Stop Believin' - Cover of Journey","Glee: The Music, Volume 1","Glee Cast",2009-11-02,232000,55,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-27T21:31:23Z,"christmas","Columbia",0.473,0.604,7,-4.034,1,0.0337,0.0376,0,0.103,0.271,123.848,4
