Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1UsLeopYJIXUb1dj17HoE1,"Chupacadabra","Deadstock - A Shakey Graves Day Anthology","Shakey Graves",2023-02-09,116533,17,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-25T22:57:37Z,"indie folk","Shakey Graves",0.637,0.532,7,-8.423,1,0.0312,0.000513,0.607,0.0673,0.779,118.934,4
spotify:track:5ggWu2i1OKuqqwEOGof7aM,"Rotten Ol' me","Deadstock - A Shakey Graves Day Anthology","Shakey Graves",2023-02-09,233959,35,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-25T22:57:37Z,"indie folk","Shakey Graves",0.681,0.561,1,-11.849,1,0.035,0.275,0.00722,0.13,0.528,114.045,4
spotify:track:4m1L6U1vAIvKLMYUUESaxx,"One in a Million","Deadstock - A Shakey Graves Day Anthology","Shakey Graves;Buffalo Hunt;Texino",2023-02-09,203964,27,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-25T22:57:37Z,"indie folk","Shakey Graves",0.65,0.463,5,-10.576,1,0.0512,0.774,0.0000191,0.0873,0.303,94.255,4
spotify:track:7aG4QqYmKB4Q1wXux3UDqg,"Laughing All the Way","Deadstock - A Shakey Graves Day Anthology","Shakey Graves",2023-02-09,303194,18,true,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-25T22:57:37Z,"indie folk","Shakey Graves",0.496,0.391,4,-10.827,1,0.109,0.467,0.813,0.0709,0.468,107.074,4
spotify:track:7hMakW7VsZvQJPywF3qMVo,"Big Bad Wolf (Live)","Deadstock - A Shakey Graves Day Anthology","Shakey Graves",2023-02-09,295593,20,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-25T22:57:37Z,"indie folk","Shakey Graves",0.62,0.483,5,-8.194,1,0.0313,0.817,0.685,0.109,0.0672,111.1,4
spotify:track:6qbtCK6jExygodwd3a7gOc,"O Death","Deadstock - A Shakey Graves Day Anthology","Shakey Graves;Monica Martin",2023-02-09,288020,24,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-25T22:57:37Z,"indie folk","Shakey Graves",0.506,0.0872,5,-15.061,0,0.0574,0.931,0.00106,0.0938,0.322,122.014,4
spotify:track:60WpwGZOk9bVSPh1rDNPcE,"Who Died?","Deadstock - A Shakey Graves Day Anthology","Shakey Graves",2023-02-09,248980,16,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-25T22:57:37Z,"indie folk","Shakey Graves",0.869,0.274,11,-18.111,1,0.0413,0.643,0.853,0.113,0.251,120.989,4
spotify:track:2LD2BTxiIWnDsZkrD7JZcT,"Look Alive (Live)","Deadstock - A Shakey Graves Day Anthology","Shakey Graves",2023-02-09,309930,22,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-25T22:57:37Z,"indie folk","Shakey Graves",0.444,0.416,9,-10.431,1,0.0572,0.739,0.0000152,0.109,0.125,151.405,4
spotify:track:7jXpdTeX9STtUUw6588GNh,"Trouble by Noon","Deadstock - A Shakey Graves Day Anthology","Shakey Graves",2023-02-09,202415,18,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-25T22:57:37Z,"indie folk","Shakey Graves",0.581,0.527,0,-6.301,1,0.0466,0.72,0.125,0.101,0.345,141.117,4
spotify:track:5kg0JtWZKc2Ix7eGta7mbE,"Devil May Care","Deadstock - A Shakey Graves Day Anthology","Shakey Graves",2023-02-09,151974,27,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-25T22:57:37Z,"indie folk","Shakey Graves",0.586,0.896,7,-7.745,1,0.0443,0.319,0.0812,0.173,0.619,136.796,4
spotify:track:6drtrMERQnWH5Ka3t0oQoz,"Old Lady City","Deadstock - A Shakey Graves Day Anthology","Shakey Graves;Buffalo Hunt",2023-02-09,153129,13,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-25T22:57:37Z,"indie folk","Shakey Graves",0.425,0.97,8,-4.407,0,0.163,0.0511,0.828,0.414,0.067,126.025,4
spotify:track:4ocGWgwc6shJOSscGcyE3L,"Not Wife","Deadstock - A Shakey Graves Day Anthology","Shakey Graves",2023-02-09,204223,29,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-25T22:57:37Z,"indie folk","Shakey Graves",0.572,0.695,9,-10.722,1,0.067,0.147,0.000296,0.0799,0.677,133.81,4
spotify:track:4aFEi0uazHdBjYHgsGQH1f,"My El Dorado","Deadstock - A Shakey Graves Day Anthology","Shakey Graves",2023-02-09,377190,14,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-25T22:57:37Z,"indie folk","Shakey Graves",0.432,0.554,11,-6.138,1,0.0394,0.0299,0.658,0.329,0.103,122.186,4
spotify:track:5WxjOfrgw3m6rLevK6nuP8,"Good Listener","Deadstock - A Shakey Graves Day Anthology","Shakey Graves",2023-02-09,248836,17,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-25T22:57:37Z,"indie folk","Shakey Graves",0.644,0.707,7,-8.39,1,0.0367,0.301,0.00126,0.0337,0.587,146.386,4
spotify:track:2iLUCkUUpGUF8DwhFL7L6W,"The Recipe (Live)","Deadstock - A Shakey Graves Day Anthology","Shakey Graves",2023-02-09,345343,15,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-25T22:57:37Z,"indie folk","Shakey Graves",0.704,0.348,2,-11.17,1,0.0339,0.575,0.435,0.122,0.555,108.468,4
spotify:track:1NMMt68SFaUjorUSeZfRXL,"Kids These Days (Live)","Deadstock - A Shakey Graves Day Anthology","Shakey Graves",2023-02-09,287461,17,true,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-25T22:57:37Z,"indie folk","Shakey Graves",0.483,0.394,2,-12.274,1,0.0335,0.59,0.734,0.109,0.167,110.069,4
