Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1QlgnsMr9LCGKZAbtOev5Y,"Die Die Die","Emotionalism","The Avett Brothers",2007-05-15,170866,16,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-04-18T19:03:57Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","Ramseur Records",0.531,0.702,8,-5.309,1,0.0303,0.132,0,0.105,0.767,118.794,4
spotify:track:6h3MEuxUXYixkujpRVurCN,"Shame","Emotionalism","The Avett Brothers",2007-05-15,233853,18,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-04-18T19:03:57Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","Ramseur Records",0.516,0.425,8,-5.503,1,0.0785,0.546,0,0.171,0.303,143.155,4
spotify:track:3r3d41NG6D2WZsddTxcjJN,"Paranoia in B Major","Emotionalism","The Avett Brothers",2007-05-15,217840,17,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-04-18T19:03:57Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","Ramseur Records",0.54,0.556,10,-6.822,1,0.0423,0.232,0.00000775,0.143,0.386,123.361,4
spotify:track:1BIs2FHFBnahGSaoIzs7NM,"The Weight of Lies","Emotionalism","The Avett Brothers",2007-05-15,269680,17,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-04-18T19:03:57Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","Ramseur Records",0.591,0.411,9,-7.496,1,0.0299,0.713,0,0.115,0.454,153.616,4
spotify:track:2TSbFkrU2x8sQ76uKD23JE,"Will You Return","Emotionalism","The Avett Brothers",2007-05-15,166346,16,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-04-18T19:03:57Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","Ramseur Records",0.58,0.867,3,-4.881,1,0.0353,0.638,0.0000311,0.0602,0.965,147.031,4
spotify:track:4623u0CZrayhTdyvjCfT4q,"The Ballad of Love and Hate","Emotionalism","The Avett Brothers",2007-05-15,320520,16,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-04-18T19:03:57Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","Ramseur Records",0.47,0.22,3,-11.727,1,0.043,0.866,0.00000107,0.113,0.349,156.109,3
spotify:track:1IuLHdwfnt1he9RwkZ6W6v,"Salina","Emotionalism","The Avett Brothers",2007-05-15,284040,14,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-04-18T19:03:57Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","Ramseur Records",0.452,0.235,1,-10.178,1,0.0435,0.847,0.000438,0.135,0.0654,118.097,4
spotify:track:48A2AKyyRZ1lxLMsYDZHca,"All My Mistakes","Emotionalism","The Avett Brothers",2007-05-15,307946,13,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-04-18T19:03:57Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","Ramseur Records",0.584,0.127,1,-10.197,1,0.0369,0.894,0.00122,0.0995,0.169,74.496,3
spotify:track:5H6CXyuPHL40y9Vqr26cXZ,"Living of Love","Emotionalism","The Avett Brothers",2007-05-15,271333,12,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-04-18T19:03:57Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","Ramseur Records",0.469,0.427,8,-6.403,1,0.036,0.31,0,0.102,0.205,113.881,4
spotify:track:4Kz9MGtZcFZlzt7dmA9i4N,"I Would Be Sad","Emotionalism","The Avett Brothers",2007-05-15,224506,14,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-04-18T19:03:57Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","Ramseur Records",0.526,0.389,8,-7.527,1,0.0362,0.411,0,0.0957,0.41,133.332,4
spotify:track:0kmuWWtLVR7rpuEo65NpXx,"Pretty Girl from San Diego","Emotionalism","The Avett Brothers",2007-05-15,230520,11,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-04-18T19:03:57Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","Ramseur Records",0.504,0.891,3,-5.845,1,0.149,0.273,0,0.71,0.767,111.105,4
spotify:track:3mKWoJ8TUcsmjLJwUWjlqQ,"Go to Sleep","Emotionalism","The Avett Brothers",2007-05-15,244306,12,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-04-18T19:03:57Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","Ramseur Records",0.43,0.769,6,-5.366,1,0.0386,0.362,0,0.0558,0.693,122.918,4
spotify:track:0QqxIecfnO91MFIMT9zH0u,"Hand-Me-Down Tune","Emotionalism","The Avett Brothers",2007-05-15,247466,9,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-04-18T19:03:57Z,"indie folk,folk,newgrass,americana,bluegrass,alt country,folk rock","Ramseur Records",0.367,0.145,4,-8.833,1,0.0373,0.778,0.000529,0.103,0.148,183.035,3
