Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1kjmgTx2PCBJTPTue0bDb4,"The Mtn. Song","Feathers & Fishhooks","Rayland Baxter",2012-08-28,268640,42,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-14T20:43:01Z,"southern gothic","ATO Records",0.666,0.735,2,-7.02,1,0.0282,0.112,0.00000297,0.115,0.895,121.036,4
spotify:track:40DGtj95w54IDSbA7BWn3o,"Olivia","Feathers & Fishhooks","Rayland Baxter",2012-08-28,233693,52,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-14T20:43:01Z,"southern gothic","ATO Records",0.629,0.551,7,-9.44,1,0.0321,0.685,0.0000288,0.0889,0.698,81.995,4
spotify:track:6VspQedk2U9Dic44z53PHw,"Marjoria","Feathers & Fishhooks","Rayland Baxter",2012-08-28,218226,21,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-14T20:43:01Z,"southern gothic","ATO Records",0.581,0.386,6,-9.362,1,0.0291,0.15,0,0.146,0.213,122.927,3
spotify:track:6GGIYWGrW8nuqN0B74IxI8,"Tell Me Lover","Feathers & Fishhooks","Rayland Baxter",2012-08-28,200586,21,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-14T20:43:01Z,"southern gothic","ATO Records",0.658,0.247,4,-9.065,1,0.0303,0.853,0,0.115,0.475,80.442,4
spotify:track:6yCgS6uyYup4ZwL2CBcN7I,"The Woman For Me","Feathers & Fishhooks","Rayland Baxter",2012-08-28,274946,35,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-14T20:43:01Z,"southern gothic","ATO Records",0.481,0.324,6,-11.546,1,0.0289,0.572,0,0.101,0.181,144.42,4
spotify:track:2WsW6yofkzxN3dmTuDw159,"Goodfriend","Feathers & Fishhooks","Rayland Baxter",2012-08-28,266746,27,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-14T20:43:01Z,"southern gothic","ATO Records",0.629,0.326,3,-8.304,1,0.0296,0.838,0,0.214,0.169,120.961,3
spotify:track:6qUidwVR72gLIFnP2jhc0x,"Dreamin'","Feathers & Fishhooks","Rayland Baxter",2012-08-28,334413,39,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-14T20:43:01Z,"southern gothic","ATO Records",0.365,0.33,3,-12.106,1,0.0289,0.293,0.00000324,0.108,0.406,138.718,3
spotify:track:6H96yLcXFKuBYTFEEi4Vl2,"Willy's Song","Feathers & Fishhooks","Rayland Baxter",2012-08-28,223546,51,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-14T20:43:01Z,"southern gothic","ATO Records",0.498,0.512,1,-8.201,0,0.053,0.519,0,0.106,0.491,166.926,4
spotify:track:3nU5lIS1I6lYNG6VNvVp6X,"Driveway Melody","Feathers & Fishhooks","Rayland Baxter",2012-08-28,145746,32,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-14T20:43:01Z,"southern gothic","ATO Records",0.729,0.654,5,-7.345,1,0.0323,0.187,0,0.098,0.549,124.006,4
spotify:track:4zQGyFoNvnJCazwJWmQpWP,"Hoot Owl","Feathers & Fishhooks","Rayland Baxter",2012-08-28,247013,23,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-14T20:43:01Z,"southern gothic","ATO Records",0.623,0.347,4,-8.546,1,0.0271,0.604,0,0.1,0.192,117.945,3
spotify:track:2X4oD7xnLHcL25crk3mB4m,"Trouble","Feathers & Fishhooks","Rayland Baxter",2012-08-28,269986,18,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-14T20:43:01Z,"southern gothic","ATO Records",0.714,0.408,4,-9.09,1,0.0369,0.735,0,0.116,0.326,108.021,4
spotify:track:5uFuvfpMtlTdivWhboFdX2,"Willow","Feathers & Fishhooks","Rayland Baxter",2012-08-28,378853,17,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-14T20:43:01Z,"southern gothic","ATO Records",0.419,0.512,5,-9.871,1,0.0302,0.0561,0.00779,0.105,0.0977,95.226,4
