Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4IwdEvG6BG9bwF00ZOHx2w,"Anywhere","Finer Things","Clover County",2025-09-26,189310,27,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-14T20:42:10Z,"","Undercover Lover Records",0.59,0.504,10,-8.33,1,0.0302,0.725,0.0000301,0.337,0.496,88.012,4
spotify:track:15YaPqTspwhXRJEMdMuaDN,"Sweeter","Finer Things","Clover County",2025-09-26,214713,30,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-14T20:42:10Z,"","Undercover Lover Records",0.604,0.563,10,-8.976,1,0.0324,0.648,0.0000257,0.104,0.574,88.02,4
spotify:track:1baE0l8AChP8J13ZgS1NzN,"Yours Too","Finer Things","Clover County",2025-09-26,239225,29,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-14T20:42:10Z,"","Undercover Lover Records",0.601,0.399,7,-10.425,1,0.0458,0.867,0.0000289,0.117,0.476,77.814,4
spotify:track:1VlqgygO0fJNnRMuxHJ6WD,"Midnight Crow","Finer Things","Clover County",2025-09-26,217632,28,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-14T20:42:10Z,"","Undercover Lover Records",0.613,0.516,0,-8.286,1,0.0352,0.603,0.000398,0.105,0.553,80.015,4
spotify:track:5PP9ylzHOkZyJwBG9aEwgG,"Virginia Slim","Finer Things","Clover County",2025-09-26,194529,40,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-14T20:42:10Z,"","Undercover Lover Records",0.587,0.465,10,-8.476,1,0.0437,0.651,0.000352,0.0972,0.533,165.894,4
spotify:track:24jaDd756wxaXl0jbh808P,"Blue Suede Eyes","Finer Things","Clover County",2025-09-26,182183,26,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-14T20:42:10Z,"","Undercover Lover Records",0.594,0.249,11,-9.431,1,0.0294,0.926,0.000119,0.183,0.225,83.431,3
spotify:track:5EOuRpTyyk9WV3g57Nyo5Y,"Angels","Finer Things","Clover County",2025-09-26,217307,23,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-14T20:42:10Z,"","Undercover Lover Records",0.617,0.517,8,-8.498,1,0.0266,0.118,0.0000744,0.103,0.376,86.974,4
spotify:track:22gzrWqEtWO0jRpV5sbSkl,"Good Game","Finer Things","Clover County",2025-09-26,200423,33,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-14T20:42:10Z,"","Undercover Lover Records",0.738,0.58,0,-8.857,1,0.0302,0.726,0.00491,0.141,0.644,136.007,4
spotify:track:0NYM6iFN2fZQ799JRlnLyr,"Whiskey Cherry","Finer Things","Clover County",2025-09-26,236686,35,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-14T20:42:10Z,"","Undercover Lover Records",0.589,0.693,7,-5.692,1,0.0331,0.449,0.00108,0.134,0.329,79.902,4
spotify:track:0VTQ5KCvJB8v0odzWI9jm9,"Cadillac","Finer Things","Clover County",2025-09-26,206951,19,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-14T20:42:10Z,"","Undercover Lover Records",0.443,0.405,2,-7.644,1,0.0303,0.941,0.0428,0.16,0.454,123.161,3
spotify:track:1sgw4yfbdtWXeyj2jnCSMP,"Paradise Rd.","Finer Things","Clover County",2025-09-26,207641,25,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-14T20:42:10Z,"","Undercover Lover Records",0.679,0.747,2,-5.415,1,0.0419,0.199,0,0.212,0.503,112.962,4
spotify:track:6HS2SUTkQ3vx5khtjvM5J9,"Stranger Danger","Finer Things","Clover County",2025-09-26,215464,19,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-14T20:42:10Z,"","Undercover Lover Records",0.688,0.183,0,-9.386,1,0.035,0.968,0.00000715,0.369,0.0381,116.722,4
