Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1qbjCGGsZpEq56QgvtJoX7,"Up Granville","From 2 to 3","Peach Pit",2022-03-04,230747,51,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-27T19:43:09Z,"","Columbia",0.646,0.611,0,-6.516,1,0.0272,0.171,0,0.0634,0.272,109.051,4
spotify:track:2Q18HgXzNB1jB85EuXFgNn,"Vickie","From 2 to 3","Peach Pit",2022-03-04,223944,49,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-27T19:43:09Z,"","Columbia",0.697,0.464,0,-6.019,1,0.0259,0.147,0.00000451,0.139,0.667,89.293,4
spotify:track:4f0JqdYNJaPb6F2RiKGyAr,"Lips Like Yours","From 2 to 3","Peach Pit",2022-03-04,183733,39,true,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-27T19:43:09Z,"","Columbia",0.623,0.672,9,-5.299,1,0.0318,0.465,0.00000299,0.112,0.306,98.028,4
spotify:track:2zFfWkjDH9WPvClmhqdCea,"Pepsi on the House","From 2 to 3","Peach Pit",2022-03-04,181747,44,true,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-27T19:43:09Z,"","Columbia",0.553,0.939,9,-4.487,1,0.0521,0.0274,0.00000397,0.0682,0.537,138.034,4
spotify:track:72BIYdOmoytW14M7BQYyZu,"Look Out!","From 2 to 3","Peach Pit",2022-03-04,176506,46,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-27T19:43:09Z,"","Columbia",0.462,0.394,10,-8.402,1,0.0271,0.669,0.0000055,0.134,0.286,100.692,4
spotify:track:5FkLwTiK7MFKxiaRVkUBTI,"Everything About You","From 2 to 3","Peach Pit",2022-03-04,198912,39,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-27T19:43:09Z,"","Columbia",0.599,0.5,6,-8.226,1,0.0592,0.289,0.0215,0.159,0.169,102.23,4
spotify:track:6DIMM15oo3kxnCuVypaYGy,"Give Up Baby Go","From 2 to 3","Peach Pit",2022-03-04,257007,60,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-27T19:43:09Z,"","Columbia",0.683,0.697,9,-6.703,1,0.025,0.169,0.00000246,0.0527,0.591,96.729,4
spotify:track:2Z1DE9ozMwLzbogpjyJFdC,"Last Days of Lonesome","From 2 to 3","Peach Pit",2022-03-04,225778,38,true,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-27T19:43:09Z,"","Columbia",0.643,0.32,10,-8.017,1,0.0305,0.73,0.00000166,0.109,0.217,117.203,4
spotify:track:2yqfvgPuKuPbCm2y1rJr0X,"Drips on a Wire","From 2 to 3","Peach Pit",2022-03-04,189825,40,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-27T19:43:09Z,"","Columbia",0.427,0.691,10,-5.785,1,0.0368,0.111,0.0000363,0.267,0.247,118.321,4
spotify:track:42oBtzPU4fA5Vtfw2Xilgf,"2015","From 2 to 3","Peach Pit",2022-03-04,181603,43,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-27T19:43:09Z,"","Columbia",0.483,0.535,2,-6.95,1,0.0285,0.123,0.000773,0.243,0.327,75.642,4
spotify:track:2BXKIOSiQb4FqPmhb05mWw,"From 2 to 3","From 2 to 3","Peach Pit",2022-03-04,224392,40,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-27T19:43:09Z,"","Columbia",0.643,0.536,9,-6.646,1,0.0253,0.458,0.00144,0.11,0.17,80.031,4
