Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5IObx9f9zVxTGfzyRQWYSe,"Jazz on the Autobahn","From Dreams to Dust","The Felice Brothers",2021-09-17,272346,44,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:19:18Z,"americana,alt country,southern gothic","Yep Roc Records",0.601,0.679,2,-7.682,1,0.0508,0.0189,0.0089,0.192,0.816,113.242,4
spotify:track:7v2gLb2dX7vCC9N69uHsB0,"To-Do List","From Dreams to Dust","The Felice Brothers",2021-09-17,256133,26,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:19:18Z,"americana,alt country,southern gothic","Yep Roc Records",0.513,0.71,7,-7.308,1,0.0346,0.0162,0.00305,0.136,0.774,124.056,4
spotify:track:4fdod04He4QZYDlxZWADFi,"All the Way Down","From Dreams to Dust","The Felice Brothers",2021-09-17,185026,23,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:19:18Z,"americana,alt country,southern gothic","Yep Roc Records",0.34,0.404,5,-13.294,1,0.031,0.361,0.419,0.108,0.292,123.076,3
spotify:track:3nsZqDCUWvn8EHNPpqSyPq,"Money Talks","From Dreams to Dust","The Felice Brothers",2021-09-17,335293,17,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:19:18Z,"americana,alt country,southern gothic","Yep Roc Records",0.441,0.527,0,-10.04,0,0.0442,0.362,0.0449,0.126,0.442,111.989,4
spotify:track:5RyNEbP1MB0Z9WEObm62fN,"Be at Rest","From Dreams to Dust","The Felice Brothers",2021-09-17,171160,19,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:19:18Z,"americana,alt country,southern gothic","Yep Roc Records",0.395,0.293,10,-12.37,1,0.0417,0.958,0.131,0.101,0.167,124.597,4
spotify:track:6tZCmReO3eMug7U03xFuP3,"Valium","From Dreams to Dust","The Felice Brothers",2021-09-17,273733,33,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:19:18Z,"americana,alt country,southern gothic","Yep Roc Records",0.56,0.369,9,-8.411,1,0.03,0.114,0.000117,0.0745,0.537,123.772,3
spotify:track:6H66K7PGQMdXMlIzqxRl9z,"Inferno","From Dreams to Dust","The Felice Brothers",2021-09-17,221426,35,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:19:18Z,"americana,alt country,southern gothic","Yep Roc Records",0.512,0.412,9,-9.69,1,0.0286,0.402,0.0017,0.0984,0.18,114.293,4
spotify:track:1cI3tPW4DqOthKcNjbTMTL,"Silverfish","From Dreams to Dust","The Felice Brothers",2021-09-17,200413,27,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:19:18Z,"americana,alt country,southern gothic","Yep Roc Records",0.464,0.309,5,-9.93,1,0.0282,0.418,0.00014,0.114,0.238,94.601,4
spotify:track:4OK38hNHg4vQr6qf8nQtxp,"Celebrity X","From Dreams to Dust","The Felice Brothers",2021-09-17,337333,17,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:19:18Z,"americana,alt country,southern gothic","Yep Roc Records",0.537,0.68,0,-8.325,1,0.0389,0.124,0.00000775,0.101,0.338,121.962,4
spotify:track:3eq7eSaoOf3Rj1omQkDCfI,"Land of Yesterdays","From Dreams to Dust","The Felice Brothers",2021-09-17,319066,16,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:19:18Z,"americana,alt country,southern gothic","Yep Roc Records",0.205,0.28,4,-11.703,1,0.0315,0.777,0.0979,0.0582,0.163,90.501,3
spotify:track:53bgCCIErKOWBk32Jq1dm5,"Blow Him Apart","From Dreams to Dust","The Felice Brothers",2021-09-17,199813,19,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:19:18Z,"americana,alt country,southern gothic","Yep Roc Records",0.378,0.366,6,-13.613,1,0.0622,0.756,0.00849,0.0936,0.167,67.534,4
spotify:track:1NzdZXQF6LopylVeBGp6MT,"We Shall Live Again","From Dreams to Dust","The Felice Brothers",2021-09-17,496786,22,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:19:18Z,"americana,alt country,southern gothic","Yep Roc Records",0.629,0.401,2,-10.561,1,0.0285,0.528,0.0000791,0.108,0.344,112.022,4
