Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6SfKHNGPoJUi0yVGNPUkwm,"White Squall","From Fresh Water","Stan Rogers",1984,303000,36,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-14T20:42:38Z,"sea shanties,folk,traditional folk,celtic","Borealis Records",0.434,0.228,9,-18.609,1,0.0409,0.499,0.00109,0.355,0.4,84.649,4
spotify:track:40JopgOjAfWMylnH4eWqai,"The Nancy","From Fresh Water","Stan Rogers",1984,242133,24,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-14T20:42:38Z,"sea shanties,folk,traditional folk,celtic","Borealis Records",0.782,0.453,7,-13.812,1,0.0455,0.457,0,0.113,0.838,118.503,4
spotify:track:3CDMliKHf2KEjLfYLOJorV,"Man with Blue Dolphin","From Fresh Water","Stan Rogers",1984,217066,16,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-14T20:42:38Z,"sea shanties,folk,traditional folk,celtic","Borealis Records",0.499,0.51,0,-14.032,1,0.0418,0.435,0,0.0457,0.715,148.552,4
spotify:track:378iQWyF34meZFgyCpkaJV,"Tiny Fish for Japan","From Fresh Water","Stan Rogers",1984,209266,26,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-14T20:42:38Z,"sea shanties,folk,traditional folk,celtic","Borealis Records",0.477,0.154,7,-16.667,1,0.0336,0.726,0.0000602,0.117,0.213,117.224,3
spotify:track:7oC3PFujRCcXAQ3TK5dHCc,"Lock-Keeper","From Fresh Water","Stan Rogers",1984,329666,24,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-14T20:42:38Z,"sea shanties,folk,traditional folk,celtic","Borealis Records",0.257,0.106,4,-17.386,1,0.0307,0.859,0.000401,0.104,0.137,93.865,4
spotify:track:4UrXc0pMhzLxJA8M7SuhJv,"Half of a Heart","From Fresh Water","Stan Rogers",1984,189840,11,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-14T20:42:38Z,"sea shanties,folk,traditional folk,celtic","Borealis Records",0.498,0.112,7,-21.003,1,0.034,0.799,0.000153,0.105,0.32,136.864,4
spotify:track:4873XEw014tZBdlZd0igvj,"MacDonnell on the Heights","From Fresh Water","Stan Rogers",1984,226000,23,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-14T20:42:38Z,"sea shanties,folk,traditional folk,celtic","Borealis Records",0.415,0.256,0,-16.586,1,0.0322,0.478,0.00000198,0.0977,0.308,138.013,4
spotify:track:61icIyuuGlX6F9s1pWgNl9,"Flying","From Fresh Water","Stan Rogers",1984,220400,15,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-14T20:42:38Z,"sea shanties,folk,traditional folk,celtic","Borealis Records",0.621,0.42,7,-15.508,1,0.048,0.396,0,0.0708,0.514,130.676,4
spotify:track:326NiJS8m3lyrXxeDBOA9G,"The Last Watch","From Fresh Water","Stan Rogers",1984,309093,23,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-14T20:42:38Z,"sea shanties,folk,traditional folk,celtic","Borealis Records",0.429,0.132,2,-19.514,1,0.0342,0.693,0.0000885,0.0973,0.127,133.928,4
spotify:track:2hEpdZO6Hnd2eydhxcKyH2,"The House of Orange","From Fresh Water","Stan Rogers",1984,278040,21,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-14T20:42:38Z,"sea shanties,folk,traditional folk,celtic","Borealis Records",0.424,0.0914,5,-19.663,1,0.0349,0.7,0,0.195,0.326,123.628,3
