Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0taaniMZ1NpdFz0XDzINn8,"Sleepytime in the Western World","Furr","Blitzen Trapper",2008-09-23,209535,21,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-09T14:43:01Z,"indie folk,alt country,americana","Sub Pop Records",0.529,0.655,5,-6.974,1,0.0255,0.152,0,0.118,0.487,90.471,4
spotify:track:6YMMxWT2DRnICayOScCzmH,"Gold for Bread","Furr","Blitzen Trapper",2008-09-23,166708,20,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-09T14:43:01Z,"indie folk,alt country,americana","Sub Pop Records",0.545,0.874,9,-7.881,1,0.0989,0.0762,0.000461,0.113,0.629,137.098,4
spotify:track:2fgbsGWU2Dum08uifQHhiB,"Furr","Furr","Blitzen Trapper",2008-09-23,247515,57,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-09T14:43:01Z,"indie folk,alt country,americana","Sub Pop Records",0.575,0.487,2,-10.664,1,0.0553,0.49,0,0.0913,0.505,92.39,4
spotify:track:6EPVqZkqrK5nS2RLrUZnIr,"God & Suicide","Furr","Blitzen Trapper",2008-09-23,141066,30,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-09T14:43:01Z,"indie folk,alt country,americana","Sub Pop Records",0.699,0.746,0,-7.606,1,0.026,0.28,0.00139,0.339,0.97,109.411,4
spotify:track:0pq0BfGw65jCXaGBjaMDTT,"Fire & Fast Bullets","Furr","Blitzen Trapper",2008-09-23,171203,18,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-09T14:43:01Z,"indie folk,alt country,americana","Sub Pop Records",0.536,0.948,4,-6.457,1,0.0427,0.0839,0.332,0.314,0.746,124.613,4
spotify:track:56gALNurW0UjKs9c4dW0V3,"Saturday Nite","Furr","Blitzen Trapper",2008-09-23,127853,18,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-09T14:43:01Z,"indie folk,alt country,americana","Sub Pop Records",0.717,0.727,7,-9.645,1,0.0552,0.06,0.016,0.313,0.938,91.2,4
spotify:track:0jzubiBa1TGiTqkthxJnXR,"Black River Killer","Furr","Blitzen Trapper",2008-09-23,208119,55,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-04-30T19:08:01Z,"indie folk,alt country,americana","Sub Pop Records",0.617,0.6,8,-10.549,0,0.0403,0.611,0.0214,0.0903,0.672,80.342,4
spotify:track:0QaOhW3znqsLkmHFx1Etbf,"Not Your Lover","Furr","Blitzen Trapper",2008-09-23,170750,28,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-09T14:43:01Z,"indie folk,alt country,americana","Sub Pop Records",0.51,0.206,0,-12.642,1,0.0458,0.939,0,0.0937,0.429,118.401,4
spotify:track:0yVQxhvnhrcXeoZt3C3272,"War on Machines","Furr","Blitzen Trapper",2008-09-23,199855,16,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-09T14:43:01Z,"indie folk,alt country,americana","Sub Pop Records",0.623,0.835,4,-7.328,1,0.0369,0.0404,0,0.32,0.857,119.412,4
spotify:track:6LfsLPonJ2smlz54OMJH9f,"Stolen Shoes & a Rifle","Furr","Blitzen Trapper",2008-09-23,166310,24,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-09T14:43:01Z,"indie folk,alt country,americana","Sub Pop Records",0.539,0.515,7,-10.665,1,0.0259,0.368,0.0000266,0.112,0.766,147.04,4
spotify:track:3kxBwSMR0rx4ZKByGbLeyh,"Echo/Always On/EZ Con","Furr","Blitzen Trapper",2008-09-23,208044,15,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-09T14:43:01Z,"indie folk,alt country,americana","Sub Pop Records",0.356,0.387,2,-13.381,0,0.201,0.844,0.444,0.47,0.139,61.07,4
spotify:track:4l9jbpaoqY2GLSGkwiWgzm,"Lady On the Water","Furr","Blitzen Trapper",2008-09-23,146199,35,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-09T14:43:01Z,"indie folk,alt country,americana","Sub Pop Records",0.454,0.265,2,-15.713,0,0.0343,0.823,0,0.139,0.764,97.916,4
