Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5VR4EoT8qzZd78g8TjTQqq,"LIttle Bit Of Me","Gather Me","Melanie",1971-07-01,252400,25,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-31T16:31:09Z,"","Buddah/Legacy",0.419,0.0688,9,-15.577,1,0.0352,0.758,0.00403,0.0748,0.32,106.733,4
spotify:track:1FNOOCgUSFgmbH9YZ6ZgX5,"Some Day I'll Be a Farmer","Gather Me","Melanie",1971-07-01,171653,34,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-31T16:31:09Z,"","Buddah/Legacy",0.718,0.22,10,-14.58,1,0.0578,0.737,0,0.126,0.52,97.222,4
spotify:track:3bFYYd53X2krARLT1dNVGO,"Steppin'","Gather Me","Melanie",1971-07-01,207840,24,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-31T16:31:09Z,"","Buddah/Legacy",0.483,0.145,9,-15.301,1,0.0485,0.782,0.00000133,0.106,0.266,119.189,4
spotify:track:7da5B9d2oVV16YSzXVxmrR,"Brand New Key","Gather Me","Melanie",1971-07-01,147040,55,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-31T16:31:09Z,"","Buddah/Legacy",0.703,0.292,1,-10.924,1,0.036,0.805,0.00000376,0.08,0.855,84.032,4
spotify:track:6DIacumRsWkmvC9I44MTtv,"Ring Around The Moon","Gather Me","Melanie",1971-07-01,40613,18,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-31T16:31:09Z,"","Buddah/Legacy",0.648,0.0385,0,-16.986,1,0.0545,0.901,0,0.125,0.77,120.902,4
spotify:track:7zzme6UyNlgkBY4D8TZMHN,"Ring the Living Bell","Gather Me","Melanie",1971-07-01,304493,24,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-31T16:31:09Z,"","Buddah/Legacy",0.491,0.443,10,-11.847,1,0.0528,0.543,0,0.152,0.63,134.145,4
spotify:track:19Hl4pPHZbPHXy2yPO2te5,"Railroad","Gather Me","Melanie",1971-07-01,171960,17,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-31T16:31:09Z,"","Buddah/Legacy",0.479,0.0819,4,-13.718,0,0.0428,0.91,0,0.119,0.314,134.802,4
spotify:track:0Y4JjH0z4acIp4ejrfuhfd,"Kansas","Gather Me","Melanie",1971-07-01,109586,17,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-31T16:31:09Z,"","Buddah/Legacy",0.684,0.361,7,-13.137,1,0.0449,0.529,0.256,0.152,0.94,77.239,4
spotify:track:0PcnkULTHpsOxr3xeTkpEy,"Some Say (I Got Devil)","Gather Me","Melanie",1971-07-01,188573,31,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-31T16:31:09Z,"","Buddah/Legacy",0.401,0.107,11,-14.984,0,0.0351,0.891,0.000113,0.0989,0.258,80.707,3
spotify:track:7EHU3Dt6EmkvPHhpQi8V4U,"Center Of The Circle","Gather Me","Melanie",1971-07-01,282466,17,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-31T16:31:09Z,"","Buddah/Legacy",0.486,0.219,1,-14.105,1,0.0389,0.883,0.00212,0.0994,0.675,85.035,4
spotify:track:3jIuCcBTwcwyzDYsOET6Bg,"What a Wondrous Love","Gather Me","Melanie",1971-07-01,235146,15,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-31T16:31:09Z,"","Buddah/Legacy",0.415,0.134,9,-14.448,1,0.029,0.797,0.00000309,0.196,0.42,100.731,3
spotify:track:4klkbNph98XLK8QsVPlQ9i,"Baby Day","Gather Me","Melanie",1971-07-01,224640,19,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-31T16:31:09Z,"","Buddah/Legacy",0.507,0.149,9,-13.093,1,0.0398,0.718,0,0.124,0.278,137.761,4
spotify:track:0pzzMeo8arVdCo9CiejXxo,"Tell Me Why","Gather Me","Melanie",1971-07-01,88133,19,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-31T16:31:09Z,"","Buddah/Legacy",0.547,0.0365,0,-21.295,1,0.038,0.905,0.00000444,0.105,0.245,93.872,3
