Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5WGr8oEBp2RBrorc5ZEx1K,"Trinidad","Getting Killed","Geese",2025-09-26,224824,64,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-04-13T19:24:55Z,"art rock","Partisan / Play It Again Sam",0.528,0.63,7,-7.209,1,0.0275,0.0531,0.0314,0.183,0.623,82.784,3
spotify:track:7qOBKhD1a54OvLvVee2tGf,"Cobra","Getting Killed","Geese",2025-09-26,185152,70,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-04-13T19:24:55Z,"art rock","Partisan / Play It Again Sam",0.531,0.83,7,-4.495,1,0.0327,0.256,0.0195,0.466,0.595,120.6,4
spotify:track:0xATIfA17cJDb9pYAuw70Y,"Husbands","Getting Killed","Geese",2025-09-26,248229,66,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-04-13T19:24:55Z,"art rock","Partisan / Play It Again Sam",0.651,0.515,2,-7.312,1,0.0258,0.0225,0.00296,0.112,0.693,86.104,4
spotify:track:4gXvwRoP7GYoipYRTXQUxW,"Getting Killed","Getting Killed","Geese",2025-09-26,284532,63,true,r0sb4304i3rsh8qs8rvt5fy5l,2026-04-13T19:24:55Z,"art rock","Partisan / Play It Again Sam",0.336,0.886,8,-4.703,0,0.0379,0.00548,0.421,0.444,0.568,100.508,4
spotify:track:75DUBuQSZ5fXbp7GHbTmTV,"Islands of Men","Getting Killed","Geese",2025-09-26,354139,63,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-04-13T19:24:55Z,"art rock","Partisan / Play It Again Sam",0.414,0.597,2,-7.498,1,0.0658,0.00579,0.3,0.0582,0.571,148.598,4
spotify:track:2JENu7srINnXlZC6JtLyEA,"100 Horses","Getting Killed","Geese",2025-09-26,226355,60,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-04-13T19:24:55Z,"art rock","Partisan / Play It Again Sam",0.488,0.958,6,-4.553,1,0.0944,0.00368,0.00277,0.0658,0.58,95.083,4
spotify:track:0t5EGxGtcu4voodQuS9me4,"Half Real","Getting Killed","Geese",2025-09-26,202201,60,true,r0sb4304i3rsh8qs8rvt5fy5l,2026-04-13T19:24:55Z,"art rock","Partisan / Play It Again Sam",0.425,0.733,2,-6.666,1,0.0386,0.298,0.0272,0.239,0.277,78.078,4
spotify:track:1g9GiiPPaL7KcDHlDzu7lT,"Au Pays du Cocaine","Getting Killed","Geese",2025-09-26,210945,71,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-04-13T19:24:55Z,"art rock","Partisan / Play It Again Sam",0.428,0.648,8,-6.125,1,0.0265,0.236,0.00167,0.126,0.543,79.034,4
spotify:track:5jR6zOQf3HtU2mifXWg6hE,"Bow Down","Getting Killed","Geese",2025-09-26,208287,61,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-04-13T19:24:55Z,"art rock","Partisan / Play It Again Sam",0.428,0.934,7,-5.342,1,0.0651,0.0138,0.0436,0.0484,0.59,105.887,4
spotify:track:5cbDTZG8lBJqVVa2zqROPI,"Taxes","Getting Killed","Geese",2025-09-26,197661,68,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-04-13T19:24:55Z,"art rock","Partisan / Play It Again Sam",0.338,0.813,6,-6.052,1,0.034,0.115,0.164,0.116,0.564,96.482,4
spotify:track:1oevydxCBM8J6aGHKymgl1,"Long Island City Here I Come","Getting Killed","Geese",2025-09-26,397019,59,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-04-13T19:24:55Z,"art rock","Partisan / Play It Again Sam",0.292,0.906,8,-5.471,1,0.152,0.0316,0.118,0.0667,0.414,102.03,4
