Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6rnkuqqkFBFTABuUQLvW8y,"Liars","Gregory Alan Isakov with the Colorado Symphony","Gregory Alan Isakov",2016-06-10,316706,53,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:19:16Z,"indie folk,folk,folk pop","Suitcase Town Music",0.231,0.253,0,-11.081,1,0.0315,0.694,0.052,0.12,0.144,76.071,4
spotify:track:3Qb06Q7qaypiBPFgpff9DK,"Dandelion Wine","Gregory Alan Isakov with the Colorado Symphony","Gregory Alan Isakov",2016-06-10,188456,47,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:19:16Z,"indie folk,folk,folk pop","Suitcase Town Music",0.213,0.187,0,-14.013,1,0.0304,0.747,0.452,0.1,0.288,82.93,4
spotify:track:2c78oUybrylUrT96i65PuH,"The Stable Song","Gregory Alan Isakov with the Colorado Symphony","Gregory Alan Isakov",2016-06-10,369413,53,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:19:16Z,"indie folk,folk,folk pop","Suitcase Town Music",0.518,0.296,2,-12.158,1,0.0268,0.714,0.0125,0.0903,0.305,139.884,4
spotify:track:2Dl1KHm3B5meHmri4xelmb,"Amsterdam","Gregory Alan Isakov with the Colorado Symphony","Gregory Alan Isakov",2016-06-10,189866,54,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:19:16Z,"indie folk,folk,folk pop","Suitcase Town Music",0.222,0.307,3,-10.042,1,0.0329,0.597,0.182,0.17,0.204,145.364,3
spotify:track:5lqCrOrrCTe0SpZD7Md549,"Master & a Hound","Gregory Alan Isakov with the Colorado Symphony","Gregory Alan Isakov",2016-06-10,201092,43,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:19:16Z,"indie folk,folk,folk pop","Suitcase Town Music",0.22,0.225,10,-13.206,1,0.0378,0.749,0.0519,0.131,0.059,130.387,3
spotify:track:7ktkumWjLpAmhdTxAYd61U,"Saint Valentine","Gregory Alan Isakov with the Colorado Symphony","Gregory Alan Isakov",2016-06-10,198576,43,true,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:19:16Z,"indie folk,folk,folk pop","Suitcase Town Music",0.372,0.359,3,-11.048,1,0.0302,0.689,0.0103,0.135,0.39,137.474,4
spotify:track:5Myb8jMUiTyCpOXmN9laX3,"That Sea, the Gambler","Gregory Alan Isakov with the Colorado Symphony","Gregory Alan Isakov",2016-06-10,286664,43,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:19:16Z,"indie folk,folk,folk pop","Suitcase Town Music",0.379,0.367,11,-9.7,0,0.0299,0.38,0.00809,0.0975,0.11,117.527,4
spotify:track:4IVO6D1x1k9VynHpiLL6p7,"Living Proof","Gregory Alan Isakov with the Colorado Symphony","Gregory Alan Isakov",2016-06-10,247599,44,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:19:16Z,"indie folk,folk,folk pop","Suitcase Town Music",0.389,0.327,4,-10.17,1,0.0294,0.778,0.0183,0.114,0.43,71.979,4
spotify:track:1N8E364po8JSnJ9yFqu4Zs,"If I Go, I'm Goin'","Gregory Alan Isakov with the Colorado Symphony","Gregory Alan Isakov",2016-06-10,264866,46,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:19:16Z,"indie folk,folk,folk pop","Suitcase Town Music",0.567,0.128,3,-14.717,1,0.0311,0.859,0.00763,0.106,0.187,123.776,4
spotify:track:3noTQVfSAGjbC2cS5efZoe,"Unwritable Girl","Gregory Alan Isakov with the Colorado Symphony","Gregory Alan Isakov",2016-06-10,179133,47,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-09-30T13:19:16Z,"indie folk,folk,folk pop","Suitcase Town Music",0.356,0.268,0,-13.01,1,0.0301,0.751,0.0854,0.113,0.158,109.053,3
