Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2hYeasyqa59VNYlsSSCmq4,"Pacific Love","How to: Friend, Love, Freefall","Rainbow Kitten Surprise",2018-04-06,23746,8,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-04-14T18:25:48Z,"","Elektra (NEK)",0.349,0.16,1,-16.57,1,0.0566,0.983,0,0.785,0.561,154.943,3
spotify:track:1TDdYSYLIXMJ4EiKO6ZCYk,"Mission to Mars","How to: Friend, Love, Freefall","Rainbow Kitten Surprise",2018-04-06,154213,57,true,r0sb4304i3rsh8qs8rvt5fy5l,2025-04-14T18:25:48Z,"","Elektra (NEK)",0.691,0.482,7,-10.954,1,0.201,0.623,0.00671,0.208,0.433,160.072,4
spotify:track:5vyt44455ipNNVSYq8fYY7,"Fever Pitch","How to: Friend, Love, Freefall","Rainbow Kitten Surprise",2018-04-06,163746,55,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-04-14T18:25:48Z,"","Elektra (NEK)",0.789,0.593,5,-7.877,0,0.0582,0.383,0.00000129,0.191,0.293,109.952,4
spotify:track:474uVhyGgK5MtY9gMcDgGl,"It's Called: Freefall","How to: Friend, Love, Freefall","Rainbow Kitten Surprise",2018-04-06,152293,80,true,r0sb4304i3rsh8qs8rvt5fy5l,2025-04-14T18:25:48Z,"","Elektra (NEK)",0.744,0.516,2,-6.365,1,0.0513,0.632,0,0.605,0.281,97.944,4
spotify:track:1zkkvSLk5Nh4uoyKWwuie9,"Holy War","How to: Friend, Love, Freefall","Rainbow Kitten Surprise",2018-04-06,174386,60,true,r0sb4304i3rsh8qs8rvt5fy5l,2025-04-14T18:25:48Z,"","Elektra (NEK)",0.564,0.294,7,-8.885,0,0.0349,0.636,0,0.0982,0.213,149.98,4
spotify:track:41xaZ4WLlKD95U5PknoJrV,"Matchbox","How to: Friend, Love, Freefall","Rainbow Kitten Surprise",2018-04-06,172466,50,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-04-14T18:25:48Z,"","Elektra (NEK)",0.678,0.81,7,-5.665,1,0.279,0.0635,0.0000038,0.0343,0.804,74.964,4
spotify:track:1k7aPYyAnNTjVbjw1YDNp1,"Moody Orange","How to: Friend, Love, Freefall","Rainbow Kitten Surprise",2018-04-06,196573,52,true,r0sb4304i3rsh8qs8rvt5fy5l,2025-04-14T18:25:48Z,"","Elektra (NEK)",0.621,0.427,11,-11.464,0,0.0733,0.79,0,0.189,0.275,150.037,4
spotify:track:0hJS3EHWC4uL9sJ52ErpoN,"Hide","How to: Friend, Love, Freefall","Rainbow Kitten Surprise",2018-04-06,192013,58,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-04-14T18:25:48Z,"","Elektra (NEK)",0.799,0.497,4,-6.57,1,0.141,0.0745,0.0000128,0.174,0.488,115.157,4
spotify:track:16ro1is6DmDKkarlJMBbzV,"When It Lands","How to: Friend, Love, Freefall","Rainbow Kitten Surprise",2018-04-06,269053,64,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-04-14T18:25:48Z,"","Elektra (NEK)",0.727,0.48,5,-9.278,0,0.0987,0.444,0,0.118,0.369,120.025,4
spotify:track:6fc51JZVE0Yijdi6RuoLFv,"Painkillers","How to: Friend, Love, Freefall","Rainbow Kitten Surprise",2018-04-06,213973,69,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-04-14T18:25:48Z,"","Elektra (NEK)",0.754,0.405,7,-11.547,1,0.0378,0.466,0.00179,0.1,0.0843,114.938,4
spotify:track:1RzgWAFlI6KOenjOxJYcH0,"Possum Queen","How to: Friend, Love, Freefall","Rainbow Kitten Surprise",2018-04-06,127640,44,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-04-14T18:25:48Z,"","Elektra (NEK)",0.501,0.477,6,-9.507,1,0.217,0.987,0.803,0.154,0.0897,106.595,3
spotify:track:2OeL43EXwaC205Xr1da1qJ,"Polite Company","How to: Friend, Love, Freefall","Rainbow Kitten Surprise",2018-04-06,242226,48,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-04-14T18:25:48Z,"","Elektra (NEK)",0.411,0.096,10,-17.007,1,0.0588,0.863,0.000245,0.117,0.198,91.91,4
