Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:19qKibI4KTxsJygPvYpkFW,"kingpin","born blue","Tommy Lefroy",2024-10-25,229252,27,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-06T22:21:13Z,"","Lab Records",0.291,0.0655,0,-14.612,1,0.04,0.924,0.00225,0.0875,0.23,77.554,4
spotify:track:30cSyKNdjEikHXtad3gjB4,"Radiohead","Radiohead","Alix Page",2021-12-01,197755,26,true,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-06T19:52:42Z,"","Alix Page",0.616,0.215,0,-11.626,1,0.0367,0.895,0.0000844,0.113,0.338,76.885,4
spotify:track:5n0CTysih20NYdT2S0Wpe8,"Trouble","Tell Me I'm Pretty","Cage The Elephant",2015-12-18,225980,73,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-21T17:18:51Z,"","RCA Records Label",0.47,0.623,0,-5.655,1,0.0302,0.392,0.000439,0.0992,0.298,77.861,4
spotify:track:3Pzh926pXggbMe2ZpXyMV7,"Ain't No Rest for the Wicked","Cage The Elephant (Expanded Edition)","Cage The Elephant",2009-03-24,175493,78,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-21T17:46:51Z,"","Jive/Legacy",0.636,0.849,0,-7.075,1,0.106,0.0438,0,0.372,0.917,156.036,4
spotify:track:0HuxhPJdOphCoIk2nK5Ozd,"dad?","dad?","Tyzo Bloom;girlhouse",2023-01-20,195092,32,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-21T17:27:28Z,"lo-fi indie,indie pop","UnderCurrent",0.529,0.612,7,-8.629,1,0.0329,0.0196,0.886,0.131,0.549,162.998,4
spotify:track:1oE9r6RgvZ6LzfjnHQlFDE,"Hey Joe","Bleachers (Deluxe)","Bleachers",2024-05-17,114895,22,true,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:07:45Z,"","Dirty Hit",0.782,0.271,2,-14.481,1,0.545,0.703,0.0000396,0.0982,0.808,164.012,4
spotify:track:1Ks5fw9rUXzC4cUchJ0Dxv,"Undertow","Keelan Donovan","Keelan Donovan",2017-06-02,224418,16,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-21T17:35:13Z,"","Big Yellow Dog Music",0.511,0.305,9,-10.749,1,0.0329,0.833,0.0000632,0.1,0.365,82.603,4
spotify:track:1tWOItEInL8qtsh1NfnO5a,"Cazadera","Gold Past Life","Fruit Bats",2019-06-21,205493,56,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-04-07T16:16:49Z,"","Merge Records",0.681,0.314,0,-11.629,0,0.0279,0.548,0.073,0.083,0.368,84.073,4
spotify:track:78cIbVjU1xn7mbQ9i35avl,"i think you're really cool","i think you're really cool","guardin",2018-05-08,160660,0,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-21T17:48:36Z,"emo rap","Photo Finish Records",0.503,0.446,5,-6.279,1,0.0547,0.904,0,0.303,0.476,174.062,4
spotify:track:2538yYWknqfUIMZy1jOkFb,"Hold My Hand","Graveyard Flower","Sam Burchfield",2020-02-28,257511,0,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-21T17:29:57Z,"","EatMusic",0.596,0.507,0,-5.535,1,0.0263,0.513,0.0000187,0.112,0.154,93.955,4
spotify:track:6NLsDiOGGJF4NDu8I4VNel,"War Horn","Shakey Graves And The Horse He Rode In On (Nobody's Fool & The Donor Blues EP)","Shakey Graves",2017-06-30,176901,24,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-04-03T13:04:09Z,"indie folk","Dualtone Music Group",0.463,0.253,7,-16.148,1,0.0351,0.892,0.347,0.103,0.493,93.763,4
spotify:track:7zJZ5f9rlkjqIkb9EMKH4Q,"Aerosol Ball","Life in the Dark","The Felice Brothers",2016-06-24,230026,29,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-06T21:53:15Z,"americana,alt country,southern gothic","Yep Roc Records",0.602,0.678,7,-6.946,1,0.03,0.215,0,0.115,0.922,95.493,4
spotify:track:47KDDZgFiX1w6RFOuLXsSn,"Tomorrow","Tomorrow","Shakey Graves",2016-09-02,240586,0,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-06T22:16:37Z,"indie folk","Dualtone Music Group, Inc.",0.564,0.354,7,-10.85,1,0.0334,0.73,0.00000343,0.208,0.423,98.075,3
spotify:track:7Ew5us0FuyUZZ4p6jRP2r3,"Superstar","Superstar","Rainbow Kitten Surprise",2024-03-08,193425,44,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:08:16Z,"","Elektra (NEK)",0.64,0.822,7,-6.445,1,0.0497,0.0112,0.0000869,0.354,0.593,98.016,4
spotify:track:6C6xqMptwc0qjFo1KzCzX3,"Long Way From Home","Cleopatra","The Lumineers",2016-04-08,152280,0,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:03:15Z,"folk pop,indie folk","Dualtone Music Group",0.473,0.416,9,-8.523,1,0.0309,0.691,0.000275,0.0953,0.187,99.682,5
spotify:track:4OR4KNFT1jnKBdrFxZJ5kX,"Little Sleep","Sending Money And Stems","Joe Kaplow",2021-04-30,269250,54,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-04-13T00:21:59Z,"","Only One On The Mountain",0.591,0.561,1,-10.062,0,0.0239,0.087,0.109,0.419,0.552,91.936,4
spotify:track:6vlF3gEoy1jRf38SgFnhog,"Elmira","Elmira","Pretty Jane",2023-12-08,198666,43,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-04-22T16:53:35Z,"","Pretty Jane & the Magazines",0.405,0.553,9,-6.784,1,0.031,0.525,0,0.0872,0.352,179.864,4
spotify:track:1AA3ZjLo9tD2iSZAs2svyj,"Chinatown (feat. Bruce Springsteen)","Take the Sadness Out of Saturday Night","Bleachers;Bruce Springsteen",2021-07-30,244189,56,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:10:49Z,"","RCA Records Label",0.436,0.714,4,-5.229,1,0.0257,0.00474,0,0.162,0.212,88.955,4
spotify:track:6JLcvLZP4N8MRhvjG6SGaL,"Dog Eat Dog","Dog Eat Dog","Tommy Lefroy",2022-07-27,169200,32,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-21T18:29:34Z,"","Lab Records",0.604,0.388,11,-8.666,1,0.0278,0.733,0.00358,0.0944,0.576,87.951,4
spotify:track:5LIwaCUAPW3ugjQ5ls3Fxs,"moshpit","dear amelia","renforshort",2022-07-08,218709,39,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-06T22:21:25Z,"","Interscope Records",0.706,0.645,0,-6.286,1,0.0292,0.0579,0.0012,0.0828,0.698,93.007,4
spotify:track:4G6E84lvx8jJh4lWv7Fecm,"Tears Over Beers","Sports","Modern Baseball",2012-11-27,168750,0,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-21T17:35:41Z,"midwest emo,emo,pop punk,folk punk,math rock","Lame-O Records",0.29,0.629,1,-7.052,1,0.0637,0.000844,0.000728,0.107,0.289,179.797,3
spotify:track:1OiwOmkBmeSMOlMzdG9p5p,"PATTERNS","LIGHTNING","Josie Dunne",2022-12-02,125404,20,true,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-21T17:25:24Z,"","Josie Dunne",0.773,0.482,4,-6.112,1,0.0729,0.0835,0.00718,0.179,0.681,92.929,4
spotify:track:1hu1N4BHkQ9H1yrlUg8bPb,"Tall Green Grass","12 Songs","Cory Branan",2006-03-21,220693,32,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:19:54Z,"alt country,anti-folk,americana","Madjack Records",0.488,0.478,2,-9.345,1,0.0372,0.789,0.0533,0.116,0.77,83.757,4
spotify:track:3pv6b4KfFccp71Dsy7igzA,"Sausalito","Conor Oberst","Conor Oberst",2008-08-05,190440,0,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-28T12:10:29Z,"","Merge Records",0.553,0.794,4,-7.052,0,0.0536,0.193,0.00000581,0.249,0.849,157.849,4
spotify:track:1K8ZuQfhINJkswTTzTG036,"Reckless Love","Strange Desire","Bleachers",2014-07-14,181320,45,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:05:04Z,"","RCA Records Label",0.631,0.705,6,-8.612,0,0.0775,0.0779,0.0846,0.111,0.437,160.036,4
spotify:track:1dSxgR97icbbeB6Q01VJk4,"Too Late","Awfully Apeelin'","The Happy Fits",2016-08-27,201257,57,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T12:58:57Z,"","Diamond City and Many Hats Distribution",0.686,0.551,7,-10.475,1,0.113,0.442,0,0.482,0.784,159.997,4
spotify:track:2B664ulJSVBd6B8SAY3Wux,"Oysters In My Pocket","Oysters In My Pocket","Royel Otis",2022-03-10,162338,77,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:15:26Z,"indie","House Anxiety / Ourness",0.598,0.924,6,-4.974,0,0.0623,0.0205,0.799,0.17,0.611,168.017,4
spotify:track:0UbaQxJaWOxM537N5H6UI7,"Fighting in the Car","Emily Can't Sing","Joe P",2021-10-22,243334,53,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-16T02:49:10Z,"","Neon Gold/Atlantic",0.483,0.663,4,-6.955,1,0.0303,0.0383,0.000091,0.12,0.384,83,4
spotify:track:2MbkOVIdZDNAklgnRZPgf3,"The Prettiest Waitress in Memphis","12 Songs","Cory Branan",2006-03-21,191813,33,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:19:54Z,"alt country,anti-folk,americana","Madjack Records",0.326,0.896,4,-7.772,1,0.228,0.0505,0.0000231,0.372,0.571,168.202,4
spotify:track:5G1sTBGbZT5o4PNRc75RKI,"Lonely Boy","El Camino","The Black Keys",2011-12-06,193653,70,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:21:54Z,"blues rock,garage rock,modern blues,rock","Nonesuch",0.356,0.872,2,-7.837,1,0.068,0.00417,0.00975,0.0997,0.607,166.3,4
spotify:track:4ZwKsuBjcr4cOZvAiwvZLv,"Hold Me While It’s Ending (with Matt Maeson)","Stellaria","Chelsea Cutler;Matt Maeson",2023-10-13,174906,49,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T12:49:00Z,"","Mercury Records/Republic Owned",0.47,0.52,7,-7.684,1,0.0353,0.33,0.00000157,0.0873,0.308,161.426,4
