Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:79DO6dBi8936P6EShLB209,"Lightning Bolt","Jake Bugg","Jake Bugg",2012-01-01,144013,61,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-05-30T22:26:06Z,"","EMI",0.551,0.839,9,-4.555,1,0.0787,0.0818,0,0.151,0.681,116.051,4
spotify:track:582EVyAFKmKPa1bVPSDurJ,"Two Fingers","Jake Bugg","Jake Bugg",2012-01-01,195986,61,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-05-30T22:26:06Z,"","EMI",0.486,0.677,5,-5.227,1,0.0314,0.00252,0,0.102,0.913,120.576,4
spotify:track:0AXHS2kTSc3U4Ocw1OJ4Rq,"Taste It","Jake Bugg","Jake Bugg",2012-01-01,144533,43,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-05-30T22:26:06Z,"","EMI",0.546,0.945,9,-4.093,1,0.0444,0.117,0,0.313,0.701,112.445,4
spotify:track:4Y7FCCc3LvDxfzLjXJgi0v,"Seen It All","Jake Bugg","Jake Bugg",2012-01-01,171213,57,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-05-30T22:26:06Z,"","EMI",0.38,0.844,2,-5.859,1,0.0636,0.00226,0,0.0729,0.442,166.789,4
spotify:track:59xYAblNy1Xr4U1IsJ3gZb,"Simple As This","Jake Bugg","Jake Bugg",2012-01-01,199453,56,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-05-30T22:26:06Z,"","EMI",0.612,0.578,8,-8.092,1,0.025,0.623,0,0.0983,0.696,96.985,4
spotify:track:0XY9YAtkp5GXMuFdkZk8Xp,"Country Song","Jake Bugg","Jake Bugg",2012-01-01,109800,38,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-05-30T22:26:06Z,"","EMI",0.414,0.172,9,-13.849,1,0.0323,0.969,0.0000672,0.115,0.386,89.176,3
spotify:track:1Bph2KY0MA2JUiX5uADWjZ,"Broken","Jake Bugg","Jake Bugg",2012-01-01,247013,52,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-05-30T22:26:06Z,"","EMI",0.439,0.442,8,-8.873,1,0.0288,0.335,0.00889,0.107,0.189,119.81,4
spotify:track:0bYlS61mSIdgDvDXOaJuGe,"Trouble Town","Jake Bugg","Jake Bugg",2012-01-01,170093,43,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-05-30T22:26:06Z,"","EMI",0.628,0.926,11,-5.156,0,0.0603,0.386,0.0364,0.383,0.803,111.171,4
spotify:track:0JZOTatEv2nuphvja0msGv,"Ballad Of Mr Jones","Jake Bugg","Jake Bugg",2012-01-01,159266,33,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-05-30T22:26:06Z,"","EMI",0.363,0.544,8,-6.34,1,0.0264,0.0919,0,0.103,0.566,76.083,4
spotify:track:0t1WPoT5kNNIyNyUbOBOsV,"Slide","Jake Bugg","Jake Bugg",2012-01-01,188946,40,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-05-30T22:26:06Z,"","EMI",0.401,0.337,11,-7.365,1,0.0271,0.656,0,0.115,0.14,136.094,4
spotify:track:1UmfwT5u7qXGR34zyKywTN,"Someone Told Me","Jake Bugg","Jake Bugg",2012-01-01,156773,43,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-05-30T22:26:06Z,"","EMI",0.492,0.215,0,-12.002,0,0.028,0.904,0.0000982,0.0892,0.313,101.837,4
spotify:track:7vIWC2buNsgC9Dx4rzBgrf,"Note To Self","Jake Bugg","Jake Bugg",2012-01-01,160933,35,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-05-30T22:26:06Z,"","EMI",0.532,0.422,0,-10.064,0,0.0273,0.449,0.000119,0.0932,0.304,99.035,4
spotify:track:0gy003seiJoIhthfZYH7UX,"Someplace","Jake Bugg","Jake Bugg",2012-01-01,212000,35,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-05-30T22:26:06Z,"","EMI",0.395,0.321,2,-8.921,1,0.0291,0.397,0.000945,0.0951,0.0863,105.184,4
spotify:track:5XeJ8Ky5bhOcjolHGyIYzm,"Fire","Jake Bugg","Jake Bugg",2012-01-01,105733,31,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-05-30T22:26:06Z,"","EMI",0.631,0.17,7,-11.232,1,0.0685,0.914,0,0.494,0.388,122.434,4
spotify:track:4JxvUJSd0zOBjiOnp7qLmv,"Lightning Bolt - Live From Spotify London","Jake Bugg","Jake Bugg",2012-01-01,138390,28,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-05-30T22:26:06Z,"","EMI",0.553,0.684,11,-8.709,0,0.0525,0.58,0.00000441,0.695,0.824,122.844,4
spotify:track:7IfQ9lMZmde8lMQQBeudgW,"Country Song - Live From Spotify London","Jake Bugg","Jake Bugg",2012-01-01,134304,27,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-05-30T22:26:06Z,"","EMI",0.401,0.35,10,-16.077,1,0.0459,0.921,0.00268,0.69,0.528,98.273,4
spotify:track:4Gkf0wQqjTlZUGRKlvCwLH,"Taste It - Live From Spotify London","Jake Bugg","Jake Bugg",2012-01-01,149420,26,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-05-30T22:26:06Z,"","EMI",0.588,0.587,9,-8.018,1,0.0324,0.5,0,0.687,0.604,107.496,4
spotify:track:1Ol5NzAHVfbvQ9AR6d6MTB,"Two Fingers - Live From Spotify London","Jake Bugg","Jake Bugg",2012-01-01,213437,27,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-05-30T22:26:06Z,"","EMI",0.556,0.45,5,-8.02,1,0.0344,0.573,0,0.655,0.565,112.215,4
