Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1k2pQc5i348DCHwbn5KTdc,"Pink Pony Club","The Rise and Fall of a Midwest Princess","Chappell Roan",2023-09-22,258034,83,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-06T19:52:51Z,"","Chappell Roan PS/ Island",0.61,0.65,6,-6.199,1,0.0474,0.399,0,0.11,0.507,106.719,4
spotify:track:4cdgQp78RyRzI04Bmw8o44,"Payphone - Edit","Overexposed (Deluxe)","Maroon 5;Wiz Khalifa",2012-01-01,231373,49,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-21T17:43:58Z,"pop","Interscope Records*",0.741,0.783,4,-4.791,1,0.0415,0.015,0,0.302,0.534,110.002,4
spotify:track:1Ist6PR2BZR3n2z2Y5R6S1,"Summertime Sadness","Born To Die – Paradise Edition (Special Version)","Lana Del Rey",2012-01-01,264773,78,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:12:03Z,"","Urban",0.566,0.647,1,-6.815,0,0.0335,0.0477,0,0.121,0.22,111.96,4
spotify:track:1Dr5JexwA15wmKe7Y7maA9,"Past Lives","Dopamine","BØRNS",2015-10-16,274320,70,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:17:05Z,"","UMGRI Interscope",0.743,0.685,4,-6.863,1,0.0975,0.0664,0.0000675,0.0884,0.443,109.988,4
spotify:track:5N3hjp1WNayUPZrA8kJmJP,"Please Please Please","Please Please Please","Sabrina Carpenter",2024-06-06,186365,80,true,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:06:46Z,"pop","Island Records",0.669,0.586,9,-6.073,1,0.054,0.274,0,0.104,0.579,107.071,4
spotify:track:49CP2usyaN98EdtrOWXnal,"1234","The Reminder","Feist",2007-01-01,183666,61,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:11:46Z,"","Universal Music Division Decca Records France",0.71,0.484,2,-7.415,1,0.049,0.22,0.00000393,0.0879,0.576,109.95,4
spotify:track:0HYhOGKAHiOsv8GW4JdMJ8,"Lonesome","emails i can’t send fwd:","Sabrina Carpenter",2023-03-17,187591,63,true,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-21T17:21:33Z,"pop","Island Records",0.606,0.336,0,-11.04,1,0.0392,0.375,0.00008,0.107,0.368,111.235,4
spotify:track:6MtKObWYda2qnNIpJI21uD,"Pursuit Of Happiness (Nightmare)","Man On The Moon: The End Of Day (Deluxe)","Kid Cudi;MGMT;Ratatat",2009-01-01,295293,75,true,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:17:05Z,"indie","Kid Cudi/Universal Records",0.629,0.606,0,-8.951,1,0.0412,0.484,0.0001,0.298,0.288,115.275,4
spotify:track:6aDFDLJRvX40cb2nKpN2nl,"Warm Enough","Warm Enough","Hannah Cole",2021-12-01,134493,33,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:06:16Z,"","2494160 Records DK2",0.641,0.544,2,-7.9,1,0.0413,0.322,0,0.266,0.664,116.992,4
spotify:track:2GiJYvgVaD2HtM8GqD9EgQ,"Electric Love","Dopamine","BØRNS",2015-10-16,218106,81,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:21:42Z,"","UMGRI Interscope",0.611,0.797,6,-7.627,0,0.0533,0.00543,0.00137,0.26,0.518,120.041,4
spotify:track:7FOgcfdz9Nx5V9lCNXdBYv,"Red Wine Supernova","The Rise and Fall of a Midwest Princess","Chappell Roan",2023-09-22,192720,80,true,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:06:46Z,"","Chappell Roan PS/ Island",0.657,0.82,9,-4.448,1,0.0441,0.0176,0,0.0847,0.709,124.041,4
spotify:track:6f49kbOuQSOsStBpyGvQfA,"A Head Full of Dreams","A Head Full of Dreams","Coldplay",2015-12-04,223773,65,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T12:56:26Z,"","Parlophone UK",0.449,0.92,11,-4.982,1,0.0737,0.0021,0.0167,0.334,0.0772,122.984,4
spotify:track:4wOXx92SlZWxNtuBytlMsK,"Bitter Love","Bitter Love","Pia Mia",2019-03-22,217809,46,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-21T17:42:35Z,"","Cherry Pie Records",0.365,0.652,7,-2.666,1,0.0356,0.146,0,0.114,0.143,101.65,3
spotify:track:0CXZxfq4FB701FQcrzqJyd,"Delusion","Delusion","Michal Leah",2021-04-16,163018,36,true,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-21T17:25:42Z,"","Nettwerk Music Group",0.738,0.418,0,-8.976,1,0.0355,0.321,0,0.244,0.608,105.992,4
spotify:track:3MkEVGXroAZV4BAtBV9yOf,"I'd Have to Think About It","I'd Have to Think About It","Leith Ross",2021-10-08,150141,0,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:08:57Z,"","Birthday Cake",0.508,0.213,5,-13.998,1,0.0364,0.829,0.0000111,0.123,0.512,100.764,4
spotify:track:5BVh42IdSoY9B89skmYAM0,"The Cut","Well Here We Are","Grace Enger",2023-08-11,199267,25,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-07T18:56:56Z,"","Grace Enger",0.588,0.321,1,-8.781,1,0.0372,0.146,0,0.108,0.18,92.785,4
spotify:track:7fFGr8y59vJ0gsfb8M3PjR,"Genevieve","Gramophone","JP O'Grady",2024-10-23,219000,21,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-03T21:00:31Z,"","Local",0.675,0.511,4,-7.735,1,0.0275,0.811,0.000135,0.116,0.253,94.473,3
spotify:track:4coMc7eT8g8oWCk4Z388wk,"First Time","First & Foremost","Plested",2018-12-06,205173,27,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-08-01T11:10:19Z,"pop singer-songwriter","NOWHERENEAR Records",0.447,0.317,4,-6.989,1,0.0315,0.729,0,0.304,0.427,94.403,4
spotify:track:4lSDX5eOnpN2DS5DY89iSm,"Running","Running","Rose Betts",2024-10-25,159212,26,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-06T22:21:30Z,"celtic","Nettwerk Music Group",0.656,0.672,4,-7.011,0,0.108,0.215,0.0024,0.307,0.349,98.009,4
spotify:track:74Hu97uhlBsOiZLu6L5FbB,"good girls","good girls","Josie Edwards",2025-05-15,149817,0,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-06-07T21:18:26Z,"","Six Acres Records",0.76,0.55,11,-3.08,0,0.0248,0.701,0,0.0855,0.493,98.976,4
spotify:track:476JcJ3TpAuCOlGdCmomGm,"New Soul","Yael Naïm","Yael Naim",2007-10-22,225106,61,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:12:10Z,"","tôt Ou tard",0.769,0.371,0,-8.522,1,0.0326,0.733,0.0000373,0.106,0.653,100.001,4
spotify:track:5DJpci59ruBqsHLKYerhoN,"California","California","i said yes",2016-02-29,244273,0,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-04-01T18:32:42Z,"","Independent",0.702,0.371,5,-8.26,1,0.0455,0.808,0,0.33,0.331,97.886,4
spotify:track:50MLAqO21qiWJ2CEni7ZmX,"Ireland","Ireland","Ellie Banke",2023-04-12,128500,39,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:19:02Z,"","Ellie Banke",0.416,0.331,10,-8.642,1,0.0295,0.801,0,0.107,0.746,97.893,3
spotify:track:4Nkn6En6TiZQRuTpEDPOYs,"The Gambler","Aim and Ignite (Deluxe Version)","fun.",2009-08-25,251266,48,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:12:31Z,"","fun. Music",0.613,0.296,10,-7.571,1,0.0309,0.94,0.00000134,0.109,0.46,99.934,4
spotify:track:2HLozrMrP9kSZTjRPWWlyF,"Lovesick","Lovesick","Paige Fish",2025-07-16,199101,0,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-22T01:03:40Z,"","Harbour Artists & Music",0.656,0.523,2,-6.91,1,0.0278,0.787,0,0.169,0.749,145.9,4
spotify:track:16gW9O8A4rIMx5OOVlzsSn,"Dear August","Dear August","PJ Harding;Noah Cyrus",2021-02-12,200940,60,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:13:24Z,"","Records Label, LLC/RCA Records",0.643,0.324,0,-7.817,1,0.0338,0.8,0,0.111,0.444,147.019,4
spotify:track:3V0nnQhqvbE3JmiDdnzQFQ,"July (feat. Leon Bridges)","July (feat. Leon Bridges)","Noah Cyrus;Leon Bridges",2019-11-08,152280,68,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:13:20Z,"retro soul","Records/Columbia",0.708,0.211,9,-9.603,0,0.0424,0.853,0,0.131,0.362,72.5,4
spotify:track:0LJDFZohBgWOMvXQw0cc9W,"Cigarettes On Patios","Cigarettes On Patios","BabyJake",2019-06-07,207813,63,true,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:07:48Z,"","SRV LabelCo, LLC",0.752,0.712,4,-5.467,0,0.0474,0.256,0,0.136,0.588,139.999,4
spotify:track:4xdBrk0nFZaP54vvZj0yx7,"HOT TO GO!","The Rise and Fall of a Midwest Princess","Chappell Roan",2023-09-22,184841,77,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T12:56:30Z,"","Chappell Roan PS/ Island",0.742,0.757,6,-4.981,1,0.0421,0.0187,0,0.305,0.957,139.982,4
spotify:track:2pA4ip3VIEVcIa3qE02oAX,"10,000 Emerald Pools","Dopamine","BØRNS",2015-10-16,174693,68,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:18:53Z,"","UMGRI Interscope",0.568,0.578,6,-5.589,1,0.0404,0.00694,0.000353,0.099,0.555,139.951,4
spotify:track:2gyxAWHebV7xPYVxqoi86f,"get him back!","GUTS","Olivia Rodrigo",2023-09-08,211141,79,true,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:15:12Z,"","Olivia Rodrigo PS",0.553,0.847,5,-5.736,1,0.187,0.0143,0,0.561,0.733,162.024,4
spotify:track:34sOdxWu9FljH84UXdRwu1,"all-american bitch","GUTS","Olivia Rodrigo",2023-09-08,165833,76,true,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:15:12Z,"","Olivia Rodrigo PS",0.421,0.695,6,-4.346,1,0.0428,0.218,0.00000297,0.155,0.45,156.344,4
spotify:track:4nnrdoWiuoXEpSBsokd4OZ,"Soft Again","Soft Again","Cece Coakley",2025-01-24,137278,24,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-05T20:02:52Z,"","Bebe Boakley Records",0.66,0.629,1,-9.119,1,0.0377,0.661,0.0333,0.164,0.74,157.916,4
spotify:track:1lEALGPO4S0u73z4fdqkP6,"April Fools","April Fools","Abby Cates",2023-04-07,235147,24,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-07T18:56:45Z,"","Abby Cates",0.542,0.615,8,-6.585,1,0.0301,0.726,0.00057,0.241,0.326,78,4
spotify:track:5vCj5yC2xLp39AEWAjvXZg,"maybe she was the one","SUPERNOVA","Sophie Cates",2024-03-29,165756,22,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-04T16:17:18Z,"bedroom pop","FRTYFVE",0.531,0.592,2,-9.502,1,0.0749,0.584,0.0000059,0.147,0.342,156.003,4
spotify:track:2KJD3ihxty7VLYXpNJRnjF,"Keeping Score","Ritual","Beeson",2024-12-06,239220,40,true,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-06T17:08:40Z,"","Jannabis Records",0.493,0.569,2,-6.612,1,0.029,0.108,0,0.101,0.317,153.984,4
spotify:track:5UqTWnG7YZAbj1SYMvnGsU,"Scarlett","Can You Afford To Lose Me?","Holly Humberstone",2022-10-24,196226,61,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:09:49Z,"","Polydor Records",0.618,0.615,2,-8.71,1,0.0724,0.172,0.0000111,0.0821,0.437,143.09,4
spotify:track:2kz0o2POKqZQSRHm4pmxzL,"Boston","Boston","Owl City",2024-02-09,244688,0,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:12:47Z,"","Sky Harbor Records",0.556,0.4,0,-8.543,1,0.0368,0.484,0.0000163,0.133,0.27,146.935,4
spotify:track:7uzmGiiJyRfuViKKK3lVmR,"Mine","COSMIC","Bazzi",2018-04-12,131064,74,true,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:15:12Z,"","iamcosmic",0.71,0.789,4,-3.874,1,0.0722,0.0161,0.00000277,0.451,0.717,142.929,4
spotify:track:6twjuBZfRJIZnoHrghzWLk,"Blame Brett","Blame My Ex","The Beaches",2023-09-15,177003,69,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:09:49Z,"","The Beaches",0.472,0.867,1,-3.159,0,0.0409,0.0063,0.00000456,0.326,0.792,155.996,4
spotify:track:6vFsBXYczYsP0H3lgunZOm,"Cloud 9","Honeymoon","Beach Bunny",2020-02-14,147350,2,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:08:59Z,"","Mom+Pop",0.637,0.929,4,-3.593,1,0.0491,0.00167,0.0000262,0.344,0.902,80.974,4
spotify:track:3USxtqRwSYz57Ewm6wWRMp,"Heat Waves","Dreamland","Glass Animals",2020-08-07,238805,88,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-21T17:39:22Z,"","Polydor Records",0.761,0.525,11,-6.9,1,0.0944,0.44,0.0000067,0.0921,0.531,80.87,4
spotify:track:5bt33HQzO4ktCCsJw0FQgV,"Home for the Weekend (with Cece Coakley)","Lady Lou & All Her Friends","HAFFWAY;Cece Coakley",2024-09-27,275873,19,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-15T16:57:10Z,"","HAFFWAY",0.564,0.681,4,-7.074,1,0.0411,0.0614,0.000159,0.112,0.54,81.531,4
spotify:track:210skmdA7WPT9Cpnhhbiz9,"Dive (with Asha Banks)","Dive (with Asha Banks)","Holly Humberstone;Asha Banks",2025-07-25,239394,42,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-28T21:07:17Z,"","Polydor Records",0.541,0.418,7,-6.555,1,0.0324,0.369,0,0.149,0.168,81.527,4
spotify:track:5ll8LtJvNBmtrCcqlPb9jy,"Backseat","What's Dead and Gone","Liang Lawrence",2024-08-02,193000,29,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-06T17:08:56Z,"","The Other Songs",0.396,0.398,4,-14.539,1,0.0325,0.146,0.0339,0.27,0.407,83.345,4
spotify:track:37ynsCQ2PUTc9hbWygrbKy,"football game","football game","Sophie Cates",2020-11-25,167546,25,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-21T17:41:10Z,"bedroom pop","Little Worry/RCA Records",0.729,0.539,1,-8.145,1,0.0848,0.242,0.00000115,0.0524,0.776,173.294,4
spotify:track:1Mf27cnAF1Q6Ko83XTM5d1,"Glitter & Gold","The Attractions Of Youth","Barns Courtney",2017-09-29,176093,70,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:06:46Z,"","EMI",0.487,0.625,8,-5.112,1,0.0401,0.374,0,0.226,0.351,170.397,4
spotify:track:28kOGtTZzbfQ8fMmTwjRFq,"The Kiss Of Venus (Dominic Fike)","McCartney III Imagined","Paul McCartney;Dominic Fike",2021-04-16,143530,59,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:08:38Z,"","Capitol Records",0.715,0.374,8,-6.665,1,0.0399,0.627,0,0.11,0.633,89.982,4
spotify:track:4JEGeqPF0RH7oi1lHdtbK6,"slow summer","slow summer","Zachary Knowles",2020-08-14,168782,0,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:19:01Z,"","FADER Label",0.658,0.431,5,-8.902,1,0.0437,0.817,0.00000828,0.21,0.464,90.003,4
spotify:track:3vLByi1CdmNJPpTtOdKqAQ,"Wish on an Eyelash","Butterfly Blue","Mallrat",2022-05-13,58929,46,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-21T17:21:33Z,"","Nettwerk Music Group",0.418,0.288,2,-10.597,1,0.0351,0.885,0.0316,0.115,0.352,89.861,3
spotify:track:5kUqU9uLc98ndpJiqieN8K,"Bruises","Everything To Everyone (Deluxe)","Reneé Rapp",2023-02-24,161469,53,true,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-21T17:26:05Z,"","Interscope Records",0.491,0.339,9,-7.858,1,0.161,0.698,0,0.0649,0.165,180.676,4
spotify:track:2OzhQlSqBEmt7hmkYxfT6m,"Fortnight (feat. Post Malone)","THE TORTURED POETS DEPARTMENT","Taylor Swift;Post Malone",2024-04-18,228965,83,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:06:34Z,"","Taylor Swift",0.504,0.386,11,-10.976,1,0.0308,0.502,0.0000153,0.0961,0.281,192.004,4
spotify:track:2U3jOPfO4wZZFaaWS4Dcj6,"stranger","GUTS (spilled)","Olivia Rodrigo",2024-03-22,192771,75,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:09:49Z,"","Olivia Rodrigo PS",0.442,0.599,0,-5.074,1,0.12,0.783,0,0.155,0.544,186.309,4
spotify:track:64a8sG85BzNl8TYvhw7IRA,"You And I","Uma Noite Chuvosa","Ingrid Michaelson",2020-07-17,148226,5,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:12:55Z,"","UME - Global Clearing House",0.714,0.291,0,-7.62,1,0.056,0.913,0,0.0802,0.493,134.731,4
spotify:track:0WYwcvThvdlJl3xLN7mj4E,"Beautiful & Brutal","Beautiful & Brutal","Plested",2020-01-23,211283,35,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-08-01T11:10:07Z,"pop singer-songwriter","NOWHERENEAR Records",0.518,0.701,7,-6.389,1,0.129,0.0443,0,0.211,0.228,136.593,4
spotify:track:1Fo4OvzP9PThFKMeMIAEYu,"Superhero","Superhero","Lauv",2018-08-30,179997,0,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-21T17:45:11Z,"","Lauv",0.681,0.34,7,-8.617,1,0.0339,0.82,0,0.285,0.417,129.98,4
spotify:track:3Q6fRSTIz9AZLfmTMGNlxG,"Wave (feat. Mike Sabath)","Wave (feat. Mike Sabath)","Meghan Trainor;Mike Sabath",2019-09-27,176947,36,true,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-21T17:45:15Z,"","Epic",0.586,0.542,5,-6.883,1,0.185,0.0254,0.0000021,0.131,0.43,125.078,4
spotify:track:5XemvyG79fcKPl5lgbhplq,"W.I.T.C.H.","W.I.T.C.H.","Devon Cole",2022-07-07,132133,61,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:06:50Z,"","Arista Records",0.868,0.66,7,-3.834,1,0.0526,0.104,0,0.0755,0.963,121.925,4
spotify:track:1YsU8rW2u8z4F0pwOBQ4Ea,"feelslikeimfallinginlove - Single Version","feelslikeimfallinginlove","Coldplay",2024-06-21,237803,70,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T12:57:50Z,"","Parlophone UK",0.629,0.515,0,-7.503,1,0.0272,0.0448,0.00751,0.117,0.339,121.154,4
spotify:track:3rdhbnrw6XeTp5aKBI0EKf,"Missing June","Missing June","Miki Ratsula",2020-07-17,172990,33,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-21T17:20:48Z,"","Nettwerk Music Group",0.722,0.564,5,-9.007,1,0.0338,0.171,0.000195,0.0825,0.854,125.086,4
spotify:track:2dX8DvGkFb33vE7GJryiyP,"Driving Myself Home","White Orchids","Rose Betts",2022-03-25,118925,58,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:11:46Z,"celtic","Nettwerk Music Group",0.683,0.39,7,-9.503,1,0.0391,0.738,0.0000105,0.139,0.555,121.955,4
spotify:track:4wFVVLsVZA8IUJqdloM8wo,"Undercover Cops (with Lennon Stella)","Undercover Cops (with Lennon Stella)","slimdan;Lennon Stella",2025-02-19,217786,25,true,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-19T14:50:22Z,"","Harbour Artists & Music",0.663,0.205,3,-12.707,1,0.037,0.817,0.0169,0.107,0.244,128.077,4
spotify:track:6zp4523IH32wZBDWklk5iB,"Life On The Line","Life On The Line","The Walters",2025-01-29,127812,24,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-07T12:02:44Z,"","The Walters under exclusive license to Amuseio AB",0.487,0.59,10,-9.024,1,0.0345,0.431,0,0.106,0.441,117.33,4
spotify:track:354WgOJnFIibRLOVwZZaxK,"Calling Card","Calling Card","ella jane",2021-10-26,192413,0,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-08T22:15:27Z,"","FADER Label",0.83,0.407,8,-7.457,1,0.0511,0.0611,0.000525,0.108,0.654,116.007,4
spotify:track:22VHOlVYBqytsrAqV8yXBK,"Dial Drunk (with Post Malone)","Dial Drunk (with Post Malone)","Noah Kahan;Post Malone",2023-07-18,213817,79,true,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:15:53Z,"","Mercury Records/Republic Records",0.669,0.606,8,-7.193,1,0.0292,0.124,0,0.112,0.69,112.108,4
spotify:track:7vu0JkJh0ldukEYbTVcqd0,"Issues","Nervous System","Julia Michaels",2017-07-28,176320,75,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-21T17:47:47Z,"","J/Republic",0.728,0.415,8,-6.852,1,0.0639,0.401,0,0.0616,0.455,114.145,4
spotify:track:73QGVDmZWTLnQ6lG7rF1vd,"Last Call","Last Call","Will Linley",2022-12-09,174183,56,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-21T17:20:35Z,"","Island Records",0.65,0.759,1,-3.25,1,0.0343,0.114,0,0.094,0.933,114.994,4
spotify:track:4LKYOetuIF5c9XjeLBL9av,"Naked In Manhattan","The Rise and Fall of a Midwest Princess","Chappell Roan",2023-09-22,211057,74,true,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-06T22:27:33Z,"","Chappell Roan PS/ Island",0.771,0.704,1,-5.098,1,0.0315,0.0835,0,0.0935,0.55,118.01,4
spotify:track:0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!","Good Luck, Babe!","Chappell Roan",2024-04-05,218423,90,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:07:01Z,"","Chappell Roan PS/ Island",0.7,0.582,11,-5.96,0,0.0356,0.0502,0,0.0881,0.785,116.712,4
spotify:track:6G1Mz5yMgn0ydOlIvTrZ65,"Run Away to Mars","Run Away to Mars","TALK",2021-06-23,213753,63,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-21T17:32:30Z,"","Range Music/Capitol Records",0.554,0.38,9,-10.666,1,0.0314,0.526,0,0.213,0.284,118.925,4
