Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:54rJa67IrktOcXKYw7wGTR,"Miracle","Miracle","Mosaic MSC",2018-05-25,296365,45,false,,2020-02-25T21:36:16Z,"worship,christian","Essential Worship",0.39,0.445,4,-6.879,1,0.0289,0.39,0,0.0978,0.133,73.971,4
spotify:track:4xYUnLUwwWMndNlCQi4CqX,"When A Heart Breaks","Into the Morning","Ben Rector",2010-02-16,256906,41,false,u1oxarqdtvxpaksx4t5tza4wm,2020-08-07T02:47:43Z,"","Tempo Music",0.649,0.4,11,-10.917,1,0.0354,0.142,0.000208,0.112,0.185,141.984,4
spotify:track:5j1Yp9vEczFypUpKyjHalh,"God With Us","10","MercyMe",2009-10-13,347266,0,false,u1oxarqdtvxpaksx4t5tza4wm,2020-08-04T12:30:01Z,"christian,ccm,worship,christian rock,christian alternative rock,christian pop","Ino/Columbia",0.243,0.552,11,-5.634,1,0.0348,0.0666,0.00000217,0.223,0.0822,180.109,4
spotify:track:7j1e730A8K1my1mM4knYmr,"I Will Rise","How Great Is Our God: The Essential Collection","Chris Tomlin",2011-01-01,300373,48,false,u1oxarqdtvxpaksx4t5tza4wm,2020-08-04T12:30:12Z,"christian,worship,ccm,pop worship,country christian","Six Steps (SIX)",0.439,0.32,11,-7.086,1,0.0277,0.344,0,0.0844,0.262,81.935,4
spotify:track:6kpAhNL6CYs3NSbFs3tHwf,"I Will Follow","And If Our God Is For Us...","Chris Tomlin",2010-01-01,220000,60,false,u1oxarqdtvxpaksx4t5tza4wm,2020-08-04T12:30:21Z,"christian,worship,ccm,pop worship,country christian","Six Steps (SIX)",0.587,0.783,10,-3.684,1,0.026,0.0617,0,0.129,0.483,95.935,4
spotify:track:0jOSpB2zK2O0SNxj8ZT5lp,"How Great Is Our God","How Great Is Our God: The Essential Collection","Chris Tomlin",2011-01-01,305426,67,false,u1oxarqdtvxpaksx4t5tza4wm,2020-08-04T12:30:24Z,"christian,worship,ccm,pop worship,country christian","Six Steps (SIX)",0.32,0.573,1,-5.653,1,0.0319,0.107,0,0.0854,0.077,156.05,4
spotify:track:39U5Mu7nExoOuiw62YKlBf,"All of Creation","The Generous Mr. Lovewell","MercyMe",2010-05-04,236440,0,false,u1oxarqdtvxpaksx4t5tza4wm,2020-08-04T12:30:32Z,"christian,ccm,worship,christian rock,christian alternative rock,christian pop","Ino/Columbia",0.371,0.799,10,-5.418,1,0.0336,0.0142,0,0.11,0.503,172.05,4
spotify:track:1wV6lCsV2PCeVZlyGTkVPt,"East To West","The Altar and The Door","Casting Crowns",2007-08-28,266106,59,false,u1oxarqdtvxpaksx4t5tza4wm,2020-08-04T12:30:39Z,"christian,worship,ccm,christian rock,christian alternative rock,christian pop","Reunion Records",0.454,0.511,6,-6.124,0,0.0275,0.166,0,0.122,0.327,72.984,4
spotify:track:0bCw5lXm0ySp9cX7CcmIOh,"Everlasting God","Let The Praises Ring - The Best Of Lincoln Brewster","Lincoln Brewster",2006-11-07,287440,0,false,u1oxarqdtvxpaksx4t5tza4wm,2020-08-04T12:30:44Z,"christian,ccm,worship,christian rock,christian pop","Integrity/Columbia",0.53,0.784,11,-6.292,1,0.0312,0.00279,0,0.0633,0.566,110.01,4
spotify:track:2pAydQanqfnYuKnzkS66D6,"Word Of God Speak","Cry Out To Jesus","MercyMe",2006-11-27,188813,27,false,u1oxarqdtvxpaksx4t5tza4wm,2020-08-04T12:31:05Z,"christian,ccm,worship,christian rock,christian alternative rock,christian pop","Gilead Baptist Church",0.334,0.302,0,-7.438,1,0.0252,0.688,0,0.207,0.195,69.934,4
spotify:track:0W7KIc2GSB9suYQAaMZ9rF,"Nobody (feat. Matthew West)","Only Jesus","Casting Crowns;Matthew West",2018-11-16,206400,69,false,u1oxarqdtvxpaksx4t5tza4wm,2020-07-29T08:29:03Z,"christian,worship,ccm,christian rock,christian alternative rock,christian pop","Reunion Records",0.561,0.717,8,-5.72,1,0.0381,0.458,0,0.138,0.455,79.993,4
spotify:track:1mSMwIW4ZK6DVl499FvDPv,"The River","Beloved","Jordan Feliz",2015-10-02,195506,1,false,u1oxarqdtvxpaksx4t5tza4wm,2020-07-29T08:29:18Z,"christian,christian pop,ccm,worship,christian edm","Centricity Music (CEY)",0.65,0.909,10,-5.015,0,0.0352,0.102,0,0.344,0.823,124.007,4
spotify:track:1JVefYHGnKd8ZjyaqWmTpz,"Haven't Seen It Yet","Haven't Seen It Yet","Danny Gokey",2019-04-12,244066,58,false,u1oxarqdtvxpaksx4t5tza4wm,2020-07-29T08:29:25Z,"christian,ccm,christian pop,worship","Sparrow (SPR)",0.619,0.686,2,-6.534,1,0.0506,0.167,0,0.114,0.609,139.916,4
spotify:track:0rH0mprtecH3grD9HFM5AD,"Reckless Love","Reckless Love","Cory Asbury",2018-01-26,333386,3,false,u1oxarqdtvxpaksx4t5tza4wm,2020-07-29T08:29:34Z,"worship,christian,ccm,country christian","Bethel Music",0.572,0.685,6,-7.29,1,0.0356,0.0291,0,0.0963,0.232,110.698,4
spotify:track:6Up545NUflOiXo8cEraH49,"You Say","Look Up Child","Lauren Daigle",2018-09-07,274693,77,false,u1oxarqdtvxpaksx4t5tza4wm,2020-07-29T08:29:38Z,"christian,worship,ccm","Centricity Music",0.494,0.632,5,-6.89,1,0.0342,0.682,0,0.0869,0.0797,147.873,4
spotify:track:3wlpaljKzcvj0YYJAMIwXy,"Magnify","We Are Messengers","We Are Messengers",2016-04-22,207453,52,false,u1oxarqdtvxpaksx4t5tza4wm,2020-07-29T08:29:42Z,"christian,ccm,worship,christian pop","Curb | Word",0.566,0.766,11,-6.87,1,0.0552,0.133,0,0.117,0.401,139.955,4
