Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5vZWYzEZ14cPcsdAXezdQY,"California","Lean Into Life","Petey USA",2022-09-29,276453,43,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-26T19:27:02Z,"","Terrible Records",0.644,0.87,2,-7.382,1,0.029,0.123,0.806,0.1,0.412,127.008,4
spotify:track:4OV4vGGaANzlxhCZsEL2l2,"Apple TV Remote","Lean Into Life","Petey USA",2022-09-29,176133,40,true,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-26T19:27:02Z,"","Terrible Records",0.611,0.62,11,-7.671,1,0.0264,0.225,0.00261,0.308,0.6,85.027,4
spotify:track:5HtNAj7o5p4vxKCXAXojwL,"Pitch A Fit!","Lean Into Life","Petey USA",2022-09-29,262266,40,true,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-26T19:27:02Z,"","Terrible Records",0.636,0.701,3,-7,1,0.0529,0.385,0.00000389,0.154,0.338,158.001,4
spotify:track:5uGZtSYorCUAqw03hzwvTn,"DON'T TELL THE BOYS","Lean Into Life","Petey USA",2022-09-29,236946,55,true,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-26T19:27:02Z,"","Terrible Records",0.629,0.638,1,-10.093,1,0.0409,0.392,0.018,0.11,0.193,187.977,4
spotify:track:3rADHqi3ZgaA1JHtDzKKXv,"Microwave Dinner","Lean Into Life","Petey USA",2022-09-29,282706,36,true,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-26T19:27:02Z,"","Terrible Records",0.633,0.366,2,-9.339,1,0.0341,0.706,0.000083,0.0829,0.187,78.003,4
spotify:track:1dI3595mzL0hNIyJdTmscZ,"Oh Nice","Lean Into Life","Petey USA",2022-09-29,117826,31,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-26T19:27:02Z,"","Terrible Records",0.509,0.0859,10,-26.319,1,0.0326,0.974,0.942,0.0952,0.384,119.985,4
spotify:track:4C1vFlHxwtnzj58n7ML8FI,"We Go On Walks","Lean Into Life","Petey USA",2022-09-29,165293,50,true,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-26T19:27:02Z,"","Terrible Records",0.577,0.331,5,-14.898,1,0.0316,0.924,0.383,0.0971,0.204,150.027,4
spotify:track:1Xp2lhmD0fG78SkGclBVMq,"We Don't Need To Talk About It","Lean Into Life","Petey USA",2022-09-29,301680,32,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-26T19:27:02Z,"","Terrible Records",0.304,0.567,9,-11.753,1,0.182,0.273,0.000196,0.341,0.0892,169.833,4
spotify:track:77Iz3G99RxTcpUDpaXuAqi,"Hey Man","Lean Into Life","Petey USA",2022-09-29,158586,32,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-26T19:27:02Z,"","Terrible Records",0.419,0.409,9,-13.001,1,0.0382,0.423,0.148,0.0986,0.162,119.543,4
spotify:track:2zJEmDHpRnVPyP8Ht6bUmS,"Comfort In The Clutter","Lean Into Life","Petey USA",2022-09-29,211453,28,true,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-26T19:27:02Z,"","Terrible Records",0.58,0.128,9,-16.483,1,0.051,0.861,0.0000109,0.0852,0.242,80.018,3
spotify:track:59I8EVpxxsE50dQRPpaBms,"Lean Into Life","Lean Into Life","Petey USA",2022-09-29,327266,51,true,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-26T19:27:02Z,"","Terrible Records",0.763,0.752,2,-8.901,1,0.0328,0.333,0.124,0.079,0.873,115.014,4
spotify:track:3t69YQqHttvjDKEK6E5tiN,"Tell The Boys","Lean Into Life","Petey USA",2022-09-29,126413,28,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-26T19:27:02Z,"","Terrible Records",0.247,0.0928,6,-22.699,1,0.0488,0.952,0.903,0.1,0.106,90.018,4
spotify:track:05YhR8h6yvIL2OuqhY8T3C,"Perfect Teeth","Lean Into Life","Petey USA",2022-09-29,202840,31,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-26T19:27:02Z,"","Terrible Records",0.36,0.198,7,-15.098,1,0.0483,0.93,0.000181,0.132,0.273,86.936,4
