Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:05sCp83gcMm1iecYydKJS3,"Let's Hurt Tonight","Oh My My","OneRepublic",2016-12-02,194520,61,false,r0sb4304i3rsh8qs8rvt5fy5l,2023-07-27T22:09:34Z,"soft pop","Mosley / Interscope",0.359,0.713,5,-4.526,1,0.0366,0.33,0,0.324,0.272,61.519,4
spotify:track:0fTiDOXRNEN0lUeYGoSHml,"Somebody","Sick Boy","The Chainsmokers;Drew Love",2018-12-14,221986,60,false,r0sb4304i3rsh8qs8rvt5fy5l,2023-07-27T22:09:34Z,"","Disruptor Records/Columbia",0.32,0.63,10,-7.019,0,0.0493,0.192,0,0.102,0.323,203.443,4
spotify:track:7vGuf3Y35N4wmASOKLUVVU,"Silence","Silence","Marshmello;Khalid",2017-08-11,180822,80,false,r0sb4304i3rsh8qs8rvt5fy5l,2023-07-27T22:09:34Z,"edm","Joytime Collective/RCA Records",0.52,0.761,4,-3.093,1,0.0853,0.256,0.00000496,0.17,0.286,141.971,4
spotify:track:4RCWB3V8V0dignt99LZ8vH,"Hey There Delilah","All That We Needed","Plain White T's",2005-01-25,232533,82,false,r0sb4304i3rsh8qs8rvt5fy5l,2023-07-27T22:09:34Z,"","Fearless Records",0.658,0.291,2,-10.572,1,0.0292,0.872,0,0.114,0.295,103.962,4
spotify:track:4c1WgUnHXq2LEncGHKgj1I,"Dream Glow (BTS World Original Soundtrack) - Pt. 1","Dream Glow (BTS World Original Soundtrack) [Pt. 1]","BTS;Charli xcx",2019-06-07,187457,0,false,r0sb4304i3rsh8qs8rvt5fy5l,2023-07-27T22:09:34Z,"k-pop,hyperpop,art pop","TakeOne Company | BigHit Entertainment",0.735,0.74,0,-3.837,0,0.0519,0.0967,0,0.101,0.541,141.948,4
spotify:track:5ls62WNKHUUrdF3r1cv83T,"emotions","nothings ever good enough","iann dior",2019-05-22,131213,1,false,r0sb4304i3rsh8qs8rvt5fy5l,2023-07-27T22:09:34Z,"melodic rap","TenThousand Projects, LLC",0.63,0.63,9,-6.211,1,0.0395,0.0131,0,0.142,0.163,80.512,4
spotify:track:60vXjxt41zVWPGIM4fZRCk,"Only One","Only One","Carlie Hanson",2017-11-24,191219,44,false,r0sb4304i3rsh8qs8rvt5fy5l,2023-07-27T22:09:34Z,"","Warner Records",0.774,0.485,8,-5.887,1,0.0864,0.257,0,0.0862,0.696,123.008,4
spotify:track:1fnULsZuORnAgCFFbM8nTZ,"State of My Head","Threat to Survival","Shinedown",2015-09-18,205653,65,false,r0sb4304i3rsh8qs8rvt5fy5l,2023-07-27T22:09:34Z,"post-grunge,alternative metal,rock","Atlantic Records",0.486,0.94,7,-4.237,0,0.0605,0.00919,0,0.0777,0.42,79.727,4
spotify:track:28cnXtME493VX9NOw9cIUh,"Hurt","American IV: The Man Comes Around","Johnny Cash",2002-01-01,216533,76,false,r0sb4304i3rsh8qs8rvt5fy5l,2023-07-27T22:09:34Z,"classic country,outlaw country,country","American Recordings Catalog P&D",0.534,0.392,9,-7.636,0,0.0267,0.649,0.000227,0.0948,0.163,90.379,4
spotify:track:5KqldkCunQ2rWxruMEtGh0,"The Gambler","The Gambler","Kenny Rogers",1978-11-20,214880,79,false,r0sb4304i3rsh8qs8rvt5fy5l,2023-07-27T22:09:34Z,"country,classic country","Capitol Nashville",0.668,0.501,4,-13.119,1,0.0629,0.342,0,0.194,0.858,87.086,4
