Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6kcHg7XL6SKyPNd78daRBL,"Sweet Talk","saintmotelevision","Saint Motel",2016-10-21,192040,64,false,r0sb4304i3rsh8qs8rvt5fy5l,2023-07-27T21:41:20Z,"","Elektra (NEK)",0.67,0.843,1,-4.311,1,0.0454,0.0392,0,0.225,0.713,117.01,4
spotify:track:5LSev9AjbhsyKGUzKeJQzd,"Strawberry Sunscreen - Rework","Strawberry Sunscreen (Rework)","Lostboycrow;AVIV",2022-08-05,128274,39,false,r0sb4304i3rsh8qs8rvt5fy5l,2023-07-27T21:41:41Z,"indie pop","Nettwerk Music Group",0.699,0.728,8,-4.005,1,0.0339,0.0409,0,0.0823,0.947,120.026,4
spotify:track:1TQXIltqoZ5XXyfCbAeSQQ,"Dancing With Your Ghost","Dancing With Your Ghost","Sasha Alex Sloan",2019-06-28,197732,78,false,r0sb4304i3rsh8qs8rvt5fy5l,2023-07-27T21:42:11Z,"","RCA Records Label",0.629,0.328,11,-8.284,1,0.029,0.768,0.000025,0.103,0.389,74.953,4
spotify:track:4wOXx92SlZWxNtuBytlMsK,"Bitter Love","Bitter Love","Pia Mia",2019-03-22,217809,46,false,r0sb4304i3rsh8qs8rvt5fy5l,2023-07-27T21:42:44Z,"","Cherry Pie Records",0.365,0.652,7,-2.666,1,0.0356,0.146,0,0.114,0.143,101.65,3
spotify:track:7m9fA6bABZiwXbpp46HDie,"Don't Wanna Be Your Friend (feat. Katie Pearlman)","In the Shape of a Dream","ayokay;Katie Pearlman",2018-08-31,153720,37,false,r0sb4304i3rsh8qs8rvt5fy5l,2023-07-27T21:43:04Z,"singer-songwriter","Columbia",0.659,0.542,1,-5.459,0,0.0646,0.247,0.00000206,0.073,0.236,170.034,4
spotify:track:0HuxhPJdOphCoIk2nK5Ozd,"dad?","dad?","Tyzo Bloom;girlhouse",2023-01-20,195092,32,false,r0sb4304i3rsh8qs8rvt5fy5l,2023-07-27T21:43:14Z,"lo-fi indie,indie pop","UnderCurrent",0.529,0.612,7,-8.629,1,0.0329,0.0196,0.886,0.131,0.549,162.998,4
spotify:track:2syYsjgVhW2k6IzP2cFgd0,"Vertigo","Vertigo","Time For Three",2020-07-31,259413,0,false,r0sb4304i3rsh8qs8rvt5fy5l,2023-07-27T21:43:59Z,"contemporary classical","Time for Three",0.721,0.4,11,-8.595,0,0.0355,0.0394,0.0000398,0.0736,0.2,109.991,4
spotify:track:1Q3t9fWvHUXKsMmpD2XpUu,"Cold Cold Cold","Tell Me I'm Pretty","Cage The Elephant",2015-12-18,214383,70,false,r0sb4304i3rsh8qs8rvt5fy5l,2023-07-27T21:45:08Z,"","RCA Records Label",0.549,0.789,5,-6.071,1,0.0313,0.0178,0.000067,0.059,0.715,136.125,4
spotify:track:0KSGdHcZJU8nINet2H8bEn,"The Way You Break My Heart","The Way You Break My Heart","Sadie Hawkins",2019-06-14,251557,0,false,r0sb4304i3rsh8qs8rvt5fy5l,2023-07-27T21:46:11Z,"","Sadie Hawkins Music",0.6,0.651,9,-10.487,1,0.0349,0.0623,0.0000402,0.229,0.525,121.951,4
spotify:track:3Pzh926pXggbMe2ZpXyMV7,"Ain't No Rest for the Wicked","Cage The Elephant (Expanded Edition)","Cage The Elephant",2009-03-24,175493,78,false,r0sb4304i3rsh8qs8rvt5fy5l,2023-07-27T21:47:41Z,"","Jive/Legacy",0.636,0.849,0,-7.075,1,0.106,0.0438,0,0.372,0.917,156.036,4
