Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5lG8NKD7FnVTJZAhcL5JSS,"Past Fifty","From Coffee House To Concert Hall","Stan Rogers",1999,236546,13,false,,2026-04-26T18:49:47Z,"sea shanties,folk,traditional folk,celtic","Borealis Records",0.723,0.666,0,-10.139,1,0.0288,0.812,0.019,0.769,0.912,125.244,4
spotify:track:6HYnZbRKXyx2R7VUgoknav,"Oh No, Not I","Turnaround","Stan Rogers",1978,221400,0,false,,2026-04-26T18:29:25Z,"sea shanties,folk,traditional folk,celtic","Borealis Records",0.508,0.414,2,-13.051,1,0.0537,0.564,0.0000123,0.279,0.592,75.499,4
spotify:track:34Lik626L8840lLWCd8pgu,"The Puddler's Tale","From Coffee House To Concert Hall","Stan Rogers",1999,159880,0,false,,2026-04-26T00:48:12Z,"sea shanties,folk,traditional folk,celtic","Borealis Records",0.594,0.328,0,-11.606,1,0.0397,0.548,0,0.12,0.431,101.409,3
spotify:track:3te9LnEKicmjVZ5w5uURNy,"Kids","Me Again","Sasha Alex Sloan",2024-05-17,178413,50,false,,2026-04-23T14:14:46Z,"","Sue Perb Records/Hills Artists",0.708,0.356,8,-9.656,1,0.0294,0.57,0.00000628,0.103,0.445,84.017,4
spotify:track:6Yxy8oPfYozsNdvF6vBqGA,"Take it from Day to Day","From Coffee House To Concert Hall","Stan Rogers",1999,206640,0,false,,2026-04-13T20:11:03Z,"sea shanties,folk,traditional folk,celtic","Borealis Records",0.577,0.305,7,-11.958,1,0.0853,0.777,0.00188,0.706,0.608,139.463,4
spotify:track:7hltRSTGF0rMUqxReGZEcU,"Please Stop Laughing","Please Stop Laughing","Ray Bull",2026-04-02,166997,48,false,,2026-04-02T17:36:17Z,"","Ray Bull",0.582,0.423,1,-5.925,0,0.0311,0.0392,0,0.172,0.444,105.994,4
spotify:track:0rzjZgdcj0F18uusGIekCa,"Crash into Me","Other Stuff","Petey USA",2021-06-16,172302,38,false,,2026-03-27T20:54:33Z,"","Terrible Records",0.503,0.339,9,-12.649,1,0.0489,0.524,0.452,0.0908,0.0647,170.034,4
spotify:track:5vGLYr73KR5WRO6iymzqLZ,"Breathing the Same Air","The Yips","Petey USA",2025-07-11,331280,43,true,,2026-03-27T20:54:07Z,"","Capitol Records",0.633,0.566,7,-9.676,1,0.052,0.699,0.015,0.102,0.253,174.918,4
spotify:track:4tqLytSFOltkhsCdja4C1H,"Haircut","Other Stuff","Miya Folick;Petey USA",2021-06-16,152692,48,true,,2026-03-27T20:53:57Z,"","Terrible Records",0.651,0.751,9,-7.22,1,0.0346,0.507,0.0000322,0.104,0.313,140.004,4
spotify:track:3xfQOWnAeY3rQTiRfDspXu,"Escudilla","Heat of July","Briscoe",2025-09-19,217072,33,false,,2026-03-27T01:40:24Z,"","ATO",0.585,0.605,6,-7.611,1,0.0539,0.429,0,0.105,0.615,152.149,4
