Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1l4zCrNhnZfPz5Rw412n1a,"Prairie Evening/Sagebrush Waltz","Little Songs","Colter Wall",2023-07-14,215533,44,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-06-16T12:57:16Z,"outlaw country,southern gothic,country,red dirt,bluegrass,alt country,americana","La Honda Records/RCA Records",0.499,0.426,4,-11.155,1,0.0279,0.657,0.0187,0.0777,0.574,136.952,3
spotify:track:6iVeuRxhoCrgSdnhkpM0tN,"Standing Here","Little Songs","Colter Wall",2023-07-14,162106,50,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-06-16T12:57:16Z,"outlaw country,southern gothic,country,red dirt,bluegrass,alt country,americana","La Honda Records/RCA Records",0.663,0.562,7,-9.175,1,0.0368,0.441,0.114,0.335,0.761,135.159,4
spotify:track:1kloBNF9c8Jwc7AIC1snAa,"Corralling the Blues","Little Songs","Colter Wall",2023-07-14,147666,56,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-06-16T12:57:16Z,"outlaw country,southern gothic,country,red dirt,bluegrass,alt country,americana","La Honda Records/RCA Records",0.52,0.384,1,-12.798,1,0.0353,0.777,0.466,0.104,0.343,115.12,3
spotify:track:2l0VAMc78JKvxssvAZ3nDj,"The Coyote & The Cowboy","Little Songs","Colter Wall",2023-07-14,200960,55,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-06-16T12:57:16Z,"outlaw country,southern gothic,country,red dirt,bluegrass,alt country,americana","La Honda Records/RCA Records",0.688,0.505,7,-8.719,1,0.0492,0.71,0.00578,0.108,0.715,144.17,4
spotify:track:0CM380o8HNkyFfF13OKU9u,"Honky Tonk Nighthawk","Little Songs","Colter Wall",2023-07-14,272680,44,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-06-16T12:57:16Z,"outlaw country,southern gothic,country,red dirt,bluegrass,alt country,americana","La Honda Records/RCA Records",0.652,0.603,4,-8.305,1,0.0381,0.581,0.146,0.0729,0.575,107.74,4
spotify:track:1dfYs3gkkNESpRSCQY9Rz6,"For a Long While","Little Songs","Colter Wall",2023-07-14,199440,52,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-06-16T12:57:16Z,"outlaw country,southern gothic,country,red dirt,bluegrass,alt country,americana","La Honda Records/RCA Records",0.727,0.328,2,-12.527,1,0.0286,0.814,0.00144,0.303,0.557,113.044,4
spotify:track:1Yn4BFJDCKeidAPOgDkrEb,"Cow/Calf Blue Yodel","Little Songs","Colter Wall",2023-07-14,173320,40,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-06-16T12:57:16Z,"outlaw country,southern gothic,country,red dirt,bluegrass,alt country,americana","La Honda Records/RCA Records",0.731,0.475,0,-10,1,0.0377,0.804,0.0217,0.161,0.722,117.096,4
spotify:track:6C6MuaafmC8YwS6rjYdz6u,"Little Songs","Little Songs","Colter Wall",2023-07-14,145106,46,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-06-16T12:57:16Z,"outlaw country,southern gothic,country,red dirt,bluegrass,alt country,americana","La Honda Records/RCA Records",0.717,0.679,2,-8.816,1,0.053,0.498,0.0176,0.0649,0.909,138.252,4
spotify:track:6RxtsOjMkQI3AVqgJDs3It,"Evangelina","Little Songs","Colter Wall",2023-07-14,227240,56,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-06-16T12:57:16Z,"outlaw country,southern gothic,country,red dirt,bluegrass,alt country,americana","La Honda Records/RCA Records",0.714,0.53,7,-9.69,1,0.0425,0.627,0.00625,0.106,0.778,122.916,4
spotify:track:1RAl6MUN4RbsQwK077Fb1K,"The Last Loving Words","Little Songs","Colter Wall",2023-07-14,213653,46,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-06-16T12:57:16Z,"outlaw country,southern gothic,country,red dirt,bluegrass,alt country,americana","La Honda Records/RCA Records",0.428,0.383,7,-12.456,1,0.0489,0.741,0.000195,0.138,0.0613,134.995,3
