Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4ZTUM4tL7RrD5QHHxWb1fJ,"The Sea","Long Time Coming","Sierra Ferrell",2021-08-20,213000,46,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-08T19:31:11Z,"americana,bluegrass,alt country","Rounder",0.693,0.377,9,-10.468,0,0.0805,0.513,0.000388,0.0902,0.503,139.91,4
spotify:track:23ZnVd3Qa0kwsTJcfHVjJ0,"Jeremiah","Long Time Coming","Sierra Ferrell",2021-08-20,183520,59,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-08T19:31:11Z,"americana,bluegrass,alt country","Rounder",0.665,0.376,0,-9.227,1,0.0288,0.729,0.00000467,0.188,0.713,117.784,4
spotify:track:2ckXdMhlCVl2bzWjAD0BqX,"Bells Of Every Chapel [Feat. Billy Strings]","Long Time Coming","Sierra Ferrell;Billy Strings",2021-08-20,255440,45,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-08T19:31:11Z,"americana,bluegrass,alt country,newgrass,jam band","Rounder",0.395,0.477,0,-8.446,1,0.0323,0.559,0.000144,0.215,0.541,173.761,3
spotify:track:2WqQvKxG9MuPaZ5NCA6WdR,"At The End Of The Rainbow","Long Time Coming","Sierra Ferrell",2021-08-20,220213,50,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-08T19:31:11Z,"americana,bluegrass,alt country","Rounder",0.628,0.358,9,-9.075,1,0.0347,0.644,0.000113,0.0706,0.7,115.982,4
spotify:track:1mbLDKRS62krhVZ6SCh2KK,"West Virginia Waltz","Long Time Coming","Sierra Ferrell",2021-08-20,213733,55,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-08T19:31:11Z,"americana,bluegrass,alt country","Rounder",0.456,0.317,11,-10.038,1,0.0284,0.739,0.0000438,0.1,0.404,136.965,3
spotify:track:4aGoA9AWuaRKZZIbRerC6J,"Silver Dollar","Long Time Coming","Sierra Ferrell",2021-08-20,125506,51,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-08T19:31:11Z,"americana,bluegrass,alt country","Rounder",0.677,0.559,0,-8.956,1,0.0337,0.561,0.000056,0.107,0.838,123.953,4
spotify:track:0YM0JsCIYE2vg4CKhrCFYN,"Far Away Across The Sea","Long Time Coming","Sierra Ferrell",2021-08-20,197853,46,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-08T19:31:11Z,"americana,bluegrass,alt country","Rounder",0.619,0.699,9,-10.365,0,0.0739,0.19,0.0631,0.272,0.565,103.189,4
spotify:track:1ICWvOqM1GND92d3XWiNo5,"Why’d Ya Do It","Long Time Coming","Sierra Ferrell",2021-08-20,217586,43,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-08T19:31:11Z,"americana,bluegrass,alt country","Rounder",0.697,0.552,0,-8.836,1,0.0394,0.525,0.0000662,0.133,0.829,139.937,4
spotify:track:4Tg7tqLcKPZvgfdwO1aXF5,"Give It Time","Long Time Coming","Sierra Ferrell",2021-08-20,217626,45,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-08T19:31:11Z,"americana,bluegrass,alt country","Rounder",0.663,0.392,2,-10.775,1,0.0279,0.0746,0.00334,0.0944,0.498,112.128,4
spotify:track:0ewKJ6eM0Z761OissISTW7,"In Dreams","Long Time Coming","Sierra Ferrell",2021-08-20,161733,66,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-08T19:31:11Z,"americana,bluegrass,alt country","Rounder",0.602,0.475,2,-10.29,1,0.0279,0.0635,0.00184,0.0918,0.595,119.991,4
spotify:track:3F7GHXex7H9b8zJWsfyqGW,"Made Like That","Long Time Coming","Sierra Ferrell",2021-08-20,221013,45,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-08T19:31:11Z,"americana,bluegrass,alt country","Rounder",0.725,0.306,2,-12.257,1,0.0286,0.833,0.0000323,0.0936,0.394,110.987,4
spotify:track:5qVjXhHDBf8hmYRmxb5iJN,"Whispering Waltz","Long Time Coming","Sierra Ferrell",2021-08-20,201653,54,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-08T19:31:11Z,"americana,bluegrass,alt country","Rounder",0.5,0.251,0,-11.588,1,0.029,0.764,0.000719,0.0788,0.247,89.189,3
