Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:07PKvNFfqWrhTHBIX2Z2so,"Every Little Thing","Magpie","Peach Pit",2024-10-25,229566,45,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-09T14:43:06Z,"","Columbia",0.63,0.702,6,-5.022,1,0.0288,0.00235,0.00325,0.068,0.699,130.125,4
spotify:track:6tb3A0m5gtwNAeTkOMtmeR,"Yasmina","Magpie","Peach Pit",2024-10-25,225102,41,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-09T14:43:06Z,"","Columbia",0.286,0.663,3,-5.343,1,0.0293,0.00353,0.0358,0.251,0.446,143.96,3
spotify:track:6P3BLSxIWbcWF8cNkimmLy,"Am I Your Girl","Magpie","Peach Pit",2024-10-25,254375,42,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-09T14:43:06Z,"","Columbia",0.688,0.323,4,-11.787,1,0.032,0.539,0.679,0.0815,0.528,104,4
spotify:track:4Aqcd46pV5plZucFZUHbCH,"Little Dive","Magpie","Peach Pit",2024-10-25,244736,36,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-09T14:43:06Z,"","Columbia",0.236,0.87,9,-4.026,1,0.0435,0.0224,0.00283,0.0446,0.616,171.652,4
spotify:track:5uCBM7JENsMZHVKod1F63L,"Outta Here","Magpie","Peach Pit",2024-10-25,321988,44,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-09T14:43:06Z,"","Columbia",0.613,0.448,2,-8.804,1,0.0251,0.281,0.0036,0.105,0.12,104.485,4
spotify:track:3lZhH5QiBpcPUrvSy5VfZz,"Did You Love Somebody (feat. Sir Chloe)","Did You Love Somebody (feat. Sir Chloe)","Peach Pit;Sir Chloe",2025-02-07,248730,37,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-26T14:45:08Z,"","Columbia",0.639,0.465,0,-10.404,1,0.03,0.72,0.00209,0.123,0.186,96.038,4
spotify:track:1AD9QOs15iecgVRuzo2llQ,"St. Mark's Funny Feeling","Magpie","Peach Pit",2024-10-25,260229,37,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-09T14:43:06Z,"","Columbia",0.487,0.627,9,-7.028,0,0.0293,0.0282,0.0745,0.0526,0.522,78.607,4
spotify:track:0svqVl7FSyjewup47iNOGz,"Magpie","Magpie","Peach Pit",2024-10-25,241290,44,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-09T14:43:06Z,"","Columbia",0.148,0.887,0,-3.906,1,0.039,0.000361,0.29,0.167,0.364,184.552,4
spotify:track:7uslJ2QBxMKNrilVuUctZ6,"Nowhere Next To Me","Magpie","Peach Pit",2024-10-25,252369,42,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-09T14:43:06Z,"","Columbia",0.677,0.67,10,-6.143,1,0.0244,0.153,0.0029,0.118,0.434,111.371,4
spotify:track:3paWY4PLah4b0LBF3hcJKE,"Wax & Wane","Magpie","Peach Pit",2024-10-25,252305,36,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-09T14:43:06Z,"","Columbia",0.259,0.607,9,-7.441,1,0.0303,0.101,0.000896,0.318,0.229,64.468,4
spotify:track:5fJ8CKkoUVgkB3D2Z04G6f,"Your Long Black Hair - Full Band","Magpie (Expansion Pack)","Peach Pit",2025-05-09,214125,33,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-06-13T11:25:28Z,"","Columbia",0.495,0.692,0,-6.985,1,0.0307,0.0434,0.00000723,0.186,0.407,153.866,4
spotify:track:12TuGHYMlodnW9X2NaL37v,"Tell Me You Love Me","Magpie (Expansion Pack)","Peach Pit",2025-05-09,214958,51,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-06-13T11:25:22Z,"","Columbia",0.647,0.657,0,-7.041,1,0.0298,0.317,0.00811,0.0817,0.48,124.072,4
spotify:track:6P3vusStV43K0SOHyLeYjY,"Crying, Laughing, Loving, Lying","Magpie (Expansion Pack)","Peach Pit",2025-05-09,215586,40,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-06-13T11:25:23Z,"","Columbia",0.559,0.719,4,-7.662,0,0.0292,0.287,0.0314,0.0955,0.211,100.794,4
