Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6VojZJpMyuKClbwyilWlQj,"Wouldn't It Be Nice","Greatest Hits","The Beach Boys",2012-01-01,153866,60,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-08-05T13:27:02Z,"baroque pop","Capitol Records",0.385,0.657,5,-6.975,1,0.0342,0.724,0,0.105,0.672,124.885,4
spotify:track:7s4Rozo3bHRcRZXg1Nh2d1,"Fun Trip","Dream Team","Froggy Fresh",2014-10-03,247852,22,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-08-05T13:27:23Z,"","Froggy Fresh LLC",0.707,0.686,11,-5.816,1,0.149,0.128,0,0.33,0.242,90.405,4
spotify:track:0sDyLtVG04SBxmpVoM03bP,"The Bonnie Banks of Loch Lomond","North Wind","Ella Roberts",2018-07-20,267180,49,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-08-05T13:28:49Z,"celtic,traditional folk","The SongStore",0.321,0.329,4,-10.323,1,0.0301,0.733,0,0.0789,0.359,131.137,4
spotify:track:0rmGAIH9LNJewFw7nKzZnc,"You Give Love A Bad Name","Slippery When Wet","Bon Jovi",1986-08-16,222706,78,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-08-05T13:28:57Z,"glam metal","Island Records",0.541,0.959,0,-2.947,0,0.0505,0.0663,0.00000218,0.344,0.812,122.805,4
spotify:track:0v1XpBHnsbkCn7iJ9Ucr1l,"It's My Life","Crush","Bon Jovi",2000-01-01,224493,84,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-08-05T13:29:10Z,"glam metal","Island Records",0.551,0.914,0,-4.063,0,0.0465,0.0263,0.0000135,0.347,0.543,119.994,4
spotify:track:2p07VcUwRZ5sru3mJ0JogS,"Why Don't We Just Dance","Haywire","Josh Turner",2010,192800,72,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-08-05T13:30:16Z,"country,country christian","MCA Nashville",0.677,0.776,5,-5.933,1,0.0386,0.42,0.000689,0.0954,0.642,121.832,4
spotify:track:0qBug5X3DaJv2zgXtp55wn,"Home To You","Home To You","Sigrid",2019-11-01,221586,45,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-08-05T13:31:29Z,"norwegian pop","Universal-Island Records Ltd.",0.619,0.146,8,-14.439,1,0.0382,0.808,0,0.0971,0.288,139.533,4
spotify:track:4ZC8hXXqu2hPcDLw9QTdtQ,"Smile","Happy Hour","Uncle Kracker",2009-09-11,201626,67,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-08-05T13:31:49Z,"","Top Dog/Atlantic",0.541,0.812,4,-3.764,1,0.0336,0.203,0,0.42,0.607,141.056,4
spotify:track:1daDRI9ahBonbWD8YcxOIB,"Angels Like You","Plastic Hearts","Miley Cyrus",2020-11-27,196454,83,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-08-05T13:38:03Z,"","RCA Records Label",0.672,0.642,5,-4.035,1,0.0313,0.0981,0,0.1,0.494,121.981,4
spotify:track:4dnmtQPnXU993aEUGp0bY8,"drivers license","drivers license","Olivia Rodrigo",2021-01-08,242013,21,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-08-05T13:38:09Z,"","Olivia Rodrigo PS",0.575,0.425,10,-8.821,1,0.055,0.739,0.0000148,0.112,0.15,144.004,4
spotify:track:1vNoA9F5ASnlBISFekDmg3,"Zombie","Zombie","Bad Wolves",2018-01-19,254805,3,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-08-05T13:38:17Z,"metal","Eleven Seven Music",0.448,0.826,2,-3.244,0,0.0319,0.00756,0,0.117,0.19,77.093,4
spotify:track:1MYfXSTLkPmydULU0Qs0Ei,"Your Name","First & Foremost","Plested",2018-12-06,197210,35,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-08-05T13:38:47Z,"pop singer-songwriter","NOWHERENEAR Records",0.52,0.617,11,-7.73,0,0.0595,0.00624,0,0.1,0.444,94.772,4
spotify:track:2OsEJFTfzfjG4oC92cuP2c,"Slow Down","Stars Dance (Bonus Track Version)","Selena Gomez",2013-01-01,210293,69,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-08-05T13:40:19Z,"","Hollywood Records",0.721,0.821,1,-3.856,0,0.165,0.073,0,0.631,0.721,127.944,4
spotify:track:4wOXx92SlZWxNtuBytlMsK,"Bitter Love","Bitter Love","Pia Mia",2019-03-22,217809,46,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-08-05T13:41:05Z,"","Cherry Pie Records",0.365,0.652,7,-2.666,1,0.0356,0.146,0,0.114,0.143,101.65,3
spotify:track:1TQXIltqoZ5XXyfCbAeSQQ,"Dancing With Your Ghost","Dancing With Your Ghost","Sasha Alex Sloan",2019-06-28,197732,78,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-08-05T13:41:25Z,"","RCA Records Label",0.629,0.328,11,-8.284,1,0.029,0.768,0.000025,0.103,0.389,74.953,4
spotify:track:2Yer0p7uB2lVBUAtANuuQp,"Magic In The Hamptons (feat. Lil Yachty)","Magic In The Hamptons (feat. Lil Yachty)","Social House;Lil Yachty",2018-06-08,164640,70,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-08-05T13:44:53Z,"","Silent Records / Social House",0.769,0.479,1,-5.339,1,0.0385,0.66,0,0.0914,0.803,96.051,4
spotify:track:1Fo4OvzP9PThFKMeMIAEYu,"Superhero","Superhero","Lauv",2018-08-30,179997,0,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-08-05T13:46:09Z,"","Lauv",0.681,0.34,7,-8.617,1,0.0339,0.82,0,0.285,0.417,129.98,4
spotify:track:3Pzh926pXggbMe2ZpXyMV7,"Ain't No Rest for the Wicked","Cage The Elephant (Expanded Edition)","Cage The Elephant",2009-03-24,175493,78,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-08-05T13:47:14Z,"","Jive/Legacy",0.636,0.849,0,-7.075,1,0.106,0.0438,0,0.372,0.917,156.036,4
spotify:track:4wCmqSrbyCgxEXROQE6vtV,"Somebody That I Used To Know","Making Mirrors","Gotye;Kimbra",2011-01-01,244973,79,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-08-05T13:47:47Z,"","Samples & Seconds / Republic",0.864,0.495,0,-7.036,1,0.037,0.591,0.000133,0.0992,0.72,129.062,4
spotify:track:5h68UTytwmTJDwoGbqLwzV,"Never Had The Balls","Pony","Rex Orange County",2019-10-25,236894,49,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-08-05T13:50:52Z,"bedroom pop","Rex Orange County",0.696,0.677,5,-7.812,1,0.0369,0.383,0.000273,0.0508,0.351,150.034,4
spotify:track:4tVphly4D1PB8tJC9gHMcJ,"10/10","Pony","Rex Orange County",2019-10-25,146102,54,true,r0sb4304i3rsh8qs8rvt5fy5l,2022-08-05T13:51:09Z,"bedroom pop","Rex Orange County",0.487,0.909,10,-4.092,1,0.0993,0.302,0.0000301,0.0781,0.293,187.826,4
spotify:track:7l94dyN2hX9c6wWcZQuOGJ,"Dangerous Woman","Dangerous Woman","Ariana Grande",2016-05-20,235946,3,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-08-05T13:51:29Z,"pop","Universal Records",0.664,0.602,4,-5.369,0,0.0412,0.0529,0,0.356,0.289,134.049,3
spotify:track:12rhvKDK2FfHTZZ1sSAHDG,"Cringe","Bank On The Funeral","Matt Maeson",2019-04-05,216213,70,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-08-05T13:51:44Z,"","Neon Gold/Atlantic",0.729,0.474,5,-7.724,1,0.0553,0.0652,0,0.0758,0.443,126.047,4
spotify:track:3Yvk0ZLxMlt6ioasvdN6vB,"Lemon Boy","Lemon Boy","Cavetown",2018-01-01,272902,63,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-08-05T13:52:22Z,"bedroom pop","Oat Milk Industries and Many Hats Endeavors",0.509,0.478,4,-10.051,1,0.0392,0.185,0.0000014,0.0891,0.323,139.926,4
spotify:track:03Da4hRF0Oup38IE2m2PgT,"Sunday Call","Sunday Call","Willie Shaw",2020-02-09,266467,31,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-08-05T13:54:05Z,"","Warehouse West Entertainment Records",0.613,0.388,7,-8.457,1,0.0521,0.878,0,0.131,0.172,83.002,4
spotify:track:2zhk0kypGeOPsaaZcjyc14,"Burning House","Untamed","Cam",2015-12-11,231333,65,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-08-05T13:54:29Z,"country","Arista Nashville",0.728,0.253,0,-8.427,1,0.0304,0.887,0.0000111,0.133,0.457,140.923,4
spotify:track:1zwMYTA5nlNjZxYrvBB2pV,"Someone Like You","21","Adele",2011-01-24,285240,80,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-08-05T13:54:41Z,"soft pop","XL Recordings",0.556,0.319,9,-8.251,1,0.0281,0.893,0,0.0996,0.294,135.187,4
spotify:track:5oxefjY11DCyrPo6nSZPfM,"Train Station","Where Eyes Don't Go","The Gray Havens",2013-01-25,286213,0,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-08-05T14:13:06Z,"christian folk,christian alternative rock,christian","Zodlounge",0.346,0.61,10,-7.554,1,0.0498,0.21,0,0.0947,0.391,90.008,4
spotify:track:4wcBRRpIfesgcyUtis7PEg,"1 step forward, 3 steps back","SOUR","Olivia Rodrigo",2021-05-21,163586,79,true,r0sb4304i3rsh8qs8rvt5fy5l,2022-08-05T14:17:30Z,"","Olivia Rodrigo PS",0.473,0.203,2,-12.627,1,0.102,0.941,0,0.126,0.419,168.884,4
