Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4vHUAMdQR8ZXa1AjtjNtu2,"1800 Miles","Memories and Empties","Colter Wall",2025-11-14,207160,55,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-26T19:27:00Z,"outlaw country,southern gothic,country,red dirt,bluegrass,alt country,americana","La Honda Records/RCA Records",0.61,0.638,2,-8.053,1,0.0351,0.474,0.48,0.16,0.5,88.234,4
spotify:track:2GzeyUwdm7uSFO0j06eqbA,"My Present Just Gets Past Me","Memories and Empties","Colter Wall",2025-11-14,186693,48,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-26T19:27:00Z,"outlaw country,southern gothic,country,red dirt,bluegrass,alt country,americana","La Honda Records/RCA Records",0.602,0.288,2,-12.149,1,0.046,0.744,0.11,0.117,0.31,99.614,4
spotify:track:5QKFLbbeZQFwFqMD9VB1Dy,"Like the Hills","Memories and Empties","Colter Wall",2025-11-14,144013,47,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-26T19:27:00Z,"outlaw country,southern gothic,country,red dirt,bluegrass,alt country,americana","La Honda Records/RCA Records",0.666,0.644,4,-7,0,0.0618,0.473,0.0116,0.187,0.375,101.748,4
spotify:track:2dlgdp1u8EgOWOy2ABLpg7,"Memories and Empties","Memories and Empties","Colter Wall",2025-11-14,202506,48,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-26T19:27:00Z,"outlaw country,southern gothic,country,red dirt,bluegrass,alt country,americana","La Honda Records/RCA Records",0.524,0.205,7,-13.532,1,0.0306,0.493,0.134,0.11,0.219,78.561,3
spotify:track:0GaQTXDZrcWnV7v1l0L1M1,"It's Getting So (That a Man Can't Go into Town Just to Have Him a Drink)","Memories and Empties","Colter Wall",2025-11-14,167413,49,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-26T19:27:00Z,"outlaw country,southern gothic,country,red dirt,bluegrass,alt country,americana","La Honda Records/RCA Records",0.725,0.573,11,-8.351,0,0.155,0.53,0.665,0.0709,0.598,121.503,4
spotify:track:52x5TMJGaEo08AXjygrMKb,"Living by the Hour","Memories and Empties","Colter Wall",2025-11-14,151826,47,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-26T19:27:00Z,"outlaw country,southern gothic,country,red dirt,bluegrass,alt country,americana","La Honda Records/RCA Records",0.665,0.457,0,-8.163,1,0.0295,0.498,0.762,0.114,0.573,117.754,4
spotify:track:4AaGKoqewNloWWfY0f32Ka,"4/4 Time","Memories and Empties","Colter Wall",2025-11-14,297373,44,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-26T19:27:00Z,"outlaw country,southern gothic,country,red dirt,bluegrass,alt country,americana","La Honda Records/RCA Records",0.651,0.322,7,-11.25,1,0.0362,0.509,0.177,0.0997,0.239,91.776,4
spotify:track:36lC1tKPsc3hJ7V5nkKmMH,"The Longer You Hold On","Memories and Empties","Colter Wall",2025-11-14,172066,45,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-26T19:27:00Z,"outlaw country,southern gothic,country,red dirt,bluegrass,alt country,americana","La Honda Records/RCA Records",0.728,0.682,4,-7.769,0,0.0368,0.621,0.726,0.1,0.659,120.323,4
spotify:track:1qERZBPcGFDBFzBXp2Un7W,"Back to Me","Memories and Empties","Colter Wall",2025-11-14,181773,45,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-26T19:27:00Z,"outlaw country,southern gothic,country,red dirt,bluegrass,alt country,americana","La Honda Records/RCA Records",0.642,0.45,4,-9.274,1,0.0361,0.383,0.192,0.108,0.528,137.174,4
spotify:track:43Mf2OrMNJog37bClbhd6D,"Summer Wages","Memories and Empties","Colter Wall",2025-11-14,273271,46,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-02-26T19:27:00Z,"outlaw country,southern gothic,country,red dirt,bluegrass,alt country,americana","La Honda Records/RCA Records",0.708,0.372,7,-9.385,1,0.034,0.467,0.561,0.129,0.534,122.265,4
