Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1n8NKQRg8LVHy7oUhUgbFF,"Hedwig's Theme","Harry Potter and The Sorcerer's Stone Original Motion Picture Soundtrack","John Williams",2001-10-30,309093,64,false,r0sb4304i3rsh8qs8rvt5fy5l,2024-08-09T21:52:23Z,"soundtrack,score","Atlantic Records",0.156,0.162,2,-17.101,0,0.036,0.897,0.691,0.111,0.077,73.407,4
spotify:track:644es5aYPJghtZLjM1rmSP,"Concerning Hobbits","The Lord of the Rings: The Fellowship of the Ring (Original Motion Picture Soundtrack)","Howard Shore",2001-11-19,175040,68,false,r0sb4304i3rsh8qs8rvt5fy5l,2024-08-09T21:52:23Z,"soundtrack,score","Reprise",0.488,0.0629,2,-21.524,1,0.0342,0.843,0.406,0.133,0.175,104.311,4
spotify:track:2TZbQZXOuR8osP2AK8yYMN,"Theme From Jurassic Park","Jurassic Park","John Williams",1993-05-25,207426,64,false,r0sb4304i3rsh8qs8rvt5fy5l,2024-08-09T21:52:23Z,"soundtrack,score","Geffen*",0.144,0.132,10,-19.115,1,0.0333,0.946,0.779,0.115,0.0627,102.283,3
spotify:track:5SXsXjVJCWeJuf7FHvgBYR,"The Avengers","The Avengers (Original Motion Picture Soundtrack)","Alan Silvestri",2012-01-01,123360,63,false,r0sb4304i3rsh8qs8rvt5fy5l,2024-08-09T21:52:23Z,"soundtrack,score","Hollywood Records",0.25,0.553,7,-8.188,1,0.0429,0.606,0.673,0.145,0.226,118.985,4
spotify:track:60ZYLVPmSNY9r0Uquaivvs,"Indiana Jones Theme","Classics at the Movies: Adventure","John Williams;Philharmonic Symphony Orchestra;Richard Hayman",2000-03-13,335506,43,false,r0sb4304i3rsh8qs8rvt5fy5l,2024-08-09T21:52:23Z,"soundtrack,score,exotica","Naxos",0.287,0.264,5,-17.012,1,0.0404,0.897,0.871,0.077,0.186,116.555,4
spotify:track:7FCdQ7d58Hal33Ce4t5RYd,"Pirates Of The Caribbean (Main Theme)","The Movie Night Album","The Intermezzo Orchestra",2015-05-13,191425,47,false,r0sb4304i3rsh8qs8rvt5fy5l,2024-08-09T21:52:23Z,"","Horus Music Distribution",0.581,0.437,7,-15.639,0,0.0324,0.00848,0.919,0.0899,0.26,105.608,3
spotify:track:59Djq0zGIu8HDZ8QXs2oiz,"The Glory Days","The Incredibles (Original Motion Picture Soundtrack)","Michael Giacchino",2004-11-02,212133,51,false,r0sb4304i3rsh8qs8rvt5fy5l,2024-08-09T21:52:23Z,"soundtrack,score","Walt Disney Records",0.334,0.262,5,-14.193,0,0.0391,0.732,0.388,0.235,0.145,80.446,4
spotify:track:5ZSAdkQb23NPIcUGt6exdm,"Cantina Band","Star Wars: A New Hope (Original Motion Picture Soundtrack)","John Williams;London Symphony Orchestra",1977-01-01,164306,57,false,r0sb4304i3rsh8qs8rvt5fy5l,2024-08-09T21:52:23Z,"soundtrack,score,classical,orchestral,ballet,opera","Walt Disney Records",0.699,0.419,0,-15.133,1,0.134,0.255,0.0239,0.0471,0.822,131.629,4
spotify:track:6tJFtthY0rI1x06qb8NjK0,"The Mandalorian","The Mandalorian: Chapter 1 (Original Score)","Ludwig Göransson",2019-11-11,198861,61,false,r0sb4304i3rsh8qs8rvt5fy5l,2024-08-09T21:52:23Z,"score,soundtrack","Walt Disney Records",0.417,0.408,5,-13.343,0,0.0761,0.535,0.655,0.102,0.233,165.799,4
spotify:track:3GzP5kZnidYHNScG7wDGHd,"Loki","Loki","Jared Moreno Luna",2021-06-04,200614,0,false,r0sb4304i3rsh8qs8rvt5fy5l,2024-08-09T21:52:23Z,"","Jared Moreno Luna",0.564,0.362,7,-11.736,0,0.0326,0.891,0.871,0.119,0.0499,118.006,4
