Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0HjLl9IgcoCetajljz6bK7,"Zurg's Planet","Toy Story 2","Randy Newman",1999-01-01,219853,42,false,r0sb4304i3rsh8qs8rvt5fy5l,2021-08-05T17:12:22Z,"","Walt Disney Records",0.266,0.36,3,-11.271,1,0.0437,0.791,0.95,0.0683,0.0594,136.261,4
spotify:track:1n8NKQRg8LVHy7oUhUgbFF,"Hedwig's Theme","Harry Potter and The Sorcerer's Stone Original Motion Picture Soundtrack","John Williams",2001-10-30,309093,64,false,r0sb4304i3rsh8qs8rvt5fy5l,2021-08-05T17:15:12Z,"soundtrack,score","Atlantic Records",0.156,0.162,2,-17.101,0,0.036,0.897,0.691,0.111,0.077,73.407,4
spotify:track:644es5aYPJghtZLjM1rmSP,"Concerning Hobbits","The Lord of the Rings: The Fellowship of the Ring (Original Motion Picture Soundtrack)","Howard Shore",2001-11-19,175040,68,false,r0sb4304i3rsh8qs8rvt5fy5l,2021-08-05T17:15:14Z,"soundtrack,score","Reprise",0.488,0.0629,2,-21.524,1,0.0342,0.843,0.406,0.133,0.175,104.311,4
spotify:track:2TZbQZXOuR8osP2AK8yYMN,"Theme From Jurassic Park","Jurassic Park","John Williams",1993-05-25,207426,64,false,r0sb4304i3rsh8qs8rvt5fy5l,2021-08-05T17:15:19Z,"soundtrack,score","Geffen*",0.144,0.132,10,-19.115,1,0.0333,0.946,0.779,0.115,0.0627,102.283,3
spotify:track:5SXsXjVJCWeJuf7FHvgBYR,"The Avengers","The Avengers (Original Motion Picture Soundtrack)","Alan Silvestri",2012-01-01,123360,63,false,r0sb4304i3rsh8qs8rvt5fy5l,2021-08-05T17:15:23Z,"soundtrack,score","Hollywood Records",0.25,0.553,7,-8.188,1,0.0429,0.606,0.673,0.145,0.226,118.985,4
spotify:track:60ZYLVPmSNY9r0Uquaivvs,"Indiana Jones Theme","Classics at the Movies: Adventure","John Williams;Philharmonic Symphony Orchestra;Richard Hayman",2000-03-13,335506,43,false,r0sb4304i3rsh8qs8rvt5fy5l,2021-08-05T17:15:38Z,"soundtrack,score,exotica","Naxos",0.287,0.264,5,-17.012,1,0.0404,0.897,0.871,0.077,0.186,116.555,4
spotify:track:7FCdQ7d58Hal33Ce4t5RYd,"Pirates Of The Caribbean (Main Theme)","The Movie Night Album","The Intermezzo Orchestra",2015-05-13,191425,47,false,r0sb4304i3rsh8qs8rvt5fy5l,2021-08-05T17:15:51Z,"","Horus Music Distribution",0.581,0.437,7,-15.639,0,0.0324,0.00848,0.919,0.0899,0.26,105.608,3
spotify:track:59Djq0zGIu8HDZ8QXs2oiz,"The Glory Days","The Incredibles (Original Motion Picture Soundtrack)","Michael Giacchino",2004-11-02,212133,51,false,r0sb4304i3rsh8qs8rvt5fy5l,2021-08-05T17:16:06Z,"soundtrack,score","Walt Disney Records",0.334,0.262,5,-14.193,0,0.0391,0.732,0.388,0.235,0.145,80.446,4
spotify:track:1r8Qi1Q8V6l7hpZwmAJ1pL,"Night At The Museum","Night At The Museum (Original Motion Picture Soundtrack)","Alan Silvestri",2006-01-01,155826,47,false,r0sb4304i3rsh8qs8rvt5fy5l,2021-08-05T17:16:20Z,"soundtrack,score","Varese Sarabande",0.19,0.302,8,-16.835,1,0.0389,0.849,0.766,0.175,0.0564,129.196,5
spotify:track:5ZSAdkQb23NPIcUGt6exdm,"Cantina Band","Star Wars: A New Hope (Original Motion Picture Soundtrack)","John Williams;London Symphony Orchestra",1977-01-01,164306,57,false,r0sb4304i3rsh8qs8rvt5fy5l,2021-08-05T17:16:24Z,"soundtrack,score,classical,orchestral,ballet,opera","Walt Disney Records",0.699,0.419,0,-15.133,1,0.134,0.255,0.0239,0.0471,0.822,131.629,4
