Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:20aQNDzbtnkpkshyrMQk3M,"I'm Your Wreck","Mt. Joy","Mt. Joy",2018-03-02,233600,60,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-03T20:29:12Z,"","Dualtone Music Group",0.483,0.592,4,-6.962,1,0.0445,0.408,0.00000246,0.336,0.206,131.025,4
spotify:track:6bON0csSf7G4LDsUrBwQ54,"Dirty Love","Mt. Joy","Mt. Joy",2018-03-02,164626,69,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-03T20:29:12Z,"","Dualtone Music Group",0.774,0.439,5,-7.612,0,0.0364,0.595,0.00127,0.109,0.661,125.088,4
spotify:track:13xVnZKZDEGbmXkzBFpJDD,"Silver Lining","Mt. Joy","Mt. Joy",2018-03-02,199827,76,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-03T20:29:12Z,"","Dualtone Music Group",0.486,0.638,0,-6.231,1,0.0323,0.000921,0,0.078,0.178,144.458,4
spotify:track:6OlpfVgLnz0lemsZNw5u4J,"Bigfoot","Mt. Joy","Mt. Joy",2018-03-02,203386,50,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-03T20:29:12Z,"","Dualtone Music Group",0.723,0.633,9,-8.168,1,0.0292,0.174,0.00037,0.119,0.528,116.076,4
spotify:track:4c8rK4SVBtKkZC2rV6azrM,"Sheep","Mt. Joy","Mt. Joy",2018-03-02,223866,67,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-03T20:29:12Z,"","Dualtone Music Group",0.509,0.449,1,-8.403,1,0.0714,0.458,0.00000106,0.0824,0.318,158.998,4
spotify:track:1xHQRQVnfefr7sxZNYTx0k,"Julia","Mt. Joy","Mt. Joy",2018-03-02,190453,66,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-03T20:29:12Z,"","Dualtone Music Group",0.586,0.412,5,-6.994,1,0.0262,0.681,0.0173,0.0741,0.474,81.934,4
spotify:track:67gnJ163ro8aykW1ehTvky,"Mt. Joy","Mt. Joy","Mt. Joy",2018-03-02,206853,57,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-03T20:29:12Z,"","Dualtone Music Group",0.488,0.722,0,-6.883,1,0.151,0.37,0.000196,0.0743,0.168,126.312,4
spotify:track:7dgx1noElNRQygCPSU0mfb,"Astrovan","Mt. Joy","Mt. Joy",2018-03-02,186133,66,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-03T20:29:12Z,"","Dualtone Music Group",0.547,0.444,3,-9.4,1,0.0386,0.867,0,0.134,0.62,169.923,4
spotify:track:6DJjPxlUEd5subVytRflKQ,"Cardinal","Mt. Joy","Mt. Joy",2018-03-02,212786,49,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-03T20:29:12Z,"","Dualtone Music Group",0.559,0.296,10,-9.297,1,0.0389,0.629,0.0000526,0.121,0.264,158.528,4
spotify:track:3NU3GuVZPOmkbTAk006znp,"Jenny Jenkins","Mt. Joy","Mt. Joy",2018-03-02,199386,61,true,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-03T20:29:12Z,"","Dualtone Music Group",0.729,0.406,8,-9.388,1,0.0534,0.248,0,0.114,0.177,127.954,4
spotify:track:6rGLfVUZBNNmYfm0tzDTk1,"Sado","Mt. Joy","Mt. Joy",2018-03-02,134120,42,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-03T20:29:12Z,"","Dualtone Music Group",0.598,0.433,2,-8.682,1,0.0307,0.868,0.0000575,0.159,0.293,138.03,4
spotify:track:2MOFmsG9S9e4JxqkLneTtd,"St. George","Mt. Joy","Mt. Joy",2018-03-02,218720,40,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-03T20:29:12Z,"","Dualtone Music Group",0.478,0.124,11,-11.897,1,0.0454,0.762,0,0.0451,0.286,133.573,4
spotify:track:5Iech3wM1SM33UupR5IxKC,"Younger Days","Mt. Joy","Mt. Joy",2018-03-02,297240,48,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-02-03T20:29:12Z,"","Dualtone Music Group",0.541,0.327,9,-9.236,1,0.0289,0.549,0.000862,0.115,0.197,113.386,4
