Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5kRBzRZmZTXVg8okC7SJFZ,"Another Day Of Sun","La La Land (Original Motion Picture Soundtrack)","La La Land Cast",2016-12-09,228173,68,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-08T22:26:53Z,"","UMGRI Interscope",0.588,0.742,8,-6.757,1,0.0528,0.0162,0.00000398,0.653,0.824,125.819,4
spotify:track:39ncDMVidHOeQgeC5anYZM,"Someone In The Crowd","La La Land (Original Motion Picture Soundtrack)","Emma Stone;Callie Hernandez;Sonoya Mizuno;Jessica Rothe",2016-12-09,259613,63,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-08T22:26:53Z,"musicals","UMGRI Interscope",0.616,0.538,0,-9.165,0,0.17,0.0906,0.00000898,0.192,0.278,127.948,4
spotify:track:1Vk4yRsz0iBzDiZEoFMQyv,"Mia & Sebastian’s Theme","La La Land (Original Motion Picture Soundtrack)","Justin Hurwitz",2016-12-09,98040,72,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-08T22:26:53Z,"score","UMGRI Interscope",0.476,0.192,9,-15.753,1,0.064,0.976,0.928,0.119,0.114,116.542,3
spotify:track:4r9hiElqKWMPT4Z3vN2exq,"A Lovely Night","La La Land (Original Motion Picture Soundtrack)","Ryan Gosling;Emma Stone",2016-12-09,236506,66,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-08T22:26:53Z,"musicals","UMGRI Interscope",0.364,0.478,7,-8.645,1,0.0473,0.299,0.0015,0.124,0.493,134.551,4
spotify:track:4f6PUDRYJI51UrZy0jDAxD,"Herman’s Habit","La La Land (Original Motion Picture Soundtrack)","Justin Hurwitz",2016-12-09,111613,57,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-08T22:26:53Z,"score","UMGRI Interscope",0.588,0.593,8,-9.448,1,0.052,0.0634,0.889,0.214,0.668,123.678,4
spotify:track:5BMwpS4iYKR30kq9U9beaT,"City Of Stars","La La Land (Original Motion Picture Soundtrack)","Ryan Gosling",2016-12-09,111240,65,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-08T22:26:53Z,"","UMGRI Interscope",0.585,0.0809,6,-19.346,0,0.0523,0.954,0.0233,0.0935,0.204,98.379,4
spotify:track:70RecAVg5QudOXfJs64sM5,"Planetarium","La La Land (Original Motion Picture Soundtrack)","Justin Hurwitz",2016-12-09,257279,63,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-08T22:26:53Z,"score","UMGRI Interscope",0.248,0.142,7,-15.443,1,0.0379,0.92,0.733,0.548,0.0439,128.841,4
spotify:track:4S3DXtdTdgOIezKgu8DR0M,"Summer Montage / Madeline","La La Land (Original Motion Picture Soundtrack)","Justin Hurwitz",2016-12-09,124640,56,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-08T22:26:53Z,"score","UMGRI Interscope",0.596,0.502,7,-6.783,1,0.0277,0.113,0.797,0.264,0.653,107.719,4
spotify:track:6XQHlsNu6so4PdglFkJQRJ,"City Of Stars - From ""La La Land"" Soundtrack","La La Land (Original Motion Picture Soundtrack)","Ryan Gosling;Emma Stone",2016-12-09,149706,67,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-08T22:26:53Z,"musicals","UMGRI Interscope",0.492,0.116,2,-15.15,0,0.0379,0.899,0.00000193,0.0889,0.434,111.787,4
spotify:track:7cyKrN1y4q59bc1gJX3QEG,"Start A Fire","La La Land (Original Motion Picture Soundtrack)","John Legend",2016-12-09,192093,57,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-08T22:26:53Z,"soft pop,neo soul","UMGRI Interscope",0.532,0.832,10,-6.047,0,0.0535,0.0652,0,0.766,0.314,101.989,4
spotify:track:2bonbKENtFAQQh8U4UEAu5,"Engagement Party","La La Land (Original Motion Picture Soundtrack)","Justin Hurwitz",2016-12-09,87213,58,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-08T22:26:53Z,"score","UMGRI Interscope",0.398,0.0662,3,-22.609,1,0.0401,0.991,0.909,0.113,0.326,80.364,3
spotify:track:6j0wBBAP3hMe4t1Ymj7GIe,"Audition (The Fools Who Dream)","La La Land (Original Motion Picture Soundtrack)","Emma Stone",2016-12-09,228266,57,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-08T22:26:53Z,"musicals","UMGRI Interscope",0.344,0.157,5,-11.773,1,0.0457,0.756,0,0.351,0.313,57.86,4
spotify:track:762K1h8yVV5IgAVuEMpqfZ,"Epilogue","La La Land (Original Motion Picture Soundtrack)","Justin Hurwitz",2016-12-09,459466,61,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-08T22:26:53Z,"score","UMGRI Interscope",0.408,0.27,7,-11.568,1,0.0438,0.661,0.829,0.516,0.14,127.15,4
spotify:track:7gXjNlZlfP1GXRH1WvyuE2,"The End","La La Land (Original Motion Picture Soundtrack)","Justin Hurwitz",2016-12-09,46266,53,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-08T22:26:53Z,"score","UMGRI Interscope",0.176,0.0465,0,-14.545,1,0.0401,0.923,0.992,0.0493,0.216,89.818,1
spotify:track:3gbwtdRrtD05lz08DTxfFt,"City Of Stars (Humming)","La La Land (Original Motion Picture Soundtrack)","Justin Hurwitz;Emma Stone",2016-12-09,162973,57,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-08T22:26:53Z,"score,musicals","UMGRI Interscope",0.564,0.0136,4,-24.79,0,0.0349,0.975,0.0168,0.111,0.397,93.205,4
spotify:track:2eGxZNPQVTWjXSKazFQOMg,"The Prince Of Egypt (When You Believe)","The Prince Of Egypt (Music From The Original Motion Picture Soundtrack)","Mariah Carey;Whitney Houston",1998-02-11,301573,48,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-08T22:27:42Z,"christmas","DreamWorks",0.345,0.316,1,-11.425,0,0.0348,0.513,0,0.108,0.102,125.192,4
spotify:track:2q3X0uc2XpGruqitKOm3xa,"Deliver Us","The Prince Of Egypt (Music From The Original Motion Picture Soundtrack)","Ofra Haza;Eden Riegel",1998-02-11,435200,58,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-08T22:27:42Z,"mizrahi","DreamWorks",0.217,0.178,4,-16.679,0,0.0383,0.728,0.0113,0.133,0.0925,73.059,4
spotify:track:7l8tMZQfvtSQ6wcS1LdgHM,"The Reprimand","The Prince Of Egypt (Music From The Original Motion Picture Soundtrack)","Hans Zimmer",1998-02-11,245333,44,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-08T22:27:42Z,"soundtrack,score","DreamWorks",0.147,0.128,7,-22.898,1,0.0444,0.7,0.397,0.0771,0.0488,81.819,5
spotify:track:69PPaXno1AY7y245DRvkKO,"Following Tzipporah","The Prince Of Egypt (Music From The Original Motion Picture Soundtrack)","Hans Zimmer",1998-02-11,60800,41,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-08T22:27:42Z,"soundtrack,score","DreamWorks",0.401,0.055,0,-30.308,1,0.0381,0.898,0.977,0.119,0.272,115.889,4
spotify:track:5lbZL5xmyJHtrrioldEyXX,"All I Ever Wanted (With Queen's Reprise)","The Prince Of Egypt (Music From The Original Motion Picture Soundtrack)","Amick Byram;Linda Dee Shayne",1998-02-11,171600,52,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-08T22:27:42Z,"","DreamWorks",0.255,0.229,6,-16.2,1,0.0373,0.68,0.000674,0.395,0.152,77.899,5
spotify:track:2or7hLTTmkG6KH2eKokuMH,"Goodbye Brother","The Prince Of Egypt (Music From The Original Motion Picture Soundtrack)","Ofra Haza",1998-02-11,331626,43,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-08T22:27:42Z,"mizrahi","DreamWorks",0.162,0.147,7,-22.104,0,0.0412,0.605,0.891,0.158,0.0472,108.711,3
spotify:track:2HeLqRgQRttQE16abLHfR5,"Through Heaven's Eyes","The Prince Of Egypt (Music From The Original Motion Picture Soundtrack)","Brian Stokes Mitchell",1998-02-11,221933,56,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-08T22:27:42Z,"ragtime,musicals","DreamWorks",0.378,0.436,9,-15.075,1,0.0783,0.699,0.00000137,0.478,0.507,120.463,4
spotify:track:5tgyHc2LLF0BI2udBTMFJz,"The Burning Bush","The Prince Of Egypt (Music From The Original Motion Picture Soundtrack)","Hans Zimmer",1998-02-11,436666,50,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-08T22:27:42Z,"soundtrack,score","DreamWorks",0.0912,0.0583,9,-24.011,0,0.0382,0.848,0.877,0.117,0.0367,86.432,5
spotify:track:4f80LjiI9fgwCahAhEOuYk,"Playing With The Big Boys","The Prince Of Egypt (Music From The Original Motion Picture Soundtrack)","Steve Martin;Martin Short",1998-02-11,172106,49,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-08T22:27:42Z,"bluegrass,comedy,newgrass","DreamWorks",0.427,0.354,4,-16.576,1,0.117,0.578,0,0.335,0.158,122.569,4
spotify:track:4d14jEMh0IiO9JkKp38DTX,"Cry","The Prince Of Egypt (Music From The Original Motion Picture Soundtrack)","Ofra Haza",1998-02-11,230266,41,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-08T22:27:42Z,"mizrahi","DreamWorks",0.174,0.0194,3,-30.724,0,0.0476,0.844,0.956,0.132,0.0361,119.616,4
spotify:track:0PjILYy3LqD8GTVY2eKKUe,"Rally","The Prince Of Egypt (Music From The Original Motion Picture Soundtrack)","Hans Zimmer",1998-02-11,42826,38,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-08T22:27:42Z,"soundtrack,score","DreamWorks",0.0787,0.0361,4,-33.631,1,0.0439,0.908,0.975,0.352,0.0387,174.484,4
spotify:track:3buDoGEwFbwS8ozgA5o3lA,"The Plagues","The Prince Of Egypt (Music From The Original Motion Picture Soundtrack)","Ralph Fiennes;Amick Byram",1998-02-11,160440,59,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-08T22:27:42Z,"","DreamWorks",0.459,0.415,0,-14.067,0,0.0436,0.731,0,0.0939,0.233,113.876,4
spotify:track:6mbbWBNf4GmJAp0OElsShF,"Death Of The First Born","The Prince Of Egypt (Music From The Original Motion Picture Soundtrack)","Hans Zimmer",1998-02-11,67693,41,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-08T22:27:42Z,"soundtrack,score","DreamWorks",0.0873,0.0339,10,-33.196,0,0.0412,0.762,0.93,0.111,0.0553,166.481,3
spotify:track:26LMlybHegFJie3Gj2a7eD,"When You Believe","The Prince Of Egypt (Music From The Original Motion Picture Soundtrack)","Michelle Pfeiffer;Sally Dworsky",1998-02-11,295466,52,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-08T22:27:42Z,"musicals","DreamWorks",0.155,0.135,8,-18.326,1,0.0454,0.859,0,0.198,0.208,80.657,5
spotify:track:58uem87EElJobfMa1jR20B,"Red Sea","The Prince Of Egypt (Music From The Original Motion Picture Soundtrack)","Hans Zimmer",1998-02-11,311333,42,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-08T22:27:42Z,"soundtrack,score","DreamWorks",0.069,0.228,2,-19.871,1,0.045,0.724,0.817,0.123,0.0529,74.694,3
spotify:track:72AnqoIuficeaIxPUU5Wdh,"Through Heaven's Eyes","The Prince Of Egypt (Music From The Original Motion Picture Soundtrack)","K-Ci & JoJo",1998-02-11,305066,38,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-08T22:27:42Z,"r&b","DreamWorks",0.515,0.449,10,-12.27,1,0.0366,0.00975,0,0.297,0.193,140.109,4
spotify:track:5jsQqMxW1EhBfr700ahC1v,"River Lullaby","The Prince Of Egypt (Music From The Original Motion Picture Soundtrack)","Amy Grant",1998-02-11,236800,43,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-08T22:27:42Z,"christmas,ccm,christian","DreamWorks",0.45,0.211,8,-16.469,0,0.0324,0.611,0,0.0635,0.11,113.095,3
spotify:track:610iWBdNKD0qhh9vqiQmNS,"Humanity","The Prince Of Egypt (Music From The Original Motion Picture Soundtrack)","Hans Zimmer",1998-02-11,270733,33,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-08T22:27:42Z,"soundtrack,score","DreamWorks",0.545,0.527,2,-10.662,1,0.0347,0.0115,0,0.0849,0.44,148.897,4
