Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5j6gZ0gmywTIOdi38gPSxK,"We Bought A Zoo","We Bought A Zoo (Motion Picture Soundtrack)","Jónsi",2011-12-09,260573,43,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-08-05T14:13:36Z,"post-rock","Columbia",0.36,0.381,0,-11.758,1,0.0304,0.834,0.937,0.0965,0.0396,124.074,4
spotify:track:2YGckbcAmjxbiZbYVAz5UW,"The Untold","The Untold","Secession Studios",2016-12-20,191999,56,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-08-05T14:13:43Z,"orchestral","Secession Studios",0.435,0.382,1,-17.059,1,0.0502,0.401,0.956,0.0641,0.093,119.99,4
spotify:track:0Gr2XQOIMaaUH86iOrWGur,"Arrival of the Birds","The Crimson Wing: Mystery of the Flamingos (Original Soundtrack)","The Cinematic Orchestra;London Metropolitan Orchestra",2008-12-08,157240,65,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-08-05T14:13:49Z,"nu jazz,downtempo","Walt Disney Records",0.175,0.143,3,-17.439,0,0.0412,0.937,0.933,0.0915,0.0662,173.33,4
spotify:track:1e3hPMCGrwPXYZ1DQhsiCE,"Fairytale","Shrek (Original Motion Picture Score)","Harry Gregson-Williams;John Powell",2001-12-04,86693,59,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-08-05T14:14:25Z,"soundtrack,score","Varese Sarabande",0.0877,0.163,8,-18.769,1,0.0362,0.722,0.501,0.463,0.103,83.13,3
spotify:track:0S7XIu0dn63ayGxjefd5It,"Forbidden Friendship","How To Train Your Dragon (Music From The Motion Picture)","John Powell",2010-01-01,251093,57,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-08-11T16:24:32Z,"soundtrack,score","Varese Sarabande",0.279,0.295,6,-15.135,1,0.035,0.859,0.94,0.547,0.381,129.169,4
spotify:track:7DItVNdkQvj15WtFExA2pn,"Ode to Joy","Masterpieces, Vol. 1","Imagine Music",2020-12-04,181736,40,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-08-05T14:14:44Z,"","Imagine Music",0.231,0.714,2,-10.133,1,0.123,0.00499,0.936,0.11,0.076,145.13,4
spotify:track:4mjBaXmplhng6pRGbQ1lYb,"A Tale of Sea Dragons","Oceans","Marcus Warner",2016-02-05,217976,41,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-08-05T14:14:47Z,"","Marcus Warner",0.453,0.95,4,-4.93,1,0.0777,0.00142,0.00142,0.217,0.363,126.031,4
spotify:track:3zYRMInBU3hKAtMAnmLyH8,"Mythical Hero","Rise Above - Position Music Orchestral Series Vol. 8","Veigar Margeirsson",2012-02-06,149798,0,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-08-05T14:14:50Z,"","Position Music",0.193,0.294,0,-12.776,0,0.0346,0.135,0.762,0.124,0.0387,86.342,4
spotify:track:19OgfiECBGVpTkTxW1FCr2,"If Elephants Could Fly","Liberation","Marcus Warner",2014-10-04,298960,32,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-08-05T14:16:27Z,"","Marcus Warner",0.206,0.437,5,-9.902,1,0.0319,0.761,0.853,0.0923,0.04,133.13,5
spotify:track:2O9tjP93ovorVKoTiewkHp,"Unlocking the Mind (From ""The Theory of Everything"") [Extended Mix] [Trailer Music]","Unlocking the Mind (From ""The Theory of Everything"") [Trailer Music]","Samuel Bohn",2015-01-16,126979,0,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-08-05T14:16:33Z,"","Paleblue Ltd",0.288,0.396,7,-13.212,0,0.0376,0.00669,0.845,0.096,0.0344,121.288,4
