Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7i2ZmmyLzE7NcFAJl30mKY,"Lead Me To The Cross","All Of The Above","Hillsong UNITED;Brooke Ligertwood",2007,258626,7,false,r0sb4304i3rsh8qs8rvt5fy5l,2021-04-12T00:24:55Z,"worship,christian,ccm,pop worship,gospel","Hillsong (HIL)",0.41,0.617,2,-4.718,1,0.0299,0.0728,0.00024,0.0762,0.134,140.008,4
spotify:track:4EHWldZTas5KUyFtT0rQlY,"Lord, I Need You","All The People Said Amen","Matt Maher",2013-04-19,205666,66,false,r0sb4304i3rsh8qs8rvt5fy5l,2021-04-12T00:25:01Z,"christian,worship,catholic music,ccm,pop worship","Essential Records",0.457,0.451,10,-6.997,1,0.029,0.517,0,0.0928,0.185,74.923,4
spotify:track:3daAYqNEt5hzPtHycscQoM,"After All (Holy)","Give Us Rest Or A Requiem Mass In C (The Happiest Of All Keys)","David Crowder Band",2012-01-01,276093,48,false,r0sb4304i3rsh8qs8rvt5fy5l,2021-05-12T08:56:02Z,"christian,worship,ccm,christian rock,hymns,pop worship","Six Steps (SIX)",0.103,0.645,1,-6.372,1,0.0467,0.107,0.011,0.0857,0.124,66.668,4
spotify:track:0BP0JHEeYVZZsyngW4Uc1x,"I Will Rise","Hello Love","Chris Tomlin",2008-01-01,301240,50,false,r0sb4304i3rsh8qs8rvt5fy5l,2021-04-12T00:25:13Z,"christian,worship,ccm,pop worship,country christian","Six Steps (SIX)",0.437,0.321,11,-7.085,1,0.0283,0.35,0,0.0767,0.277,81.959,4
spotify:track:6QbbxQtijqLfUV90Vlm1Xh,"Live Like That","Live Like That","Sidewalk Prophets",2012-03-26,237198,51,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-04-25T03:08:00Z,"christian,ccm,worship,christian rock,christian pop","Curb | Word",0.479,0.893,3,-4.134,1,0.0476,0.053,0,0.0791,0.398,124.062,4
spotify:track:7zuwaenG5AF0vG7o7kMduX,"Redeemed","Love Come To Life","Big Daddy Weave",2012-04-17,276186,59,false,r0sb4304i3rsh8qs8rvt5fy5l,2021-04-12T00:25:21Z,"christian,ccm,worship,christian alternative rock,christian rock,christian pop","Curb | Word",0.329,0.509,11,-6.607,1,0.0333,0.374,0,0.12,0.227,127.119,3
spotify:track:0jkhvHE5aOiE8XxfMNSNaf,"Joyful Noise","Our World Redeemed","FLAME;Lecrae;John Reilly",2008-03-04,325720,41,false,r0sb4304i3rsh8qs8rvt5fy5l,2021-04-12T00:25:55Z,"christian hip hop,christian,christian r&b,christian pop,chinese hip hop,rap chrétien,hard house","Cross Movement Records",0.631,0.847,9,-4.239,0,0.259,0.0188,0,0.0565,0.489,154.122,4
spotify:track:0oPOuDmmkVp3h6puekhs6P,"Use This Gospel","JESUS IS KING","Kanye West;Clipse;Kenny G",2019-10-25,213877,61,false,r0sb4304i3rsh8qs8rvt5fy5l,2021-04-12T00:26:44Z,"rap,smooth jazz,christmas","Getting Out Our Dreams II / Def Jam Recordings",0.611,0.459,0,-3.926,0,0.0422,0.614,0,0.126,0.177,148.28,4
spotify:track:05hdZ0YRqAg6qsgV1ee3LE,"I'll Find You (feat. Tori Kelly)","I'll Find You (feat. Tori Kelly)","Lecrae;Tori Kelly",2017-06-09,218213,0,false,r0sb4304i3rsh8qs8rvt5fy5l,2021-04-12T00:26:55Z,"christian hip hop,christian,christian r&b,christian pop,chinese hip hop,rap chrétien","Reach Records/Columbia",0.745,0.682,5,-5.85,0,0.0964,0.131,0,0.119,0.198,135.065,4
spotify:track:30wRGoqRiYjk4ORJ0QbSQA,"You Are Everything","Something To Say","Matthew West",2007,230866,43,false,r0sb4304i3rsh8qs8rvt5fy5l,2021-04-12T00:27:13Z,"christian,ccm,worship,christian pop,christian alternative rock,christian rock","Sparrow",0.189,0.738,10,-3.549,1,0.0386,0.162,0,0.157,0.37,159.051,3
spotify:track:2gXwMixw0voLNVxPr4Ja6v,"I Need A Miracle","Miracle","Third Day",2012-11-02,222546,55,false,r0sb4304i3rsh8qs8rvt5fy5l,2021-05-08T03:35:31Z,"christian,christian rock,ccm,christian alternative rock,worship,christian pop","Essential Records",0.401,0.698,4,-6.321,1,0.0393,0.0231,0,0.149,0.347,166.373,4
spotify:track:6jAAYLKxXPyeEoddXu6Gf7,"Worn","The Struggle","Tenth Avenue North",2012-08-17,244120,51,false,r0sb4304i3rsh8qs8rvt5fy5l,2021-04-12T00:29:36Z,"christian,ccm,worship,christian rock,christian pop,christian alternative rock","Reunion Records",0.51,0.42,6,-8.014,1,0.0312,0.384,0,0.102,0.19,125.898,4
spotify:track:7IPldKTGN7pssmDl66DrMG,"Hold Us Together","Alive Again","Matt Maher",2009,207400,48,false,r0sb4304i3rsh8qs8rvt5fy5l,2021-04-12T00:29:41Z,"christian,worship,catholic music,ccm,pop worship","Essential Records",0.444,0.792,0,-5.065,1,0.0345,0.0877,0.00000301,0.14,0.488,171.823,4
spotify:track:6qdpQ6jPiaCYE9Qw4nZVuD,"By Your Side","Over And Underneath","Tenth Avenue North",2008,241826,56,false,r0sb4304i3rsh8qs8rvt5fy5l,2021-04-12T00:29:47Z,"christian,ccm,worship,christian rock,christian pop,christian alternative rock","Reunion Records",0.454,0.7,7,-6.222,1,0.0264,0.0649,0.0000011,0.115,0.0704,130.09,4
