Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3SISSunAvfmfFebfVxipDn,"Dempsey","Pray for Rain","Marty O'Reilly & the Old Soul Orchestra",2014-03-17,286010,30,true,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-31T21:15:34Z,"","Head Bitch Music",0.476,0.482,9,-8.574,0,0.0336,0.364,0.057,0.113,0.611,133.604,4
spotify:track:7k55MrPZ4Zc2bGoRUoIlLA,"The Captains Daughter, Pt. 1","Pray for Rain","Marty O'Reilly & the Old Soul Orchestra",2014-03-17,308130,35,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-31T21:15:34Z,"","Head Bitch Music",0.502,0.367,4,-5.959,1,0.0327,0.404,0.000694,0.114,0.408,77.445,4
spotify:track:1BOvoFhvEqIuukBPi9uDxx,"Cold Canary Gaslight","Pray for Rain","Marty O'Reilly & the Old Soul Orchestra",2014-03-17,282074,44,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-31T21:15:34Z,"","Head Bitch Music",0.489,0.318,7,-8.577,1,0.0324,0.779,0.000147,0.106,0.311,139.57,4
spotify:track:5ejer9JccgqM0XDMEvaDML,"Smokestack Lightning","Pray for Rain","Marty O'Reilly & the Old Soul Orchestra",2014-03-17,407226,28,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-31T21:15:34Z,"","Head Bitch Music",0.477,0.819,9,-7.068,0,0.0764,0.303,0.0723,0.15,0.659,105.657,4
spotify:track:44K8jwjeERAQKV69nB38ae,"Cambium","Pray for Rain","Marty O'Reilly & the Old Soul Orchestra",2014-03-17,312940,34,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-31T21:15:34Z,"","Head Bitch Music",0.504,0.256,6,-8.581,0,0.0296,0.691,0.000127,0.122,0.143,77.118,4
spotify:track:13icrLCDmuQLrzzUEoGdlg,"Cinnamon Tree","Pray for Rain","Marty O'Reilly & the Old Soul Orchestra",2014-03-17,236184,53,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-31T21:15:34Z,"","Head Bitch Music",0.555,0.357,7,-8.018,1,0.0312,0.575,0.0000113,0.106,0.439,96.449,4
spotify:track:4b1mpFfoc0cO4J7IoXWg6X,"When The Water Runs Out","Pray for Rain","Marty O'Reilly & the Old Soul Orchestra",2014-03-17,455178,27,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-31T21:15:34Z,"","Head Bitch Music",0.403,0.573,0,-7.367,0,0.066,0.542,0.00481,0.114,0.508,92.281,4
spotify:track:62Jxbk2RBjVxRc7dvRxKCy,"Letters","Pray for Rain","Marty O'Reilly & the Old Soul Orchestra",2014-03-17,232116,39,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-31T21:15:34Z,"","Head Bitch Music",0.304,0.35,9,-9.727,1,0.038,0.61,0.0185,0.112,0.253,155.22,4
spotify:track:5tWaZoQg01wGUiCrPJvlkU,"A Stalker's Song","Pray for Rain","Marty O'Reilly & the Old Soul Orchestra",2014-03-17,210162,30,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-31T21:15:34Z,"","Head Bitch Music",0.528,0.15,5,-11.691,1,0.0344,0.881,0.000433,0.109,0.309,83.121,4
spotify:track:6cWJDrcqBZQlQk1jCgk5IY,"Alone At The Table","Pray for Rain","Marty O'Reilly & the Old Soul Orchestra",2014-03-17,233950,28,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-31T21:15:34Z,"","Head Bitch Music",0.339,0.323,7,-10.614,1,0.0305,0.812,0.00224,0.144,0.0976,127.141,4
spotify:track:1m5ZjBwk8asBRd0jEZ04Vg,"Dreamcatcher","Pray for Rain","Marty O'Reilly & the Old Soul Orchestra",2014-03-17,236422,43,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-31T21:15:34Z,"","Head Bitch Music",0.556,0.304,10,-9.544,1,0.0262,0.848,0.00019,0.113,0.477,91.397,4
spotify:track:0U9O9ZGzgLSfepAn8D5NF3,"Cocoon","Pray for Rain","Marty O'Reilly & the Old Soul Orchestra",2014-03-17,278347,37,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-31T21:15:34Z,"","Head Bitch Music",0.229,0.378,7,-8.434,1,0.0319,0.91,0.275,0.124,0.119,45.9,4
