Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6zgxB5Rmku4Ez6J9a0TVUo,"12345SEX","12345SEX","UPSAHL",2020-03-27,172819,50,true,r0sb4304i3rsh8qs8rvt5fy5l,2022-08-05T15:59:02Z,"","Arista Records",0.916,0.468,9,-6.928,0,0.0471,0.0885,0.0000814,0.159,0.567,108.033,4
spotify:track:7tySfDFfBiCjraLdoy6In5,"Put It on Me","The Hearse","Matt Maeson",2018-04-27,202760,65,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-08-05T15:59:14Z,"","Neon Gold/Atlantic",0.629,0.414,1,-5.782,1,0.0323,0.0068,0.0000778,0.0807,0.417,81.941,3
spotify:track:0oiKDZUxZn9i4jCCDmbTM2,"Uh Huh","Nervous System","Julia Michaels",2017-07-28,178973,45,true,r0sb4304i3rsh8qs8rvt5fy5l,2022-08-05T15:59:29Z,"","J/Republic",0.775,0.663,4,-4.834,1,0.191,0.161,0.0000436,0.0678,0.567,137.935,4
spotify:track:7l94dyN2hX9c6wWcZQuOGJ,"Dangerous Woman","Dangerous Woman","Ariana Grande",2016-05-20,235946,3,false,r0sb4304i3rsh8qs8rvt5fy5l,2022-08-05T16:09:09Z,"pop","Universal Records",0.664,0.602,4,-5.369,0,0.0412,0.0529,0,0.356,0.289,134.049,3
spotify:track:260Ub1Yuj4CobdISTOBvM9,"Wet Dream","Wet Leg","Wet Leg",2022-04-08,140080,72,false,r0sb4304i3rsh8qs8rvt5fy5l,2024-08-13T00:48:08Z,"indie rock,indie","Domino Recording Co",0.721,0.701,2,-5.941,1,0.0306,0.000927,0.026,0.234,0.892,130.091,3
spotify:track:1Ist6PR2BZR3n2z2Y5R6S1,"Summertime Sadness","Born To Die – Paradise Edition (Special Version)","Lana Del Rey",2012-01-01,264773,78,false,r0sb4304i3rsh8qs8rvt5fy5l,2024-08-13T00:54:18Z,"","Urban",0.566,0.647,1,-6.815,0,0.0335,0.0477,0,0.121,0.22,111.96,4
spotify:track:3imw8kF7wpq1oxYqHw4COo,"Cowboy Gangster Politician","Cowboy Gangster Politician","Goldie Boutilier",2022-11-03,232000,0,false,r0sb4304i3rsh8qs8rvt5fy5l,2024-08-13T00:55:36Z,"","Goldie Boutilier Music",0.668,0.704,4,-7.366,0,0.0331,0.212,0.012,0.108,0.626,129.921,4
spotify:track:5hlPrSCx9BvnQ3rCTkblMZ,"High","Angel Face","Stephen Sanchez",2023-09-22,161567,67,false,r0sb4304i3rsh8qs8rvt5fy5l,2024-08-13T00:56:25Z,"","Mercury Records / Republic Records",0.432,0.714,6,-7.933,0,0.0384,0.0876,0.000788,0.27,0.322,176.009,4
spotify:track:0jZO7p0nBUi9VHedWUBS9l,"The Night We Met (feat. Phoebe Bridgers)","13 Reasons Why (Season 2)","Lord Huron;Phoebe Bridgers",2018-05-18,208173,64,false,r0sb4304i3rsh8qs8rvt5fy5l,2024-08-13T01:08:09Z,"","UMGRI Interscope",0.423,0.437,2,-8.588,1,0.0355,0.962,0.336,0.664,0.131,174.158,3
spotify:track:0ZXdzaT1k688dkpNeEgQiV,"I Don't Know Why","I Don't Know Why","NOTD;Astrid S",2020-05-08,207667,58,false,r0sb4304i3rsh8qs8rvt5fy5l,2024-08-13T01:11:06Z,"norwegian pop","Universal Music AB",0.499,0.898,8,-4.181,0,0.124,0.124,0.0000072,0.0832,0.618,120.04,4
spotify:track:6eJ2rRy68QOduhNLW3M1Yy,"Heaven - From ""Fifty Shades Freed"" Soundtrack","Amethyst","Julia Michaels",2023-08-15,191813,65,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-08T21:59:42Z,"","UME - Global Clearing House",0.554,0.371,7,-9.104,0,0.0361,0.855,0,0.0838,0.245,199.828,3
spotify:track:6usohdchdzW9oML7VC4Uhk,"Lose Control","Lose Control","Teddy Swims",2023-06-23,210688,82,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-19T02:26:13Z,"","Warner Records",0.561,0.604,9,-4.409,1,0.0337,0.199,0.000019,0.104,0.242,159.92,3
spotify:track:6i33i1yO8ye2tFYkN9C1Dx,"23 - Steel Mix","23 (Steel Mix)","Chayce Beckham",2021-05-22,186906,0,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-25T23:28:55Z,"country","Wheelhouse Records",0.553,0.723,0,-5.858,0,0.0303,0.0248,0.00000105,0.252,0.616,88.007,4
spotify:track:3tfWz0ZoZOzOQqd43vpmdO,"Hopeless Romantic","Two to Tango","Julia Pratt",2023-10-27,204000,39,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-25T23:29:14Z,"","Julia Pratt & Bloom Field Records",0.169,0.315,0,-11.256,1,0.038,0.775,0,0.136,0.145,68.988,4
spotify:track:6kcHg7XL6SKyPNd78daRBL,"Sweet Talk","saintmotelevision","Saint Motel",2016-10-21,192040,64,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-25T23:30:05Z,"","Elektra (NEK)",0.67,0.843,1,-4.311,1,0.0454,0.0392,0,0.225,0.713,117.01,4
