Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3jSc6a7N6L9RhAhxjh9VQP,"I Swear (To God)","Purgatory","Tyler Childers",2017-08-04,200493,61,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-06-14T19:17:20Z,"country,outlaw country,red dirt,alt country,texas country,bluegrass","Hickman Holler Records",0.59,0.572,4,-4.684,1,0.0266,0.843,0.229,0.33,0.924,89.721,4
spotify:track:2tgQaL85WoRfgEa4hFQgrE,"Feathered Indians","Purgatory","Tyler Childers",2017-08-04,224946,81,true,r0sb4304i3rsh8qs8rvt5fy5l,2025-06-14T19:17:20Z,"country,outlaw country,red dirt,alt country,texas country,bluegrass","Hickman Holler Records",0.536,0.574,7,-6.705,1,0.0254,0.75,0.00277,0.105,0.877,87.194,4
spotify:track:1XcxubL4Y4U4gxLeIbb8VM,"Tattoos","Purgatory","Tyler Childers",2017-08-04,203360,68,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-06-14T19:17:20Z,"country,outlaw country,red dirt,alt country,texas country,bluegrass","Hickman Holler Records",0.333,0.457,9,-7.295,1,0.0307,0.241,0.0399,0.16,0.279,172.143,4
spotify:track:217WnNJ3NuFB9dC8wncMPb,"Born Again","Purgatory","Tyler Childers",2017-08-04,208213,56,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-06-14T19:17:20Z,"country,outlaw country,red dirt,alt country,texas country,bluegrass","Hickman Holler Records",0.506,0.669,5,-4.805,1,0.0327,0.624,0.00883,0.165,0.764,155.28,4
spotify:track:0fbR95FEaJUxiQYaqZZukv,"Whitehouse Road","Purgatory","Tyler Childers",2017-08-04,280786,72,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-06-14T19:17:20Z,"country,outlaw country,red dirt,alt country,texas country,bluegrass","Hickman Holler Records",0.607,0.739,0,-5.503,1,0.0274,0.114,0.000234,0.192,0.875,84.467,4
spotify:track:0o6hh58uipkorQvA8u1KTI,"Banded Clovis","Purgatory","Tyler Childers",2017-08-04,259066,54,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-06-14T19:17:20Z,"country,outlaw country,red dirt,alt country,texas country,bluegrass","Hickman Holler Records",0.432,0.552,7,-6.987,1,0.0334,0.81,0.0267,0.066,0.854,172.963,3
spotify:track:5opxZwZYGrLuWTOLW8HvMK,"Purgatory","Purgatory","Tyler Childers",2017-08-04,166053,55,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-06-14T19:17:20Z,"country,outlaw country,red dirt,alt country,texas country,bluegrass","Hickman Holler Records",0.489,0.773,7,-6.356,1,0.0308,0.301,0.108,0.241,0.908,141.419,4
spotify:track:4m8QO7mDC4kqWTKSLqsZS8,"Honky Tonk Flame","Purgatory","Tyler Childers",2017-08-04,297386,54,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-06-14T19:17:20Z,"country,outlaw country,red dirt,alt country,texas country,bluegrass","Hickman Holler Records",0.334,0.692,4,-5.567,1,0.0352,0.252,0.00122,0.19,0.824,174.336,3
spotify:track:48nZLOpJOINkICPWpUuhaN,"Universal Sound","Purgatory","Tyler Childers",2017-08-04,221600,68,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-06-14T19:17:20Z,"country,outlaw country,red dirt,alt country,texas country,bluegrass","Hickman Holler Records",0.672,0.437,5,-9.656,1,0.0368,0.85,0.261,0.107,0.636,101.588,4
spotify:track:3t5OV1asJHmOlf23T08CLv,"Lady May","Purgatory","Tyler Childers",2017-08-04,183533,75,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-06-14T19:17:20Z,"country,outlaw country,red dirt,alt country,texas country,bluegrass","Hickman Holler Records",0.539,0.16,3,-13.285,1,0.0329,0.881,0.000268,0.105,0.322,81.446,4
