Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7vu0JkJh0ldukEYbTVcqd0,"Issues","Nervous System","Julia Michaels",2017-07-28,176320,75,false,r0sb4304i3rsh8qs8rvt5fy5l,2020-03-07T20:37:52Z,"","J/Republic",0.728,0.415,8,-6.852,1,0.0639,0.401,0,0.0616,0.455,114.145,4
spotify:track:7taeV6Kz3xIgjx5QR0eG8p,"La La Land","Carnival","Bryce Vine",2019-09-06,157146,57,false,r0sb4304i3rsh8qs8rvt5fy5l,2020-03-07T20:38:01Z,"","Sire",0.726,0.512,11,-4.667,1,0.0361,0.289,0,0.234,0.52,97.965,4
spotify:track:3Hig6FDiszzWDPIKSP9swE,"fuck, i'm lonely","~how i'm feeling~","Lauv;Anne-Marie",2020-02-20,198973,0,true,r0sb4304i3rsh8qs8rvt5fy5l,2020-03-07T20:38:17Z,"","Lauv",0.806,0.558,9,-6.46,1,0.0683,0.482,0,0.0618,0.678,95.016,4
spotify:track:1Fo4OvzP9PThFKMeMIAEYu,"Superhero","Superhero","Lauv",2018-08-30,179997,0,false,r0sb4304i3rsh8qs8rvt5fy5l,2020-03-07T20:38:49Z,"","Lauv",0.681,0.34,7,-8.617,1,0.0339,0.82,0,0.285,0.417,129.98,4
spotify:track:2aWAaBUWV2L0VsfQH9TfiA,"I'm Trying","I'm Trying","Young Lord Churchill",2019-02-15,161495,0,true,r0sb4304i3rsh8qs8rvt5fy5l,2020-03-07T20:39:02Z,"","Cotillion",0.767,0.45,0,-9.374,1,0.0469,0.385,0,0.321,0.213,106.966,4
spotify:track:4cdgQp78RyRzI04Bmw8o44,"Payphone - Edit","Overexposed (Deluxe)","Maroon 5;Wiz Khalifa",2012-01-01,231373,49,false,r0sb4304i3rsh8qs8rvt5fy5l,2020-03-07T20:45:08Z,"pop","Interscope Records*",0.741,0.783,4,-4.791,1,0.0415,0.015,0,0.302,0.534,110.002,4
spotify:track:7xOqvbOC1YtNPDWZFuSegx,"Fast","Death Race For Love","Juice WRLD",2019-03-08,208517,0,false,r0sb4304i3rsh8qs8rvt5fy5l,2020-03-07T20:45:16Z,"melodic rap,emo rap","Grade A Productions/Interscope Records",0.54,0.618,1,-5.989,0,0.0745,0.424,0,0.0993,0.239,84.866,4
spotify:track:4a5zacCsHLtMC2mcxkqWwn,"Sad Forever","Sad Forever","Lauv",2019-05-31,203507,0,false,r0sb4304i3rsh8qs8rvt5fy5l,2020-03-07T20:45:37Z,"","Lauv",0.527,0.538,5,-7.434,1,0.104,0.468,0,0.0825,0.389,117.319,4
spotify:track:5ls62WNKHUUrdF3r1cv83T,"emotions","nothings ever good enough","iann dior",2019-05-22,131213,1,false,r0sb4304i3rsh8qs8rvt5fy5l,2020-03-07T20:45:45Z,"melodic rap","TenThousand Projects, LLC",0.63,0.63,9,-6.211,1,0.0395,0.0131,0,0.142,0.163,80.512,4
spotify:track:5PYQUBXc7NYeI1obMKSJK0,"Never Really Over","Never Really Over","Katy Perry",2019-05-31,223523,67,false,r0sb4304i3rsh8qs8rvt5fy5l,2020-03-07T20:46:18Z,"pop","Capitol Records",0.77,0.882,8,-4.792,1,0.0602,0.194,0,0.316,0.385,99.991,4
spotify:track:28cnXtME493VX9NOw9cIUh,"Hurt","American IV: The Man Comes Around","Johnny Cash",2002-01-01,216533,76,false,r0sb4304i3rsh8qs8rvt5fy5l,2020-03-07T20:46:34Z,"classic country,outlaw country,country","American Recordings Catalog P&D",0.534,0.392,9,-7.636,0,0.0267,0.649,0.000227,0.0948,0.163,90.379,4
spotify:track:0ND8rF8oirMXtE59n585P6,"17","Inner Monologue Part 2","Julia Michaels",2019-06-28,182800,47,false,r0sb4304i3rsh8qs8rvt5fy5l,2020-03-07T20:46:45Z,"","Republic Records",0.775,0.466,4,-6.805,1,0.0417,0.461,0,0.111,0.39,97.985,4
spotify:track:4Pbg79cTBu4vgSphoyNq3j,"2002","2002","Anne-Marie",2018-04-19,186986,61,false,r0sb4304i3rsh8qs8rvt5fy5l,2020-03-07T20:46:49Z,"","Atlantic Records UK",0.697,0.683,1,-2.881,0,0.117,0.0372,0,0.137,0.603,96.133,4
spotify:track:3DamFFqW32WihKkTVlwTYQ,"Fireflies","Ocean Eyes","Owl City",2009-01-01,228346,81,false,r0sb4304i3rsh8qs8rvt5fy5l,2020-03-07T20:47:00Z,"","Universal Records",0.512,0.662,3,-6.797,1,0.0439,0.0275,0,0.118,0.472,180.114,4
spotify:track:0ClXCMqM8JPf6RkW0lR73g,"I Fall Apart","Stoney (Deluxe)","Post Malone",2016-12-09,223346,49,false,r0sb4304i3rsh8qs8rvt5fy5l,2020-03-07T20:47:12Z,"","Mercury Records/Republic Owned",0.564,0.545,8,-5.506,0,0.0372,0.0703,0,0.174,0.265,143.951,4
spotify:track:4SDgTLDYrJ2UrHbkRkg7MD,"Panini - DaBaby Remix","Panini","Lil Nas X;DaBaby",2019-09-13,151040,58,false,r0sb4304i3rsh8qs8rvt5fy5l,2020-03-07T20:47:24Z,"","Columbia",0.717,0.598,5,-5.613,0,0.0809,0.22,0,0.122,0.496,153.905,4
spotify:track:24qOlCdUSSU6ungmY6fZmi,"Used To","Used To","Sandro Cavazza;Lou Elliotte",2018-11-09,174280,42,true,r0sb4304i3rsh8qs8rvt5fy5l,2020-03-07T20:47:29Z,"","Universal Music AB",0.659,0.451,10,-8.16,1,0.032,0.278,0,0.0889,0.392,101.99,4
spotify:track:2KyIbRFpFznGbf8DTTiKO3,"Somebody Cooler","Somebody Cooler","Luke Banter",2019-04-28,204720,18,false,r0sb4304i3rsh8qs8rvt5fy5l,2020-03-07T20:47:57Z,"","Dear Darla",0.743,0.736,5,-6.415,0,0.134,0.44,0,0.101,0.595,94.491,4
spotify:track:6iWMI5oOhWrDbLbjmwTWFq,"Wonderland","1989 (Deluxe Edition)","Taylor Swift",2014-10-27,245560,54,false,r0sb4304i3rsh8qs8rvt5fy5l,2020-03-07T20:48:14Z,"","Taylor Swift",0.422,0.692,3,-5.447,1,0.0549,0.0493,0.0000257,0.177,0.197,184.014,4
spotify:track:5dyihZecYMcEPq09Bk2OL2,"Robin Hood","Robin Hood","Anson Seabra",2018-09-21,221538,58,false,r0sb4304i3rsh8qs8rvt5fy5l,2020-03-07T20:48:25Z,"","Koala Kontrol",0.731,0.153,4,-14.409,1,0.0562,0.952,0,0.134,0.324,78.072,4
spotify:track:7xHWNBFm6ObGEQPaUxHuKO,"The Greatest (feat. Kendrick Lamar)","This Is Acting (Deluxe Version)","Sia;Kendrick Lamar",2016-10-21,210226,67,false,r0sb4304i3rsh8qs8rvt5fy5l,2020-03-07T20:48:40Z,"hip hop,west coast hip hop","Monkey Puzzle Records/RCA Records",0.668,0.725,1,-6.127,1,0.266,0.0102,0.000479,0.0561,0.729,191.944,4
spotify:track:5j4hSQH0KaAc8f6cimnXIT,"Fire Away","Traveller","Chris Stapleton",2015-05-04,244333,76,false,r0sb4304i3rsh8qs8rvt5fy5l,2020-03-07T20:48:50Z,"country,outlaw country","Mercury Nashville",0.559,0.301,9,-9.066,1,0.0297,0.055,0.00979,0.101,0.177,116.123,3
