Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0WoWLQX3MHAXaZogJspeZ4,"Daisy","Daisy","Paige Fish",2024-10-16,217618,0,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T12:53:24Z,"","Harbour Artists & Music",0.685,0.17,7,-14.581,1,0.0367,0.833,0.0154,0.452,0.255,111.887,4
spotify:track:6IoeNWmu2gMBtuWmYghQ7c,"25","25","Alix Page",2021-10-12,215070,0,true,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:06:27Z,"","Alix Page",0.58,0.545,1,-9.218,1,0.0296,0.0458,0.043,0.0627,0.212,111.96,4
spotify:track:4vPVSQ77puCBdSP079AvXG,"Sweet Night - Stripped","Sweet Night (Stripped)","Elina",2024-01-05,209790,24,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:14:46Z,"","Nettwerk Music Group",0.577,0.3,3,-7.518,1,0.0302,0.83,0,0.0761,0.346,124.935,4
spotify:track:0mbBHDQu78jWP1rETou65s,"Girlfriend","Girlfriend","Alix Page",2024-07-26,197093,34,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-21T17:17:42Z,"","Alix Page",0.775,0.483,3,-10.922,1,0.0334,0.0332,0.00033,0.0363,0.779,122.038,4
spotify:track:5SgnryLxcHznrwfWbhUHN1,"cowboy take me away","cowboy take me away","Fire Swimmer",2024-03-22,196190,37,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-01-14T20:59:14Z,"","Fire Swimmer",0.353,0.174,2,-9.852,1,0.0377,0.873,0,0.12,0.269,133.914,4
spotify:track:5fQO9U2ygxgK7x6XpToKsS,"The Alchemist","The Alchemist","Grace Enger",2024-12-06,212021,19,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-23T19:26:18Z,"","Grace Enger",0.566,0.417,2,-7.935,1,0.0379,0.646,0,0.13,0.319,130.025,3
spotify:track:5k6L1lOs0AANCee7nYW2au,"A Little Love","A Little Love","Julia Pratt;Mt. Joy",2023-08-04,201893,43,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-22T15:18:34Z,"","Bloom Field Records",0.559,0.447,2,-6.678,1,0.0335,0.789,0.00000455,0.193,0.341,127.839,4
spotify:track:46kXlOq68HXFrhkxGV6qtI,"All Falls Down","Older","Lizzy McAlpine",2024-04-05,171842,59,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:09:33Z,"","Indigo Blue/RCA Records",0.691,0.583,5,-7.008,1,0.0365,0.41,0.000845,0.0942,0.646,127.97,4
spotify:track:5QJLH5Q4oMR4zX40j59Nu3,"How Could I","Goose","Alix Page",2023-04-14,156279,18,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-05T19:57:59Z,"","BETTER DAYS",0.523,0.281,0,-9.695,1,0.0289,0.95,0.00000726,0.125,0.274,126.078,3
spotify:track:6Uwi2Qk3H7fM4b4W4ExrAp,"Scott Street","Stranger in the Alps","Phoebe Bridgers",2017-09-22,305000,78,true,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-21T17:23:55Z,"","Dead Oceans",0.508,0.417,10,-9.632,1,0.0296,0.77,0.0928,0.0887,0.483,134.944,4
spotify:track:2L9N0zZnd37dwF0clgxMGI,"ceilings","five seconds flat","Lizzy McAlpine",2022-04-08,182887,81,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-21T17:23:55Z,"","Harbour Artists & Music",0.516,0.322,9,-11.762,1,0.0292,0.473,0.00194,0.215,0.261,148.005,3
spotify:track:5AwztQuXdndXJPNNwrF00X,"It's No Fun","It's No Fun","Grace Enger",2024-07-12,163747,26,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-21T18:20:59Z,"","Grace Enger",0.469,0.443,2,-6.983,1,0.0492,0.358,0,0.137,0.274,146.008,4
spotify:track:4HffeEF97c6UxNePgbuECW,"Pancakes for Dinner","Give Me A Minute","Lizzy McAlpine",2020-08-13,235035,0,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-21T17:36:59Z,"","Lizzy McAlpine",0.753,0.266,11,-11.453,1,0.0478,0.759,0,0.11,0.321,142.026,4
spotify:track:1TQXIltqoZ5XXyfCbAeSQQ,"Dancing With Your Ghost","Dancing With Your Ghost","Sasha Alex Sloan",2019-06-28,197732,78,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-07T13:01:21Z,"","RCA Records Label",0.629,0.328,11,-8.284,1,0.029,0.768,0.000025,0.103,0.389,74.953,4
