Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6b77gsnwtmE0mY1Xkv3Tyn,"Eatin' Big Time","Snipe Hunter","Tyler Childers",2025-07-25,285466,58,true,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-31T16:31:31Z,"country,outlaw country,red dirt,alt country,texas country,bluegrass","Hickman Holler Records/RCA Records",0.483,0.882,6,-5.267,1,0.164,0.0463,0,0.121,0.65,133.058,4
spotify:track:0P9FBomC5qJ7eum7t7r9Iv,"Cuttin' Teeth","Snipe Hunter","Tyler Childers",2025-07-25,225853,53,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-31T16:31:31Z,"country,outlaw country,red dirt,alt country,texas country,bluegrass","Hickman Holler Records/RCA Records",0.54,0.693,11,-7.667,1,0.0472,0.205,0.000162,0.152,0.668,126.311,4
spotify:track:5dUCixiCL0CcIUdlgUl1ct,"Oneida","Snipe Hunter","Tyler Childers",2025-07-25,278213,65,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-31T16:31:31Z,"country,outlaw country,red dirt,alt country,texas country,bluegrass","Hickman Holler Records/RCA Records",0.411,0.539,7,-6.493,1,0.0266,0.108,0.00000133,0.0844,0.314,142.481,3
spotify:track:2uLpWwVct3LpfxeWdnM1gu,"Getting to the Bottom","Snipe Hunter","Tyler Childers",2025-07-25,270000,49,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-31T16:31:31Z,"country,outlaw country,red dirt,alt country,texas country,bluegrass","Hickman Holler Records/RCA Records",0.47,0.865,10,-5.88,1,0.0399,0.0196,0.00000193,0.144,0.757,126.735,4
spotify:track:0x5wJ0cDp7miv49jSMTSkq,"Bitin' List","Snipe Hunter","Tyler Childers",2025-07-25,176800,67,true,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-31T16:31:31Z,"country,outlaw country,red dirt,alt country,texas country,bluegrass","Hickman Holler Records/RCA Records",0.501,0.807,2,-6.098,1,0.0352,0.0022,0,0.348,0.753,96.469,4
spotify:track:7MVELI3PNucjlskWhNZESi,"Nose On The Grindstone","Snipe Hunter","Tyler Childers",2025-07-25,175973,51,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-31T16:31:31Z,"country,outlaw country,red dirt,alt country,texas country,bluegrass","Hickman Holler Records/RCA Records",0.376,0.361,3,-9.403,1,0.0346,0.764,0,0.127,0.339,154.222,3
spotify:track:3BNdSuYD0L2SpNasK4tT42,"Watch Out","Snipe Hunter","Tyler Childers",2025-07-25,224626,52,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-31T16:31:31Z,"country,outlaw country,red dirt,alt country,texas country,bluegrass","Hickman Holler Records/RCA Records",0.445,0.82,5,-5.763,1,0.0464,0.00539,0.0000681,0.218,0.575,88.354,4
spotify:track:1lEJa9TUdwFa2iP5Q4TmVB,"Poachers","Snipe Hunter","Tyler Childers",2025-07-25,249133,47,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-31T16:31:31Z,"country,outlaw country,red dirt,alt country,texas country,bluegrass","Hickman Holler Records/RCA Records",0.443,0.838,2,-7.121,1,0.169,0.08,0,0.237,0.464,169.981,3
spotify:track:65qZXXb4tIGO8OWvcp9ygA,"Snipe Hunt","Snipe Hunter","Tyler Childers",2025-07-25,229466,47,true,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-31T16:31:31Z,"country,outlaw country,red dirt,alt country,texas country,bluegrass","Hickman Holler Records/RCA Records",0.198,0.943,5,-5.65,0,0.346,0.0000686,0.0000298,0.367,0.31,161.827,4
spotify:track:1fuDBqqPcJ2lbhQVpA9Erq,"Tirtha Yatra","Snipe Hunter","Tyler Childers",2025-07-25,282760,47,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-31T16:31:31Z,"country,outlaw country,red dirt,alt country,texas country,bluegrass","Hickman Holler Records/RCA Records",0.46,0.751,6,-7.367,0,0.0531,0.0581,0.000254,0.0967,0.593,126.563,4
spotify:track:3ft0BQmNJx2hQjwDwZlxEX,"Tomcat and a Dandy","Snipe Hunter","Tyler Childers",2025-07-25,282973,44,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-31T16:31:31Z,"country,outlaw country,red dirt,alt country,texas country,bluegrass","Hickman Holler Records/RCA Records",0.159,0.462,0,-7.643,1,0.0365,0.431,0.00028,0.0977,0.451,82.971,3
spotify:track:0OhW6F1LavQzbjZSc8YrZG,"Dirty Ought Trill","Snipe Hunter","Tyler Childers",2025-07-25,271040,57,true,r0sb4304i3rsh8qs8rvt5fy5l,2025-07-31T16:31:31Z,"country,outlaw country,red dirt,alt country,texas country,bluegrass","Hickman Holler Records/RCA Records",0.466,0.81,9,-7.221,1,0.133,0.0155,0.00000549,0.102,0.495,95.581,4
