Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4FvFhmbMGi9VcGefyUPq4E,"Talker","Talker","Wilderado",2024-09-20,182723,42,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-06T18:26:26Z,"","Bright Antenna / C3",0.64,0.459,0,-9.838,1,0.0267,0.511,0.253,0.124,0.578,133.047,4
spotify:track:48dWzFWxFXamPmW9U4dszs,"Bad Luck","Talker","Wilderado",2024-09-20,203590,38,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-06T18:26:26Z,"","Bright Antenna / C3",0.625,0.667,0,-8.581,1,0.045,0.288,0.393,0.276,0.813,87.974,4
spotify:track:3VWd0jCSdanpLcfKiNi4j2,"Simple","Talker","Wilderado",2024-09-20,164058,37,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-06T18:26:26Z,"","Bright Antenna / C3",0.734,0.618,0,-8.331,1,0.026,0.393,0.267,0.0927,0.697,90.021,4
spotify:track:3UfiB7OvlXL2RFmkQuqO5q,"Higher Than Most","Talker","Wilderado",2024-09-20,200613,35,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-06T18:26:26Z,"","Bright Antenna / C3",0.643,0.728,5,-8.272,1,0.0324,0.143,0.0394,0.0905,0.561,132.012,4
spotify:track:4kZv4FnIXxSKF3WoZHmjQi,"Coming To Town","Talker","Wilderado",2024-09-20,155886,29,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-06T18:26:26Z,"","Bright Antenna / C3",0.655,0.511,7,-9.177,1,0.03,0.242,0.198,0.335,0.429,136.047,4
spotify:track:6VqdWxYVAr4ZUktJrfqvki,"In Between","Talker","Wilderado",2024-09-20,156197,45,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-06T18:26:26Z,"","Bright Antenna / C3",0.711,0.52,2,-8.696,1,0.0324,0.24,0.000243,0.116,0.598,147.93,4
spotify:track:3mUrE2LKke7g8zPAOQF3dB,"Longstanding Misunderstanding","Talker","Wilderado",2024-09-20,162770,28,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-06T18:26:26Z,"","Bright Antenna / C3",0.548,0.411,4,-11.244,1,0.0283,0.761,0.896,0.106,0.511,187.985,4
spotify:track:6YCS08DfErUJT0MtpHDpwX,"Sometimes","Talker","Wilderado",2024-09-20,180359,35,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-06T18:26:26Z,"","Bright Antenna / C3",0.492,0.372,4,-11.629,1,0.0399,0.894,0.00315,0.19,0.322,185.859,5
spotify:track:03WKosdNgXhixI3HKDL3uP,"Tomorrow","Talker","Wilderado",2024-09-20,200871,32,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-06T18:26:26Z,"","Bright Antenna / C3",0.504,0.485,1,-12.749,0,0.0373,0.595,0.851,0.106,0.407,87.922,4
spotify:track:4SXxu702J5s3hIbGDN2JLC,"After All","Talker","Wilderado",2024-09-20,197725,26,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-06T18:26:26Z,"","Bright Antenna / C3",0.571,0.433,6,-7.407,0,0.0249,0.0236,0.202,0.102,0.485,143.973,4
spotify:track:4fc9qcidLFvZJvzm62eaXC,"Waiting On You","Talker","Wilderado",2024-09-20,217728,28,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-06T18:26:26Z,"","Bright Antenna / C3",0.518,0.323,4,-10.521,1,0.025,0.378,0.0833,0.0944,0.353,169.951,4
spotify:track:7hUexPQHSHNP6aZ1i1tSQZ,"What Were You Waiting For","Talker","Wilderado",2024-09-20,157117,28,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-06T18:26:26Z,"","Bright Antenna / C3",0.904,0.267,4,-11.795,1,0.0712,0.775,0.102,0.102,0.856,115.009,4
