Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1o30oX6qw9nxabVoy9CEiz,"Little Ann","The Felice Brothers","The Felice Brothers",2008-03-04,203506,12,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-31T17:28:51Z,"americana,alt country,southern gothic","Chrysalis Records",0.536,0.238,0,-12.341,1,0.0335,0.963,0.0928,0.111,0.111,119.216,4
spotify:track:0w1CHgqpu0MEzQbslCwpHY,"Greatest Show on Earth","The Felice Brothers","The Felice Brothers",2008-03-04,330560,15,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-31T17:28:51Z,"americana,alt country,southern gothic","Chrysalis Records",0.617,0.487,0,-8.708,0,0.0338,0.539,0.00579,0.0812,0.42,79.241,4
spotify:track:0ECbBvCtCM4kutWGdkUg1d,"Frankie's Gun!","The Felice Brothers","The Felice Brothers",2008-03-04,246146,18,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-31T17:28:51Z,"americana,alt country,southern gothic","Chrysalis Records",0.384,0.748,5,-4.472,1,0.0384,0.563,0.0000407,0.0747,0.57,77.514,4
spotify:track:2TDYS06vTZAwpoDeRVyEFc,"Goddamn You, Jim","The Felice Brothers","The Felice Brothers",2008-03-04,205266,12,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-31T17:28:51Z,"americana,alt country,southern gothic","Chrysalis Records",0.213,0.104,0,-22.349,1,0.0384,0.668,0.846,0.117,0.155,113.12,3
spotify:track:0Ed9mwGUe3FUuDSI58LCON,"Wonderful Life","The Felice Brothers","The Felice Brothers",2008-03-04,242333,14,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-31T17:28:51Z,"americana,alt country,southern gothic","Chrysalis Records",0.523,0.314,0,-11.29,1,0.0292,0.597,0,0.166,0.222,133.982,4
spotify:track:28qNi7maQXVEkkQg6RL47N,"Don't Wake the Scarecrow","The Felice Brothers","The Felice Brothers",2008-03-04,296960,13,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-31T17:28:51Z,"americana,alt country,southern gothic","Chrysalis Records",0.468,0.412,2,-10.914,1,0.0275,0.269,0.0106,0.141,0.331,140.172,3
spotify:track:1qP3iOAXyqsWqnRwkj5K3I,"Take This Bread","The Felice Brothers","The Felice Brothers",2008-03-04,291466,12,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-31T17:28:51Z,"americana,alt country,southern gothic","Chrysalis Records",0.579,0.506,4,-7.618,1,0.128,0.676,0.00000508,0.119,0.742,129.798,4
spotify:track:0jBDt9VpZL46OOvpnyoIFp,"Saint Stephen's End","The Felice Brothers","The Felice Brothers",2008-03-04,243440,11,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-31T17:28:51Z,"americana,alt country,southern gothic","Chrysalis Records",0.421,0.18,2,-12.999,1,0.0395,0.883,0.591,0.104,0.167,111.437,3
spotify:track:0OKUuhINrXUHELd0Y6JiSp,"Love Me Tenderly","The Felice Brothers","The Felice Brothers",2008-03-04,220413,15,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-31T17:28:51Z,"americana,alt country,southern gothic","Chrysalis Records",0.591,0.751,6,-7.105,1,0.0766,0.742,0.0000524,0.0642,0.573,80.853,4
spotify:track:26hKYp1falUGBB0YHf3OeI,"Ruby Mae","The Felice Brothers","The Felice Brothers",2008-03-04,248320,12,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-31T17:28:51Z,"americana,alt country,southern gothic","Chrysalis Records",0.395,0.257,3,-9.841,0,0.0295,0.802,0.000213,0.121,0.199,126.054,3
spotify:track:7IO1wnMNFm5RHBMMnWL4e2,"Murder by Mistletoe","The Felice Brothers","The Felice Brothers",2008-03-04,281146,9,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-31T17:28:51Z,"americana,alt country,southern gothic","Chrysalis Records",0.474,0.225,5,-11.802,1,0.0348,0.543,0.00246,0.118,0.198,124.662,3
spotify:track:5YrBx6uXC0wuLYp9l0VfxM,"Whiskey in My Whiskey","The Felice Brothers","The Felice Brothers",2008-03-04,228960,12,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-31T17:28:51Z,"americana,alt country,southern gothic","Chrysalis Records",0.677,0.248,2,-11.046,1,0.0369,0.797,0.000171,0.071,0.635,121.36,4
spotify:track:7yq8rITzAQWSjFnNf31lAr,"Helen Fry","The Felice Brothers","The Felice Brothers",2008-03-04,344333,16,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-31T17:28:51Z,"americana,alt country,southern gothic","Chrysalis Records",0.512,0.551,7,-6.204,0,0.0303,0.621,0.102,0.115,0.703,76.388,4
spotify:track:6JM13STjrInPKurweFbJcL,"Radio Song","The Felice Brothers","The Felice Brothers",2008-03-04,231026,12,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-31T17:28:51Z,"americana,alt country,southern gothic","Chrysalis Records",0.465,0.625,4,-6.685,1,0.0305,0.826,0.00922,0.239,0.785,122.191,4
spotify:track:1JnvIqFcGwXOB3vk98z57A,"Tip Your Way","The Felice Brothers","The Felice Brothers",2008-03-04,322920,9,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-03-31T17:28:51Z,"americana,alt country,southern gothic","Chrysalis Records",0.384,0.409,4,-10.126,1,0.0353,0.787,0.0313,0.162,0.332,130.502,3
