Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4RcbrH0O0UkOyoW3sg968C,"You Make Me","The No-Hit Wonder","Cory Branan",2014-08-19,190531,10,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-04-13T19:24:38Z,"alt country,anti-folk,americana","Bloodshot Records",0.63,0.897,2,-4.74,1,0.0398,0.00166,0.0000401,0.387,0.772,125.97,4
spotify:track:2CHv1raZNpOP20g7EWbbib,"The No-Hit Wonder","The No-Hit Wonder","Cory Branan",2014-08-19,295334,8,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-04-13T19:24:38Z,"alt country,anti-folk,americana","Bloodshot Records",0.489,0.948,4,-5.793,1,0.0693,0.000677,0.000279,0.533,0.332,126.058,4
spotify:track:0w6tc2M0zDrlQvfWGk5YsI,"Sour Mash","The No-Hit Wonder","Cory Branan",2014-08-19,144412,22,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-04-13T19:24:38Z,"alt country,anti-folk,americana","Bloodshot Records",0.671,0.902,9,-5.465,1,0.0874,0.0016,0.00261,0.209,0.444,132.012,4
spotify:track:5LpvWeHXt76W3OlSEHMJ1E,"C'Mon Shadow","The No-Hit Wonder","Cory Branan",2014-08-19,171964,4,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-04-13T19:24:38Z,"alt country,anti-folk,americana","Bloodshot Records",0.666,0.659,0,-5.803,1,0.0328,0.702,0,0.105,0.828,139.968,4
spotify:track:5n1cit41nAAqRuUf3bqIRU,"Missing You Fierce","The No-Hit Wonder","Cory Branan",2014-08-19,191907,12,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-04-13T19:24:38Z,"alt country,anti-folk,americana","Bloodshot Records",0.357,0.881,7,-5.261,1,0.0585,0.000202,0.0295,0.112,0.449,180.099,4
spotify:track:0ngvlfROSYwl2oXLFKLc9B,"All I Got and Gone","The No-Hit Wonder","Cory Branan",2014-08-19,196502,3,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-04-13T19:24:38Z,"alt country,anti-folk,americana","Bloodshot Records",0.553,0.393,8,-8.537,0,0.0319,0.409,0.0000725,0.137,0.239,111.967,4
spotify:track:2yFteVO4CYkCwGUcab5fHY,"All the Rivers in Colorado","The No-Hit Wonder","Cory Branan",2014-08-19,249811,7,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-04-13T19:24:38Z,"alt country,anti-folk,americana","Bloodshot Records",0.523,0.821,4,-3.509,1,0.0315,0.338,0.00276,0.657,0.489,129.762,4
spotify:track:40bBZMh5qv1iHEXeqiN7QX,"Daddy Was a Skywriter","The No-Hit Wonder","Cory Branan",2014-08-19,151472,5,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-04-13T19:24:38Z,"alt country,anti-folk,americana","Bloodshot Records",0.598,0.942,0,-5.753,1,0.0268,0.0455,0.00159,0.247,0.963,104.037,4
spotify:track:0CQHLUPQMv6c7x3yEnSjoY,"The Highway Home","The No-Hit Wonder","Cory Branan",2014-08-19,241381,5,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-04-13T19:24:38Z,"alt country,anti-folk,americana","Bloodshot Records",0.522,0.87,7,-5.988,1,0.0335,0.0268,0.00302,0.244,0.686,124.15,4
spotify:track:77MaHNsBUHKgAMNO04Xv1o,"Meantime Blues","The No-Hit Wonder","Cory Branan",2014-08-19,202405,3,false,r0sb4304i3rsh8qs8rvt5fy5l,2026-04-13T19:24:38Z,"alt country,anti-folk,americana","Bloodshot Records",0.553,0.287,11,-9.876,1,0.0382,0.499,0.0000173,0.09,0.494,148.384,4
