Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4WKs2iDdrR2fA8T3hlCanB,"Northwest Passage","Northwest Passage","Stan Rogers",1981,289573,0,false,31t2qqtuolztt32ghdjnl4v6kjvy,2024-12-19T17:44:26Z,"sea shanties,folk,traditional folk,celtic","Borealis Records",0.579,0.0508,2,-17.719,1,0.121,0.911,0,0.102,0.511,101.695,4
spotify:track:3ejYTDXoGgJeYpR4wL0vdc,"The Mary Ellen Carter","The Very Best of Stan Rogers","Stan Rogers",2011-03-01,305373,0,false,31t2qqtuolztt32ghdjnl4v6kjvy,2024-12-19T17:44:37Z,"sea shanties,folk,traditional folk,celtic","Borealis Records",0.554,0.673,7,-7.892,1,0.0281,0.783,0.000487,0.812,0.717,107.933,4
spotify:track:2636yvI6PfH8lfIO3Kx5t2,"Barrett's Privateers","Between The Breaks Live!","Stan Rogers",1979,272160,0,false,31t2qqtuolztt32ghdjnl4v6kjvy,2024-12-19T17:44:50Z,"sea shanties,folk,traditional folk,celtic","Borealis Records",0.719,0.499,0,-13.877,1,0.665,0.851,0,0.801,0.852,86.003,4
spotify:track:2sYBrtZ06pbS5Ctqr1SwvY,"Leave Her, Johnny, Leave Her","From Coffee House To Concert Hall","Stan Rogers",1999,178293,0,false,31t2qqtuolztt32ghdjnl4v6kjvy,2024-12-19T17:44:50Z,"sea shanties,folk,traditional folk,celtic","Borealis Records",0.559,0.302,2,-11.794,1,0.113,0.877,0,0.819,0.673,125.744,4
spotify:track:1GlhnvFiGRVrKtmYs0rLGf,"The Flowers of Bermuda","Between The Breaks Live!","Stan Rogers",1979,227800,0,false,31t2qqtuolztt32ghdjnl4v6kjvy,2024-12-19T17:44:51Z,"sea shanties,folk,traditional folk,celtic","Borealis Records",0.601,0.624,9,-11.055,1,0.37,0.665,0.00652,0.697,0.956,122.329,4
spotify:track:7hWSYondfPX8jwOEAKTUSO,"The Witch of the Westmorland","Between The Breaks Live!","Stan Rogers",1979,319733,0,false,31t2qqtuolztt32ghdjnl4v6kjvy,2024-12-19T17:44:51Z,"sea shanties,folk,traditional folk,celtic","Borealis Records",0.45,0.428,7,-14.08,1,0.0603,0.484,0.0202,0.755,0.611,82.664,4
spotify:track:4ZGQU98kt3JEF49bbXDErG,"White Squall","From Fresh Water","Stan Rogers",1984,303000,0,false,31t2qqtuolztt32ghdjnl4v6kjvy,2024-12-19T17:44:52Z,"sea shanties,folk,traditional folk,celtic","Borealis Records",0.433,0.228,9,-18.609,1,0.0409,0.499,0.00109,0.355,0.4,84.649,4
spotify:track:0qkRRRQhOxnuTc5BYYUqXx,"The Maid On The Shore","Fogarty's Cove","Stan Rogers",1977,224200,0,false,31t2qqtuolztt32ghdjnl4v6kjvy,2024-12-19T17:44:53Z,"sea shanties,folk,traditional folk,celtic","Borealis Records",0.688,0.21,9,-19.039,0,0.0569,0.854,0.0000109,0.112,0.557,99.219,3
spotify:track:3ywAVqMIpHymWWGb2IL8As,"The Idiot","Northwest Passage","Stan Rogers",1981,228906,0,false,31t2qqtuolztt32ghdjnl4v6kjvy,2024-12-19T17:44:54Z,"sea shanties,folk,traditional folk,celtic","Borealis Records",0.569,0.366,2,-15.396,1,0.0398,0.273,0.00142,0.0924,0.914,160.19,4
spotify:track:7FZnBbrIHzFON5NcuWZlVt,"Fogarty's Cove","Fogarty's Cove","Stan Rogers",1977,134240,0,false,31t2qqtuolztt32ghdjnl4v6kjvy,2024-12-19T17:44:55Z,"sea shanties,folk,traditional folk,celtic","Borealis Records",0.743,0.42,2,-16.883,1,0.0367,0.532,0.0217,0.33,0.756,115.447,3
