Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7iQmjnDXYngWGsbjVnDc1U,"Amsterdam","The Weatherman","Gregory Alan Isakov",2013-07-09,198640,73,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-05-13T18:51:14Z,"indie folk,folk,folk pop","Suitcase Town Music",0.553,0.429,3,-12.51,1,0.0283,0.921,0.135,0.115,0.532,152.047,3
spotify:track:739oqfjALCWZgSNhyanIXC,"Saint Valentine","The Weatherman","Gregory Alan Isakov",2013-07-09,203946,52,true,r0sb4304i3rsh8qs8rvt5fy5l,2025-05-13T18:51:14Z,"indie folk,folk,folk pop","Suitcase Town Music",0.543,0.358,3,-11.162,1,0.0324,0.937,0.0073,0.107,0.436,132.13,4
spotify:track:6Wu19AEKVNs5bJFuhZb4EZ,"Second Chances","The Weatherman","Gregory Alan Isakov",2013-07-09,229226,68,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-05-13T18:51:14Z,"indie folk,folk,folk pop","Suitcase Town Music",0.381,0.325,4,-9.972,1,0.0305,0.947,0.0925,0.113,0.208,154.198,3
spotify:track:2bBSKXRsX0MDrMolVom4jy,"Living Proof","The Weatherman","Gregory Alan Isakov",2013-07-09,257826,49,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-05-13T18:51:14Z,"indie folk,folk,folk pop","Suitcase Town Music",0.429,0.536,2,-9.114,1,0.0308,0.832,0.00662,0.0757,0.385,134.678,4
spotify:track:76PS07wzG7zYMy8rHPjL2t,"Time Will Tell","The Weatherman","Gregory Alan Isakov",2013-07-09,167533,58,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-05-13T18:51:14Z,"indie folk,folk,folk pop","Suitcase Town Music",0.37,0.25,5,-11.506,1,0.0295,0.958,0.00112,0.124,0.41,168,3
spotify:track:1q1j4J77FDgq3fqnFCLSvi,"O' City Lights","The Weatherman","Gregory Alan Isakov",2013-07-09,159640,49,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-05-13T18:51:14Z,"indie folk,folk,folk pop","Suitcase Town Music",0.4,0.32,0,-13.845,1,0.0294,0.845,0.677,0.187,0.0724,129.862,4
spotify:track:0eynZvE01U7iSiyuZ94GAU,"Astronaut","The Weatherman","Gregory Alan Isakov",2013-07-09,129386,44,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-05-13T18:51:14Z,"indie folk,folk,folk pop","Suitcase Town Music",0.41,0.233,0,-12.878,1,0.0286,0.831,0.00105,0.143,0.0556,52.042,4
spotify:track:7cDJgovtYrUzNCCMpJFb6Z,"California Open Back","The Weatherman","Gregory Alan Isakov",2013-07-09,80893,41,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-05-13T18:51:14Z,"indie folk,folk,folk pop","Suitcase Town Music",0.337,0.0505,0,-23.266,1,0.0403,0.985,0.929,0.121,0.0711,67.442,4
spotify:track:5SOV1dyQQJx98X4yY17bCI,"The Universe","The Weatherman","Gregory Alan Isakov",2013-07-09,256600,51,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-05-13T18:51:14Z,"indie folk,folk,folk pop","Suitcase Town Music",0.426,0.243,1,-13.477,1,0.036,0.815,0.112,0.134,0.215,125.653,4
spotify:track:6qfg00bGlM1dQJwq08lZGi,"Suitcase Full of Sparks","The Weatherman","Gregory Alan Isakov",2013-07-09,236653,60,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-05-13T18:51:14Z,"indie folk,folk,folk pop","Suitcase Town Music",0.521,0.44,0,-10.311,1,0.0304,0.935,0.0029,0.127,0.502,93.404,4
spotify:track:5BTHMC1yaJGHmUi2nRpXfq,"Honey, It's Alright","The Weatherman","Gregory Alan Isakov",2013-07-09,191080,58,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-05-13T18:51:14Z,"indie folk,folk,folk pop","Suitcase Town Music",0.471,0.0775,0,-15.664,1,0.0562,0.94,0.00675,0.106,0.0839,132.02,3
spotify:track:1xhgkhzFBEg7n1SrUgmSmU,"All Shades of Blue","The Weatherman","Gregory Alan Isakov",2013-07-09,213573,56,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-05-13T18:51:14Z,"indie folk,folk,folk pop","Suitcase Town Music",0.478,0.299,2,-10.908,1,0.032,0.882,0.000687,0.11,0.287,161.388,3
spotify:track:7JnUuk8khG40Y3xQWSNiDG,"She Always Takes It Black","The Weatherman","Gregory Alan Isakov",2013-07-09,170640,47,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-05-13T18:51:14Z,"indie folk,folk,folk pop","Suitcase Town Music",0.334,0.145,11,-18.509,1,0.0402,0.836,0.0193,0.103,0.171,113.717,3
