Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5AeoHJUx0PJXAzN425xryh,"Dandelion Wine","This Empty Northern Hemisphere","Gregory Alan Isakov",2009-01-01,184906,59,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-09T18:55:51Z,"indie folk,folk,folk pop","Suitcase Town Music",0.413,0.1,0,-16.349,1,0.0332,0.784,0.381,0.0819,0.186,110.696,3
spotify:track:4g3oBHp2SWcMAN17pLRhu2,"Light Year","This Empty Northern Hemisphere","Gregory Alan Isakov",2009-01-01,218400,50,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-09T18:55:51Z,"indie folk,folk,folk pop","Suitcase Town Music",0.676,0.249,7,-13.927,1,0.031,0.925,0.0209,0.108,0.185,122.007,4
spotify:track:3lw0CSMQ88LcN0ZMP6DlWi,"That Moon Song","This Empty Northern Hemisphere","Gregory Alan Isakov",2009-01-01,214226,60,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-09T18:55:51Z,"indie folk,folk,folk pop","Suitcase Town Music",0.255,0.394,2,-12.609,1,0.0309,0.653,0.1,0.148,0.267,145.315,3
spotify:track:63XEl1dXbErfNDia83Ao3B,"Evelyn","This Empty Northern Hemisphere","Gregory Alan Isakov",2009-01-01,210733,46,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-09T18:55:51Z,"indie folk,folk,folk pop","Suitcase Town Music",0.619,0.369,0,-11.189,1,0.0286,0.486,0.00303,0.111,0.378,114.844,4
spotify:track:435XaJ1Mqo5Pd7AwRE7nrF,"Virginia May","This Empty Northern Hemisphere","Gregory Alan Isakov",2009-01-01,178346,51,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-09T18:55:51Z,"indie folk,folk,folk pop","Suitcase Town Music",0.542,0.318,0,-12.797,1,0.0369,0.826,0.0000407,0.106,0.489,88.881,4
spotify:track:3Kj2EWpIBnvETsYq4cq0IH,"Big Black Car","This Empty Northern Hemisphere","Gregory Alan Isakov",2009-01-01,217466,74,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-09T18:55:51Z,"indie folk,folk,folk pop","Suitcase Town Music",0.6,0.186,3,-15.926,1,0.0317,0.909,0.00102,0.104,0.468,110.044,4
spotify:track:7KxlQrTePk82UyI1Daz2Cr,"Master & A Hound","This Empty Northern Hemisphere","Gregory Alan Isakov",2009-01-01,182333,54,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-09T18:55:51Z,"indie folk,folk,folk pop","Suitcase Town Music",0.324,0.166,9,-17.732,1,0.038,0.911,0.0974,0.101,0.169,134.915,4
spotify:track:5FY6QpvB4NDI14MCx5T9xi,"This Empty Northern Hemisphere","This Empty Northern Hemisphere","Gregory Alan Isakov",2009-01-01,300400,47,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-09T18:55:51Z,"indie folk,folk,folk pop","Suitcase Town Music",0.368,0.329,5,-12.618,1,0.0299,0.695,0.00999,0.105,0.0859,93.679,4
spotify:track:20zcj4PSozTDNFGjML8fJS,"Idaho","This Empty Northern Hemisphere","Gregory Alan Isakov",2009-01-01,282586,52,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-09T18:55:51Z,"indie folk,folk,folk pop","Suitcase Town Music",0.518,0.292,11,-14.201,0,0.0265,0.811,0.622,0.119,0.194,133.757,4
spotify:track:01Dc5vTMc9axpkvDUy0yiD,"Words","This Empty Northern Hemisphere","Gregory Alan Isakov",2009-01-01,241626,60,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-09T18:55:51Z,"indie folk,folk,folk pop","Suitcase Town Music",0.45,0.137,1,-17.71,1,0.0372,0.931,0.0259,0.111,0.108,118.018,3
spotify:track:3fIy4QxkRUeFLQEP48K1wK,"Fire Escape","This Empty Northern Hemisphere","Gregory Alan Isakov",2009-01-01,92626,38,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-09T18:55:51Z,"indie folk,folk,folk pop","Suitcase Town Music",0.606,0.224,4,-16.882,0,0.388,0.984,0.0024,0.659,0.756,132.261,4
spotify:track:1vqtj4c5aNPKkLS2LXkd4E,"If I Go, I'm Goin","This Empty Northern Hemisphere","Gregory Alan Isakov",2009-01-01,267160,64,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-09T18:55:51Z,"indie folk,folk,folk pop","Suitcase Town Music",0.509,0.0648,3,-17.293,1,0.0339,0.778,0.0282,0.11,0.192,113.742,4
spotify:track:2fmeEE8cOgVqUDU9foMVTj,"One of Us Cannot Be Wrong","This Empty Northern Hemisphere","Gregory Alan Isakov",2009-01-01,295280,43,false,r0sb4304i3rsh8qs8rvt5fy5l,2025-01-09T18:55:51Z,"indie folk,folk,folk pop","Suitcase Town Music",0.452,0.19,1,-18.708,0,0.0336,0.897,0.00505,0.114,0.143,117.775,3
